title,journal,doi,authors,search_term,dataset,notes,pdf
"Sediment accumulation, elevation change, and the vulnerability of tidal marshes in the Delaware Estuary and Barnegat Bay to accelerated sea level rise",bioRxiv,10.1101/821827,"Haaf, LeeAnn, Watson, Elizabeth Burke, Elsey-Quirk, Tracy, Raper, Kirk, Padeletti, Angela, Maxwell-Doyle, Martha, Kreeger, Danielle, Velinsky, David",Tidal Datum,dataset-703,different dataset than predicted,https://www.biorxiv.org/content/10.1101/821827v1.full.pdf
"Adjusting Emergent Herbaceous Wetland Elevation with Object-Based Image Analysis, Random Forest and the 2016 NLCD",Remote Sensing,10.3390/rs11202346,"Muñoz, David F., Cissell, Jordan R., Moftakhari, Hamed",Tidal Datum,"dataset-614,dataset-678,dataset-631",,https://www.mdpi.com/2072-4292/11/20/2346/pdf
Tidal Distortions Related to Extreme Atmospheric Forcing Over the Inner Shelf,Journal of Geophysical Research Oceans,10.1029/2019jc015021,"Paniagua‐Arroyave, Juan F., Valle‐Levinson, Arnoldo, Parra, Sabrina M., Adams, Peter N.",Tidal Datum,dataset-614,,https://agupubs.onlinelibrary.wiley.com/doi/epdf/10.1029/2019JC015021
Insights into estuary habitat loss in the western United States using a new method for mapping maximum extent of tidal wetlands,PLoS ONE,10.1371/journal.pone.0218558,"Brophy, Laura S, Greene, Correigh M, Hare, Van C, Holycross, Brett, Lanier, Andy, Heady, Walter N, O'Connor, Kevin, Imaki, Hiroo, Haddad, Tanya, Dana, Randy",Tidal Datum,dataset-614,,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0218558&type=printable
Advancing barrier island habitat mapping using landscape position information,Progress in Physical Geography Earth and Environment,10.1177/0309133319839922,"Enwright, Nicholas M, Wang, Lei, Borchert, Sinéad M, Day, Richard H, Feher, Laura C, Osland, Michael J",Tidal Datum,dataset-614,,https://journals.sagepub.com/doi/pdf/10.1177/0309133319839922
Feedback of coastal marshes to climate change: Long‐term phenological shifts,Ecology and Evolution,10.1002/ece3.5215,"Mo, Yu, Kearney, Michael S., Turner, R. Eugene",Tidal Datum,dataset-614,,https://onlinelibrary.wiley.com/doi/epdf/10.1002/ece3.5215
"Evidence for frequent, large tsunamis spanning locked and creeping parts of the Aleutian megathrust",Geological Society of America Bulletin,10.1130/b32031.1,"Witter, Rob, Briggs, Rich, Engelhart, Simon E., Gelfenbaum, Guy, Koehler, Rich D., Nelson, Alan, La Selle, SeanPaul, Corbett, Reide, Wallace, Kristi",Tidal Datum,dataset-614,,https://pubs.geoscienceworld.org/gsabulletin/article-pdf/131/5-6/707/4682836/707.pdf
Examining Coastal Dynamics and Archaeological Site Evidence at a Drowned Cirque Basin Influenced by Earthquakes and Little Ice Age Glaciation,Journal of Coastal Research,10.2112/jcoastres-d-18-00074.1,"Maio, Christopher V., Crowell, Aron L., Sullivan, Richard M., Buzard, Richard M., Whitley, Matthew A., Bogardus, Reyce C., de Wit, Cary W.",Tidal Datum,"dataset-614,dataset-703",,https://bioone.org/journalArticle/Download?fullDOI=10.2112%2FJCOASTRES-D-18-00074.1
Modeling Barrier Island Habitats Using Landscape Position Information,Remote Sensing,10.3390/rs11080976,"Enwright, Nicholas M., Wang, Lei, Wang, Hongqing, Osland, Michael J., Feher, Laura C., Borchert, Sinéad M., Day, Richard H.",Tidal Datum,dataset-614,,https://www.mdpi.com/2072-4292/11/8/976/pdf
"A Statistical Model for Frequency of Coastal Flooding in Honolulu, Hawaii, During the 21st Century",Journal of Geophysical Research Oceans,10.1029/2018jc014741,"Thompson, Philip R., Widlansky, Matthew J., Merrifield, Mark A., Becker, Janet M., Marra, John J.",Tidal Datum,dataset-614,,https://agupubs.onlinelibrary.wiley.com/doi/epdf/10.1029/2018JC014741
