category,api,doi,title,url,search_term,dataset,part
unique hits,dimensions,10.1017/s1742170515000083,Differential expenditure patterns of local food system participants,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Differential%20expenditure%20patterns%20of%20local%20food%20system%20participants,USDA Agricultural Resource Management Survey,dataset-870,part_2
unique hits,dimensions,10.1017/aae.2019.9,Do Campaign Contributions from Farmers Influence Agricultural Policy? Evidence from a 2008 Farm Bill Amendment Vote to Curtail Cotton Subsidies,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Do%20Campaign%20Contributions%20from%20Farmers%20Influence%20Agricultural%20Policy%3F%20Evidence%20from%20a%202008%20Farm%20Bill%20Amendment%20Vote%20to%20Curtail%20Cotton%20Subsidies,USDA Agricultural Resource Management Survey,dataset-870,part_2
unique hits,dimensions,10.1002/ps.5737,Do farmers manage weeds on owned and rented land differently? Evidence from U.S. corn and soybean farms,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Do%20farmers%20manage%20weeds%20on%20owned%20and%20rented%20land%20differently%3F%20Evidence%20from%20U.S.%20corn%20and%20soybean%20farms,USDA Agricultural Resource Management Survey,dataset-870,part_2
unique hits,dimensions,10.1017/s1068280500002987,Do Production Contracts Raise Farm Productivity? An Instrumental Variables Approach,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Do%20Production%20Contracts%20Raise%20Farm%20Productivity%3F%20An%20Instrumental%20Variables%20Approach,USDA Agricultural Resource Management Survey,"dataset-870,dataset-881",part_2
unique hits,dimensions,10.1017/s1068280500003026,Economic Impacts of the U. S. Soybean Aphid Infestation: A Multi-Regional Competitive Dynamic Analysis,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Economic%20Impacts%20of%20the%20U.%20S.%20Soybean%20Aphid%20Infestation%3A%20A%20Multi-Regional%20Competitive%20Dynamic%20Analysis,USDA Agricultural Resource Management Survey,dataset-870,part_2
unique hits,dimensions,10.1614/ws-d-15-00047.1,Economic Returns to Herbicide Resistance Management in the Short and Long Run: The Role of Neighbor Effects,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Economic%20Returns%20to%20Herbicide%20Resistance%20Management%20in%20the%20Short%20and%20Long%20Run%3A%20The%20Role%20of%20Neighbor%20Effects,USDA Agricultural Resource Management Survey,dataset-870,part_2
unique hits,openaire,10.13023/etd.2017.103,ESSAYS ON ORGANIC FOOD MARKETING IN THE U.S.,http://dx.doi.org/10.13023/etd.2017.103,USDA Agricultural Resource Management Survey,dataset-870,part_2
unique hits,pubmed,10.3168/jds.2014-8864,Estimation of risk management effects on revenue and purchased feed costs on US dairy farms.,https://www.ncbi.nlm.nih.gov/pubmed/26117353,USDA Agricultural Resource Management Survey,dataset-870,part_2
unique hits,openaire,10.22004/ag.econ.237347,Evaluation of Dairy Farm Technical Efficiency: Production of Milk Components as Output Measures,http://dx.doi.org/10.22004/ag.econ.237347,USDA Agricultural Resource Management Survey,dataset-870,part_2
overlap between APIs,openaire,10.22004/ag.econ.190674,Factors Affecting Succession Decisions in Family Farm Businesses: Evidence from a National Survey,http://dx.doi.org/10.22004/ag.econ.190674,USDA Agricultural Resource Management Survey,dataset-870,part_2
overlap between APIs,dimensions,10.3168/jds.2012-5522,Factors determining milk quality and implications for production structure under somatic cell count standard modification,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Factors%20determining%20milk%20quality%20and%20implications%20for%20production%20structure%20under%20somatic%20cell%20count%20standard%20modification,USDA Agricultural Resource Management Survey,dataset-870,part_2
unique hits,openaire,10.22004/ag.econ.205295,Farm Financial Stress in a Changing Economic Environment: Simulating Credit Risk with New Imputed ARMS Data on Farm Debt,http://dx.doi.org/10.22004/ag.econ.205295,USDA Agricultural Resource Management Survey,dataset-870,part_2
unique hits,openaire,10.22004/ag.econ.58299,Farm Household Well-Being: Comparing Consumption- and Income-Based Measures,http://dx.doi.org/10.22004/ag.econ.58299,USDA Agricultural Resource Management Survey,dataset-870,part_2
unique hits,dimensions,10.5304/jafscd.2020.092.006,Farm Seeker Needs Versus Farm Owner Offers:,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Farm%20Seeker%20Needs%20Versus%20Farm%20Owner%20Offers%3A,USDA Agricultural Resource Management Survey,dataset-870,part_2
unique hits,openaire,10.22004/ag.econ.56445,Farm-Based Recreation: A Statistical Profile,http://dx.doi.org/10.22004/ag.econ.56445,USDA Agricultural Resource Management Survey,"dataset-870,dataset-882",part_2
unique hits,dimensions,10.1111/cjag.12201,Farm‐level determinants of product conversion: Organic milk production,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Farm%E2%80%90level%20determinants%20of%20product%20conversion%3A%20Organic%20milk%20production,USDA Agricultural Resource Management Survey,dataset-870,part_2
