rank,publication_id,doi,url,pmid,pmcid,title,source_title,anthology_title,publisher,mesh_terms,pubyear,volume,issue,pagination,open_access,publication_type,authors,authors_affiliations,research_organizations_-_standardized,grid_ids,city_of_research_organization,state_of_research_organization,country_of_research_organization,funder,funder_group,funder_country,uids_of_supporting_grants,supporting_grants,times_cited,recent_citations,rcr,fcr,source_linkout,dimensions_url,for_(anzsrc)_categories,for_1,for_2,for_3,for_4,for_5,rcdc_categories,rcdc_1,rcdc_2,rcdc_3,rcdc_4,rcdc_5,hrcs_hc_categories,hrcs_hc_1,hrcs_hc_2,hrcs_hc_3,hrcs_hc_4,hrcs_hc_5,hrcs_rac_categories,hrcs_rac_1,hrcs_rac_2,hrcs_rac_3,hrcs_rac_4,hrcs_rac_5,health_research_areas,broad_research_areas,icrp_cancer_types,icrp_cancer_types_1,icrp_cancer_types_2,icrp_cancer_types_3,icrp_cancer_types_4,icrp_cancer_types_5,icrp_cso_categories,icrp_cso_1,icrp_cso_2,icrp_cso_3,icrp_cso_4,icrp_cso_5,domain,search_note,norm_rank,dataset
642,pub.1090370297,10.1016/j.jneb.2017.04.026,www.doi.org/10.1016/j.jneb.2017.04.026,28689560,,The Impact of Federal Policy Changes and Initiatives on Breastfeeding Initiation Rates and Attitudes Toward Breastfeeding Among WIC Participants,Journal of Nutrition Education and Behavior,,Elsevier,"Adult; Breast Feeding; Child Nutritional Physiological Phenomena; Child, Preschool; Female; Food Assistance; Health Knowledge, Attitudes, Practice; Health Plan Implementation; Health Promotion; Healthy Diet; Humans; Infant; Infant Nutritional Physiological Phenomena; Infant, Newborn; Male; Maternal Nutritional Physiological Phenomena; Nutrition Policy; United States; United States Department of Agriculture; Young Adult",2017,49,7,s207-s211.e1,Closed,article,"Panzera, Anthony Dominic; Castellanos-Brown, Karen; Paolicelli, Courtney; Morgan, Ruth; Potter, Anna; Berman, Danielle","Panzera, Anthony Dominic (Food and Nutrition Service); Castellanos-Brown, Karen (Food and Nutrition Service); Paolicelli, Courtney (Food and Nutrition Service); Morgan, Ruth (Food and Nutrition Service); Potter, Anna (Food and Nutrition Service); Berman, Danielle (Food and Nutrition Service)",Food and Nutrition Service,grid.478135.c,Alexandria,Virginia,United States,,,,,,5,5,2.68,2.91,,https://app.dimensions.ai/details/publication/pub.1090370297,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Pediatric; Prevention; Nutrition,Pediatric,Prevention,Nutrition,,,,,,,,,,,,,,,Population & Society,Public Health,,,,,,,,,,,,,usda,"'(FNS OR ""Food and Nutrition Service "") AND (WIC OR ""women, infants and Children"") AND ""Program Data""'",1,dataset-346
641,pub.1090370297,10.1016/j.jneb.2017.04.026,www.doi.org/10.1016/j.jneb.2017.04.026,28689560,,The Impact of Federal Policy Changes and Initiatives on Breastfeeding Initiation Rates and Attitudes Toward Breastfeeding Among WIC Participants,Journal of Nutrition Education and Behavior,,Elsevier,"Adult; Breast Feeding; Child Nutritional Physiological Phenomena; Child, Preschool; Female; Food Assistance; Health Knowledge, Attitudes, Practice; Health Plan Implementation; Health Promotion; Healthy Diet; Humans; Infant; Infant Nutritional Physiological Phenomena; Infant, Newborn; Male; Maternal Nutritional Physiological Phenomena; Nutrition Policy; United States; United States Department of Agriculture; Young Adult",2017,49,7,s207-s211.e1,Closed,article,"Panzera, Anthony Dominic; Castellanos-Brown, Karen; Paolicelli, Courtney; Morgan, Ruth; Potter, Anna; Berman, Danielle","Panzera, Anthony Dominic (Food and Nutrition Service); Castellanos-Brown, Karen (Food and Nutrition Service); Paolicelli, Courtney (Food and Nutrition Service); Morgan, Ruth (Food and Nutrition Service); Potter, Anna (Food and Nutrition Service); Berman, Danielle (Food and Nutrition Service)",Food and Nutrition Service,grid.478135.c,Alexandria,Virginia,United States,,,,,,5,5,2.68,2.91,,https://app.dimensions.ai/details/publication/pub.1090370297,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Pediatric; Prevention; Nutrition,Pediatric,Prevention,Nutrition,,,,,,,,,,,,,,,Population & Society,Public Health,,,,,,,,,,,,,usda,"'(FNS OR ""Food and Nutrition Service "") AND (WIC OR ""women, infants and Children"") AND ""Program Data""'",1,dataset-346
622,pub.1107111621,10.1177/0890334418797318,www.doi.org/10.1177/0890334418797318,30231211,,Another Look at WIC’s Breastfeeding Data: State Totals Reveal More Than Regional Averages,Journal of Human Lactation,,SAGE Publications,,2019,35,1,37-41,Closed,article,"Berkowitz, Shari Salzhauer","Berkowitz, Shari Salzhauer (Mercy College)",Mercy College,grid.419740.f,Dobbs Ferry,New York,United States,,,,,,1,1,0,0,,https://app.dimensions.ai/details/publication/pub.1107111621,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Pediatric; Nutrition,Pediatric,Nutrition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,usda,"'(FNS OR ""Food and Nutrition Service "") AND ( USDA OR "" Economic Research Service"") AND (WIC OR ""women, Infants and children"") AND (State AND (agency OR agencies))'",1,dataset-346
486,pub.1113175197,10.1542/peds.2018-2841,www.doi.org/10.1542/peds.2018-2841,30936251,,WIC Food Package Changes: Trends in Childhood Obesity Prevalence,Pediatrics,,American Academy of Pediatrics (AAP),,2019,143,5,e20182841,Closed,article,"Daepp, Madeleine I.G.; Gortmaker, Steven L.; Wang, Y. Claire; Long, Michael W.; Kenney, Erica L.","Daepp, Madeleine I.G. (Massachusetts Institute of Technology); Gortmaker, Steven L. (); Wang, Y. Claire (Columbia University; New York Academy of Medicine); Long, Michael W. (George Washington University); Kenney, Erica L. (Harvard University)",Massachusetts Institute of Technology; Columbia University; George Washington University; Harvard University; New York Academy of Medicine,grid.116068.8; grid.21729.3f; grid.253615.6; grid.38142.3c; grid.410402.3,Cambridge; New York; Washington D.C.; Cambridge; New York,Massachusetts; New York; District of Columbia; Massachusetts; New York,United States; United States; United States; United States; United States,,,,,,0,0,0,0,,https://app.dimensions.ai/details/publication/pub.1113175197,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Pediatric; Prevention; Obesity; Nutrition,Pediatric,Prevention,Obesity,Nutrition,,Oral and Gastrointestinal; Cancer; Cardiovascular; Metabolic and Endocrine,Oral and Gastrointestinal,Cancer,Cardiovascular,Metabolic and Endocrine,,,,,,,,Population & Society,Public Health,,,,,,,,,,,,,usda,"'(FNS OR ""Food and Nutrition Service "") AND ( USDA OR "" Economic Research Service"") AND (WIC OR ""women, Infants and children"") AND (State AND (agency OR agencies)) AND (yr=2014 OR yr=2015)'",1,dataset-346
581,pub.1104305285,10.1177/0890117118778243,www.doi.org/10.1177/0890117118778243,29847997,,WIC Households’ Bread and Cold Cereal Purchases: When They Use Benefits Versus Paying Out of Pocket,American Journal of Health Promotion,,SAGE Publications,,2019,33,1,79-86,Closed,article,"Stewart, Hayden; McLaughlin, Patrick W.; Dong, Diansheng; Frazão, Elizabeth","Stewart, Hayden (Agricultural Research Service); McLaughlin, Patrick W. (Agricultural Research Service); Dong, Diansheng (Agricultural Research Service); Frazão, Elizabeth (Agricultural Research Service)",Agricultural Research Service,grid.463419.d,Washington D.C.,District of Columbia,United States,,,,,,1,1,0,0,,https://app.dimensions.ai/details/publication/pub.1104305285,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Clinical Research,Clinical Research,,,,,,,,,,,3.3 Nutrition and chemoprevention,3.3 Nutrition and chemoprevention,,,,,Clinical,,,,,,,,,,,,,,usda,"'(FNS OR ""Food and Nutrition Service "") AND ( USDA OR "" Economic Research Service"") AND (WIC OR ""women, Infants and children"") AND (State AND (agency OR agencies))'",0.933977456,dataset-346
524,pub.1110283638,10.1016/j.jneb.2018.10.005,www.doi.org/10.1016/j.jneb.2018.10.005,30514654,PMC6369002,Trends in Breastfeeding Disparities in US Infants by WIC Eligibility and Participation,Journal of Nutrition Education and Behavior,,Elsevier,,2019,51,Matern Child Health J 16 2002,182-189,Closed,article,"Zhang, Qi; Lamichhane, Rajan; Wright, Mia; McLaughlin, Patrick W.; Stacy, Brian","Zhang, Qi (Old Dominion University); Lamichhane, Rajan (Eastern Virginia Medical School); Wright, Mia (Old Dominion University); McLaughlin, Patrick W. (Economic Research Service); Stacy, Brian (Economic Research Service)",Old Dominion University; Economic Research Service; Eastern Virginia Medical School,grid.261368.8; grid.482913.5; grid.255414.3,Norfolk; Washington D.C.; Norfolk,Virginia; District of Columbia; Virginia,United States; United States; United States,United States Department of Agriculture; National Institute of Child Health and Human Development,USDA; NIH,United States; United States,grant.6541295,R03HD090387,0,0,0,0,,https://app.dimensions.ai/details/publication/pub.1110283638,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Prevention; Pediatric; Pediatric Research Initiative; Nutrition,Prevention,Pediatric,Pediatric Research Initiative,Nutrition,,,,,,,,,,,,,,Population & Society,Public Health,,,,,,,,,,,,,usda,"'(FNS OR ""Food and Nutrition Service "") AND ( USDA OR "" Economic Research Service"") AND (WIC OR ""women, Infants and children"") AND (State AND (agency OR agencies))'",0.842190016,dataset-346
519,pub.1074706034,,www.doi.org/,11010682,,"Special Supplemental Nutrition Program for Women, Infants and Children (WIC): non-discretionary funding provisions of the William F. Goodling Child Nutrition Reauthorization Act of 1998. Food and Nutrition Service, USDA. Final rule.",Federal Register,,,"Breast Feeding; Child, Preschool; Female; Financing, Government; Humans; Infant; Infant Nutritional Physiological Phenomena; Nutritional Status; Suction; United States",1999,64,233,67997-8000,Closed,article,,,,,,,,,,,,,1,0,0.05,0,,https://app.dimensions.ai/details/publication/pub.1074706034,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,usda,"'(FNS OR ""Food and Nutrition Service "") AND ( USDA OR "" Economic Research Service"") AND (WIC OR ""women, Infants and children"") AND (State AND (agency OR agencies))'",0.834138486,dataset-346
503,pub.1074706036,,www.doi.org/,11010684,,"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC): bloodwork requirements. Food and Nutrition Service, USDA. Final rule.",Federal Register,,,"Blood Chemical Analysis; Child, Preschool; Eligibility Determination; Female; Humans; Infant; Nutrition Assessment; Nutritional Status; United States",1999,64,241,70173-8,Closed,article,,,,,,,,,,,,,2,0,0,0,,https://app.dimensions.ai/details/publication/pub.1074706036,1111 Nutrition and Dietetics,1111 Nutrition and Dietetics,,,,,Prevention; Nutrition; Pediatric,Prevention,Nutrition,Pediatric,,,Cardiovascular,Cardiovascular,,,,,,,,,,,Population & Society,,,,,,,,,,,,,,usda,"'(FNS OR ""Food and Nutrition Service "") AND ( USDA OR "" Economic Research Service"") AND (WIC OR ""women, Infants and children"") AND (State AND (agency OR agencies))'",0.808373591,dataset-346
494,pub.1104164933,10.1016/j.amepre.2018.04.003,www.doi.org/10.1016/j.amepre.2018.04.003,29776784,PMC6020687,"100% Juice, Fruit, and Vegetable Intake Among Children in the Special Supplemental Nutrition Program for Women, Infants, and Children and Nonparticipants",American Journal of Preventive Medicine,,Elsevier,,2018,55,1,e11-e18,Closed,article,"Vercammen, Kelsey A.; Moran, Alyssa J.; Zatz, Laura Y.; Rimm, Eric B.","Vercammen, Kelsey A. (Harvard University); Moran, Alyssa J. (Harvard University); Zatz, Laura Y. (Harvard University); Rimm, Eric B. (Harvard University)",Harvard University,grid.38142.3c,Cambridge,Massachusetts,United States,National Institute of Diabetes and Digestive and Kidney Diseases,NIH,United States,grant.2683287,T32DK007703,0,0,0,0,,https://app.dimensions.ai/details/publication/pub.1104164933,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Prevention; Nutrition; Pediatric,Prevention,Nutrition,Pediatric,,,,,,,,,,,,,,,Population & Society,Public Health,,,,,,,,,,,,,usda,"'(FNS OR ""Food and Nutrition Service "") AND ( USDA OR "" Economic Research Service"") AND (WIC OR ""women, Infants and children"") AND (State AND (agency OR agencies))'",0.793880837,dataset-346
487,pub.1113175197,10.1542/peds.2018-2841,www.doi.org/10.1542/peds.2018-2841,30936251,,WIC Food Package Changes: Trends in Childhood Obesity Prevalence,Pediatrics,,American Academy of Pediatrics (AAP),,2019,143,5,e20182841,Closed,article,"Daepp, Madeleine I.G.; Gortmaker, Steven L.; Wang, Y. Claire; Long, Michael W.; Kenney, Erica L.","Daepp, Madeleine I.G. (Massachusetts Institute of Technology); Gortmaker, Steven L. (); Wang, Y. Claire (Columbia University; New York Academy of Medicine); Long, Michael W. (George Washington University); Kenney, Erica L. (Harvard University)",Massachusetts Institute of Technology; Columbia University; George Washington University; Harvard University; New York Academy of Medicine,grid.116068.8; grid.21729.3f; grid.253615.6; grid.38142.3c; grid.410402.3,Cambridge; New York; Washington D.C.; Cambridge; New York,Massachusetts; New York; District of Columbia; Massachusetts; New York,United States; United States; United States; United States; United States,,,,,,0,0,0,0,,https://app.dimensions.ai/details/publication/pub.1113175197,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Pediatric; Prevention; Obesity; Nutrition,Pediatric,Prevention,Obesity,Nutrition,,Oral and Gastrointestinal; Cancer; Cardiovascular; Metabolic and Endocrine,Oral and Gastrointestinal,Cancer,Cardiovascular,Metabolic and Endocrine,,,,,,,,Population & Society,Public Health,,,,,,,,,,,,,usda,"'(FNS OR ""Food and Nutrition Service "") AND ( USDA OR "" Economic Research Service"") AND (WIC OR ""women, Infants and children"") AND (State AND (agency OR agencies))'",0.782608696,dataset-346
