api,doi,title,url,search_term,dataset,pdf
dimensions,10.1371/journal.pone.0036307,"Science PhD Career Preferences: Levels, Changes, and Advisor Encouragement",https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Science%20PhD%20Career%20Preferences%3A%20Levels%2C%20Changes%2C%20and%20Advisor%20Encouragement,Paula Stephan Survey of Earned Doctorates,dataset-370,
dimensions,10.1146/annurev.so.21.080195.000401,Scientific Careers: Universalism and Particularism,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Scientific%20Careers%3A%20Universalism%20and%20Particularism,Paula Stephan Survey of Doctorate Recipients,dataset-371,
dimensions,10.1016/j.respol.2005.01.014,"Scientific teams and institutional collaborations: Evidence from U.S. universities, 1981–1999",https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Scientific%20teams%20and%20institutional%20collaborations%3A%20Evidence%20from%20U.S.%20universities%2C%201981%E2%80%931999,Paula Stephan Survey of Earned Doctorates,"dataset-370, dataset-908, dataset-909, dataset-937",
dimensions,10.1177/0022487106292722,Searching for the Next Generation of Teacher Educators,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Searching%20for%20the%20Next%20Generation%20of%20Teacher%20Educators,Lisa Wolf-Wendel Survey of Earned Doctorates,"dataset-370, dataset-493",https://journals.sagepub.com/doi/pdf/10.1177/0022487106292722
dimensions,10.1080/10438590903434844,The diffusion of IT in higher education: publishing productivity of academic life scientists,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=The%20diffusion%20of%20IT%20in%20higher%20education%3A%20publishing%20productivity%20of%20academic%20life%20scientists,Paula Stephan Survey of Doctorate Recipients,"dataset-371, dataset-938, dataset-940",
dimensions,10.1007/s10961-007-9033-3,The entrepreneurial puzzle: explaining the gender gap,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=The%20entrepreneurial%20puzzle%3A%20explaining%20the%20gender%20gap,Paula Stephan Survey of Doctorate Recipients,dataset-371,
dimensions,10.1509/jmr.11.0394,The Hesitant Hai Gui: Return-Migration Preferences of U.S.-Educated Chinese Scientists and Engineers,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=The%20Hesitant%20Hai%20Gui%3A%20Return-Migration%20Preferences%20of%20U.S.-Educated%20Chinese%20Scientists%20and%20Engineers,Paula Stephan Survey of Doctorate Recipients,dataset-371,
dimensions,10.1038/nbt.3766,The impact of postdoctoral training on early careers in biomedicine,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=The%20impact%20of%20postdoctoral%20training%20on%20early%20careers%20in%20biomedicine,Donna Ginther Survey of Doctorate Recipients,"dataset-370, dataset-371",
dimensions,10.1111/j.1465-7295.2008.00172.x,THE KNOWLEDGE PRODUCTION FUNCTION FOR UNIVERSITY PATENTING,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=THE%20KNOWLEDGE%20PRODUCTION%20FUNCTION%20FOR%20UNIVERSITY%20PATENTING,NSF Survey of Earned Doctorates,"dataset-370, dataset-596, dataset-937",
dimensions,10.1037/a0034719,The Role of Citizenship Status in Intent to Leave for Pre-tenure Faculty,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=The%20Role%20of%20Citizenship%20Status%20in%20Intent%20to%20Leave%20for%20Pre-tenure%20Faculty,Lisa Wolf-Wendel Survey of Doctorate Recipients,"dataset-940, dataset-371",
