api,doi,title,url,search_term,dataset,valid,pdf,notes
dimensions,10.1177/1538192707306552,Latinos in Science,https://journals.sagepub.com/doi/10.1177/1538192707306552,NSF Survey of Earned Doctorates,dataset-370,1,https://journals.sagepub.com/doi/pdf/10.1177/1538192707306552,
dimensions,10.1023/a:1020988531713,More Than a Pipeline Problem: Labor Supply Constraints and Gender Stratification Across Academic Science Disciplines,https://link.springer.com/article/10.1023%2FA%3A1020988531713,NSF Survey of Earned Doctorates,"dataset-370, dataset-371",1,https://link.springer.com/content/pdf/10.1023/A:1020988531713.pdf,
dimensions,10.1007/s10109-019-00301-6,Naturalization and the productivity of foreign-born doctorates,https://link.springer.com/article/10.1007%2Fs10109-019-00301-6#Sec5,NSF Survey of Doctorate Recipients,"dataset-370, dataset-371",1,https://link.springer.com/content/pdf/10.1007/s10109-019-00301-6.pdf,
dimensions,10.1037/amp0000222,NIH Behavioral and Social Sciences Research Support: 1980–2016,https://psycnet.apa.org/fulltext/2017-51706-008.html,NSF Survey of Earned Doctorates,"dataset-370, dataset-957",1,https://psycnet.apa.org/fulltext/2017-51706-008.pdf,
dimensions,10.1038/s41561-018-0116-6,No progress on diversity in 40 years,https://www.nature.com/articles/s41561-018-0116-6,NSF Survey of Doctorate Recipients,dataset-370,1,https://www.nature.com/articles/s41561-018-0116-6.pdf,
dimensions,10.1007/s11162-015-9369-8,Not Equal for All: Gender and Race Differences in Salary for Doctoral Degree Recipients,https://link.springer.com/article/10.1007%2Fs11162-015-9369-8#Sec6,NSF Survey of Doctorate Recipients,dataset-371,1,https://link.springer.com/content/pdf/10.1007/s11162-015-9369-8.pdf,
dimensions,10.1177/1463499613492089,"On the future of anthropology: Fundraising, the job market and the corporate turn",https://journals.sagepub.com/doi/full/10.1177/1463499613492089#_i16,NSF Survey of Earned Doctorates,dataset-370,1,https://journals.sagepub.com/doi/pdf/10.1177/1463499613492089,
dimensions,10.1353/rhe.2011.0017,"Onto, Up, Off the Academic Faculty Ladder: The Gendered Effects of Family on Career Transitions for a Cohort of Social Science Ph.D.s",https://muse.jhu.edu/article/439956,NSF Survey of Earned Doctorates,dataset-370,1,https://muse.jhu.edu/article/439956/pdf,
dimensions,10.1615/jwomenminorscieneng.v4.i1.40,ORGANIZATIONAL VARIATIONS IN WOMEN SCIENTISTS' REPRESENTATION IN ACADEMIA,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=ORGANIZATIONAL%20VARIATIONS%20IN%20WOMEN%20SCIENTISTS%27%20REPRESENTATION%20IN%20ACADEMIA,NSF Survey of Earned Doctorates,"dataset-370, dataset-371, dataset-493, dataset-960",1,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.496.1856&rep=rep1&type=pdf,
dimensions,10.1007/s13187-012-0444-y,Outcome Evaluation of the National Cancer Institute Career Development Awards Program,https://link.springer.com/article/10.1007%2Fs13187-012-0444-y#rightslink,NSF Survey of Earned Doctorates,"dataset-963, dataset-370, dataset-935, dataset-965, dataset-966",1,https://link.springer.com/content/pdf/10.1007/s13187-012-0444-y.pdf,
dimensions,10.1002/pam.21639,Permanent Visas and Temporary Jobs: Evidence from Postdoctoral Participation of Foreign PhDs in the United States,https://onlinelibrary.wiley.com/doi/full/10.1002/pam.21639,NSF Survey of Earned Doctorates,dataset-370,1,https://onlinelibrary.wiley.com/doi/pdf/10.1002/pam.21639,
