title,url,authors,journal,doi,search_term,dataset_id
Clinical application of an integrated 3-phase mapping technique for localization of the site of origin of idiopathic ventricular tachycardia,https://pure.amc.nl/en/publications/clinical-application-of-an-integrated-3phase-mapping-technique-for-localization-of-the-site-of-origin-of-idiopathic-ventricular-tachycardia(7435eb75-c6ca-4cc4-9d74-4ee95675a0dd).html,"Peeters, H. A., SippensGroenewegen, A., Wever, E. F., Ramanna, H., Linnenbank, A. C., Potse, M., Grimbergen, C. A., van Hemel, N. M., Hauer, R. N., Robles de Medina, E. O.",,,Integrated Surface Database,dataset-621
Acoustics characterization of micronekton spatial distribution in Indian Ocean using scientific surveys and integrated marine observing system database : acoustics characterization of micronekton,http://www.documentation.ird.fr/hor/fdi:010067521,"Behagle, Nolwenn, Roudaut, Gildas, Josse, Erwan, Brehmer, Patrice, Cotte, C., Duhamel, G, Gautier, O., Cherel, Y., Rayan, T.",,,Integrated Surface Database,dataset-621
Parametric study of a side impact dual cavity airbag using the flexible body EUROSID-1 database in a facet surface environment,http://resolver.tudelft.nl/uuid:cca88010-7008-4138-bc76-0539b96eeda0,"Kant, A.R., Tuinenburg, C., Hellkamp, U.",,,Integrated Surface Database,dataset-621
PolysacDB: A Database of Microbial Polysaccharide Antigens and Their Antibodies,http://europepmc.org/articles/PMC3324500,"Abhijit Aithal, Arun Sharma, Shilpy Joshi, Gajendra P S Raghava, Grish C Varshney",PLoS ONE,10.1371/journal.pone.0034613,Integrated Surface Database,dataset-621
The relationship between inadvertent ingestion and dermal exposure pathways: A new integrated conceptual model and a database of dermal and oral transfer efficiencies,http://resolver.tudelft.nl/uuid:b85bcf8e-ad01-4183-ac00-77e0a6a3e2d0,"Gorman Ng, M., Semple, S., Cherrie, J. W., Christopher, Y., Northage, C., Tielemans, E., Veroughstraete, V., Tongeren, M. van",,,Integrated Surface Database,dataset-621
"IMAS-Fish: Integrated MAnagement System to support the sustainability of Greek Fisheries resources. A multidisciplinary web-based database management system: implementation, capabilities, utilization and future prospects for fisheries stakeholde",http://publications.jrc.ec.europa.eu/repository/handle/JRC69583,"KAVADAS Stefanos, DAMALAS DIMITRIOS, GEORGAKARAKOS Eustratios, MARAVELIAS Christos, TSERPES G., PAPACONSTANTINOU Constantinos, BAZIGOS George",Mediterranean Marine Science,10.12681/mms.324,Integrated Surface Database,dataset-621
Force field and a surface model database for silica to simulate interfacial properties in atomic resolution,http://irep.ntu.ac.uk/id/eprint/4652/1/4652_Perry.pdf,"Emami, FS, Puddu, V, Berry, RJ, Varshney, V, Patwardhan, SV, Perry, CC, Heinz, H",,10.1021/cm500365c,Integrated Surface Database,dataset-621
Building a multi-scaled geospatial temporal ecology database from disparate data sources: fostering open science and data reuse,http://europepmc.org/articles/PMC4488039,"Soranno, Patricia A., Bissell, Edward G., Cheruvelil, Kendra S., Christel, Samuel T., Collins, Sarah M., Fergus, C. Emi, Filstrup, Christopher T., Lapierre, Jean-Francois, Lottig, Noah R., Oliver, Samantha K., Scott, Caren E., Smith, Nicole J., Stopyak, Scott, Yuan, Shuai, Bremigan, Mary Tate, Downing, John A., Gries, Corinna, Henry, Emily N., Skaff, Nick K., Stanley, Emily H., Stow, Craig A., Tan, Pang-Ning, Wagner, Tyler, Webster, Katherine E.",GigaScience,10.1186/s13742-015-0067-4,Integrated Surface Database,dataset-621
MEGADOCK-Web: an integrated database of high-throughput structure-based protein-protein interaction predictions,http://dx.doi.org/10.1371/journal.pone.0009598,"Takanori Hayashi, Yuri Matsuzaki, Keisuke Yanagisawa, Masahito Ohue, Yutaka Akiyama",BMC Bioinformatics,10.1186/s12859-018-2073-x,Integrated Surface Database,dataset-621
Various Occurrence Mechanisms of Large Acceleration over 20 m/s2 and Its Suitability in Design Use,http://journal.frontiersin.org/article/10.3389/fbuil.2018.00003/full,"Shuichi Kamagata, Izuru Takewaki",Frontiers in Built Environment,10.3389/fbuil.2018.00003,Integrated Surface Database,dataset-621
"The kpc-scale relation of stars, star formation and gas in local grand-design spirals",http://dx.doi.org/10.5281/zenodo.3518287,"Rodighiero, Giulia, Enia, Andrea, Morselli, Laura",,10.5281/zenodo.3518287,Integrated Surface Database,dataset-621
DETECTION OF LOCAL SITE CONDITIONS INFLUENCING EARTHQUAKE SHOCK AND SECONDARY EFFECTS IN THE VALPARAISO AREA IN CENTRAL-CHILE USING REMOTE SENSING AND GIS METHODS,http://tsunamisociety.org/303WilligeBurnettC.pdf,"Barbara Theilen-Willige, Felipe Barrios Burnett",Science of Tsunami Hazards,,Integrated Surface Database,dataset-621
Identification and characterization of science-rich landing sites for lunar lander missions using integrated remote sensing observations,https://hal.archives-ouvertes.fr/hal-00830048,"Flahaut, Jessica, Blanchette-Guertin, J.-F., Jilly, C., Sharma, P., Souchon, Audrey, Van Westrenen, Wim, Kring, D.A.",,10.1016/j.asr.2012.05.020,Integrated Surface Database,dataset-621
A reduced estimate of the strength of the ocean's biological carbon pump,http://oceanrep.geomar.de/26326/,"Henson, Stephanie A., Sanders, Richard, Madsen, Esben, Morris, Paul J., Le Moigne, Frederic A. C., Quartly, Graham D.",,10.1029/2011GL046735,Integrated Surface Database,dataset-621
A helical processing pipeline for EM structure determination of membrane proteins,https://europepmc.org/articles/PMC3262078/,"Fisher, Lauren S., Ward, Andrew, Milligan, Ronald A., Unwin, Nigel, Potter, Clinton S., Carragher, Bridget",,10.1016/j.ymeth.2011.09.013,Integrated Surface Database,dataset-621
Gerontome: a web-based database server for aging-related genes and analysis pipelines,http://dx.doi.org/10.1371/journal.pgen.1000414,"Kwon, Jekeun, Lee, Byungwook, Chung, Haeyoung",BMC Genomics,10.1186/1471-2164-11-s4-s20,Integrated Surface Database,dataset-621
Palomar/Las Campanas Imaging Atlas of Blue Compact Dwarf galaxies: I. Images and integrated photometry,http://eprints.ucm.es/36039/,"Gil de Paz, Armando, Madore, B. F., Pevunova, O.",,10.1086/374737,Integrated Surface Database,dataset-621
Mapping by sequencing the Pneumocystis genome using the ordering DNA sequences V3 tool.,https://europepmc.org/articles/PMC1462508/,"Xu, Zheng, Lance, Britton, Vargas, Claudia, Arpinar, Budak, Bhandarkar, Suchendra, Kraemer, Eileen, Kochut, Krys J, Miller, John A, Wagner, Jeff R, Weise, Michael J, Wunderlich, John K, Stringer, James, Smulian, George, Cushion, Melanie T, Arnold, Jonathan",,,Integrated Surface Database,dataset-621
General Approach to Identifying Potential Targets for Cancer Imaging by Integrated Bioinformatics Analysis of Publicly Available Genomic Profiles,https://doi.org/10.2310/7290.2010.00024,"Yongliang Yang, S. James Adelstein, Amin I. Kassis",Molecular Imaging,10.2310/7290.2010.00024,Integrated Surface Database,dataset-621
Integrated approach on heat transfer and inactivation kinetics of microorganisms on the surface of foods during heat treatments: Software development,http://hdl.handle.net/10400.14/3355,"Gil, Maria M., Pereira, Pedro M., Brandão, Teresa R. S., Silva, Cristina L.M., Kondjoyan, Alain, Valdramidis, Vassilis P., Geeraerd, Annemie H., Impe, Jan F.M. Van, James, Steve",,,Integrated Surface Database,dataset-621
GIBSI: an integrated modelling system for watershed management &ndash; sample applications and current developments,https://www.hydrol-earth-syst-sci.net/11/1785/2007/,"Quilbé , R., Rousseau , A. N.",Hydrology and Earth System Sciences,10.5194/hess-11-1785-2007,Integrated Surface Database,dataset-621
"Surface and subsurface data integration and geological modelling from the Little Ice Age to the present, in the Ravenna coastal plain, northwest Adriatic Sea (Emilia-Romagna, Italy)",http://hdl.handle.net/11585/648634,"Scarelli, Frederico M., Barboza, Eduardo G., Cantelli, Luigi, Gabbianelli, Giovanni",,10.1016/j.catena.2016.12.005,Integrated Surface Database,dataset-621
Full dimensional potential energy surface for the ground state of H 4 + system based on triatomic-in-molecules formalism,http://hdl.handle.net/10261/89516,"Sanz-Sanz, Cristina, Roncero, Octavio, Paniagua, Miguel, Aguado, Alfredo",The Journal of Chemical Physics,10.1063/1.4827640,Integrated Surface Database,dataset-621
Dry deposition parameterization of sulfur oxides in a chemistry and general circulation,http://library.wur.nl/WebQuery/wurpubs/381420,"Ganzeveld, L.N., Lelieveld, J., Roelofs, G.J.",,,Integrated Surface Database,dataset-621
GRIS: glycoprotein-hormone receptor information system,http://hdl.handle.net/2066/35801,"Durme, J.J. van, Horn, F., Costagliola, S., Vriend, G., Vassart, G.",,,Integrated Surface Database,dataset-621
Compiling multiproxy quantitative hydrographic data from Holocene marine archives in the North Atlantic: A way to decipher oceanic and climatic dynamics and natural modes?,https://hal.archives-ouvertes.fr/hal-02092654,"Eynaud, Frédérique, Mary, Yannick, Zumaque, Jena, Wary, Mélanie, Gasparotto, Marie-Camille, Swingedouw, Didier, Colin, Christophe",,10.1016/j.gloplacha.2018.07.017,Integrated Surface Database,dataset-621
Fusion of geometric and texture features for finger knuckle surface recognition,http://dx.doi.org/10.1016/j.aej.2015.10.003,"Usha, K., Ezhilarasan, M.",Alexandria Engineering Journal,10.1016/j.aej.2015.10.003,Integrated Surface Database,dataset-621
Characterization of Energy Flux Partitioning in Urban Environments: Links with Surface Seasonal Properties,http://centaur.reading.ac.uk/33533/1/jamc-d-11-038.1.pdf,"Loridan, Thomas, Grimmond, C. S. B.",JOURNAL OF APPLIED METEOROLOGY AND CLIMATOLOGY,10.1175/JAMC-D-11-038.1,Integrated Surface Database,dataset-621
An Improved Single-Channel Method to Retrieve Land Surface Temperature from the Landsat-8 Thermal Band,http://www.mdpi.com/2072-4292/10/3/431,"Jordi Cristóbal, Juan C. Jiménez-Muñoz, Anupma Prakash, Cristian Mattar, Dražen Skoković, José A. Sobrino",Remote Sensing,10.3390/rs10030431,Integrated Surface Database,dataset-621
Integrated Use Of Geoelectrical Imaging And Geochemical Analysis In The Environmental Impact Assessment Of Egbe Dumpsite In Ijebu-Igbo Area/ South Western Nigeria,http://dx.doi.org/10.5281/zenodo.824273,"S.O.   Ariyo, E.M.   Enikanoselu",,10.5281/zenodo.824273,Integrated Surface Database,dataset-621
INTEGRATED USE OF GEOELECTRICAL IMAGING AND GEOCHEMICAL ANALYSIS IN THE ENVIRONMENTAL IMPACT ASSESSMENT OF EGBE DUMPSITE IN IJEBU-IGBO AREA/ SOUTH WESTERN NIGERIA,https://zenodo.org/record/824273,"S.O. Ariyo, E.M. Enikanoselu",,10.5281/zenodo.824273,Integrated Surface Database,dataset-621
Integrated Use Of Geoelectrical Imaging And Geochemical Analysis In The Environmental Impact Assessment Of Egbe Dumpsite In Ijebu-Igbo Area/ South Western Nigeria,http://dx.doi.org/10.5281/zenodo.824272,"S.O.   Ariyo, E.M.   Enikanoselu",,10.5281/zenodo.824272,Integrated Surface Database,dataset-621
Detection of local site conditions influencing earthquake shaking and secondary effects in Southwest-Haiti using remote sensing and GIS-methods,http://www.nat-hazards-earth-syst-sci.net/10/1183/2010/nhess-10-1183-2010.pdf,B. Theilen-Willige,Natural Hazards and Earth System Sciences,10.5194/nhess-10-1183-2010,Integrated Surface Database,dataset-621
An integrated approach for Limpopo Park groundwater characterization for biodiversity safety,http://www.sensesandsciences.com/vitalev3i4,"Stefania Vitale, Roberto Valenti, Maurizio Barbieri, Giuseppe Sappa",Senses and Sciences,10.14616/sands-2016-4-277288,Integrated Surface Database,dataset-621
Identification of common differentially-expressed miRNAs in ovarian cancer cells and their exosomes compared with normal ovarian surface epithelial cell cells,http://dx.doi.org/10.1371/journal.pone.0156109,"Zhang, Shitao, Zhang, Xiaoping, Fu, Xueqi, Li, Wannan, Xing, Shu, Yang, Yiling",Oncology Letters,10.3892/ol.2018.8954,Integrated Surface Database,dataset-621
Identification and characterization of science-rich landing sites for lunar lander missions using integrated remote sensing observations,https://research.vu.nl/en/publications/29fa52f8-e34e-4620-8574-208f1473d036,"Flahaut, J., Blanchette-Guertin, J.F., Jilly, C., Sharma, P., Souchon, A., van Westrenen, W., Kring, D.A.",,10.1016/j.asr.2012.05.020,Integrated Surface Database,dataset-621
Информационно-вычислительная система массивно-параллельной обработки радарных данных в среде Apache Spark,http://dx.doi.org/10.25743/ict.2018.23.16507,"Потапов, В.П., Попов, С.Е., Костылев, М.А.",,10.25743/ict.2018.23.16507,Integrated Surface Database,dataset-621
The Shuilikeng fault in the central Taiwan mountain belt,http://hdl.handle.net/10261/130606,"Camanni, Giovanni, Brown, Dennis, Alvarez-Marrón, Joaquina, Wu, Y. M., Chen, H. A.",,10.1144/jgs2013-014,Integrated Surface Database,dataset-621
Has OpenStreetMap a role in digital earth applications?,http://eprints.maynoothuniversity.ie/6580/,"Mooney, Peter, Corcoran, Padraig",,10.1080/17538947.2013.781688,Integrated Surface Database,dataset-621
"Use of GIS systems to analyze soil compressibility, swelling and bearing capacity under superficial foundations in Algiers region, Algeria",http://uac.incd.ro/Art/v9n4a07.pdf,"Fatiha ‎ Debiche, Ratiba Mitiche Kettab, Mohammed Amin‎ Benbouras, Bilal Benbellil, Lynda Djerbal, Alexandru-Ionut Petrişor",Urbanism. Arhitectura. Constructii,,Integrated Surface Database,dataset-621
Reactive transport in surface sediments. I. Model complexity and software quality,https://pure.knaw.nl/portal/en/publications/reactive-transport-in-surface-sediments-i-model-complexity-and-software-quality(ff1d76ae-0cd1-4a0e-8ee2-b3a7b523e02e).html,"Meysman, F.J.R., Middelburg, J.J., Herman, P.M.J., Heip, C.H.R.",,,Integrated Surface Database,dataset-621
Mapping and assessment of urban ecosystem condition and services using integrated index of spatial structure,https://zenodo.org/record/1139928,"Nedkov, Stoyan, Zhiyanski, Miglena, Dimitrov, Stelian, Borisova, Bilyana, Popov, Anton, Ihtimanski, Ivo, Yaneva, Rositsa, Nikolov, Petar, Bratanova-Doncheva, Svetla",One Ecosystem,10.3897/oneeco.2.e14499,Integrated Surface Database,dataset-621
A new method (M 3 Fusion v1) for combining observations and multiple model output for an improved estimate of the global surface ozone distribution,https://hal.archives-ouvertes.fr/hal-02374553,"Chang, Kai-Lan, Cooper, Owen, West, J. Jason, Serre, Marc,, Schultz, Martin, Lin, Meiyun, Marécal, Virginie, Josse, Béatrice, Deushi, Makoto, Sudo, Kengo, Liu, Junhua,, Keller, Christoph",,10.5194/gmd-12-955-2019,Integrated Surface Database,dataset-621
Upgraded global mapping information for earth system modelling: an application to surface water depth at the ECMWF,https://www.hydrol-earth-syst-sci.net/23/4051/2019/,"Choulga, Margarita, Kourzeneva, Ekaterina, Balsamo, Gianpaolo, Boussetta, Souhail, Wedi, Nils",,10.5194/hess-23-4051-2019,Integrated Surface Database,dataset-621
A neural network-based method for merging ocean color and Argo data to extend surface bio-optical properties to depth: Retrieval of the particulate backscattering coefficient,http://oceanrep.geomar.de/34438/,"Sauzède, R., Claustre, Hervé, Uitz, J., Jamet, C., Dall'Olmo, G., D'Ortenzio, F., Gentili, B., Poteau, A., Schmechtig, C.",Journal of Geophysical Research: Oceans,10.1002/2015JC011408,Integrated Surface Database,dataset-621
Minimal Processing in automatisierten Prozessketten der Fleischverarbeitung: Eine Fallstudie zum Minimal Processing in automatisierten Prozessketten der Fleischverarbeitung am Beispiel der Feinzerlegung von Schweinefleisch (Schinken),http://publica.fraunhofer.de/documents/N-163249.html,"Durek, J., Becker, T., Bolling, J., Diepolder, H., Heinz, V., Hitzmann, B., Majschak, J.-P., Schlüter, O., Schmidt, H., Schwägele, F., Delgado, A.",,,Integrated Surface Database,dataset-621
Radiation efficiency analysis of submillimeter-wave receivers based on a modified spectral domain integration technique,http://publica.fraunhofer.de/documents/N-128300.html,"Vaupel, T., Hansen, V., Schäfer, F.",,10.1029/2001RS002575,Integrated Surface Database,dataset-621
Stable climate and surface mass balance in Svalbard over 1979&ndash;2013 despite the Arctic warming,https://www.the-cryosphere.net/9/83/2015/,"Lang, Charlotte, Fettweis, Xavier, Erpicum, Michel",The Cryosphere,10.5194/tc-9-83-2015,Integrated Surface Database,dataset-621
Simultaneous Force Regression and Movement Classification of Fingers via Surface EMG within a Unified Bayesian Framework,http://europepmc.org/articles/PMC5834453,"Baldacchino, Tara, Jacobs, William R., Anderson, Sean R., Worden, Keith, Rowson, Jennifer",Frontiers in Bioengineering and Biotechnology,10.3389/fbioe.2018.00013,Integrated Surface Database,dataset-621
Simultaneous Force Regression and Movement Classification of Fingers via Surface EMG within a Unified Bayesian Framework,http://journal.frontiersin.org/article/10.3389/fbioe.2018.00013/full,"Tara Baldacchino, William R. Jacobs, Sean R. Anderson, Keith Worden, Jennifer Rowson, Jennifer Rowson",Frontiers in Bioengineering and Biotechnology,10.3389/fbioe.2018.00013/full,Integrated Surface Database,dataset-621
