api,doi,title,url,search_term,dataset,valid,pdf
dimensions,10.1002/jee.20182,"Engineering PhD Returners and Direct‐Pathway Students: Comparing Expectancy, Value, and Cost",https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Engineering%20PhD%20Returners%20and%20Direct%E2%80%90Pathway%20Students%3A%20Comparing%20Expectancy%2C%20Value%2C%20and%20Cost,NSF Survey of Doctorate Recipients,dataset-371,,
dimensions,10.2200/s00111ed1v01y200804ets005,Engineering: Women and Leadership,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Engineering%3A%20Women%20and%20Leadership,NSF Survey of Earned Doctorates,dataset-370,,
dimensions,10.1007/s00216-018-1274-5,Enhancing research for undergraduates through a nanotechnology training program that utilizes analytical and bioanalytical tools,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Enhancing%20research%20for%20undergraduates%20through%20a%20nanotechnology%20training%20program%20that%20utilizes%20analytical%20and%20bioanalytical%20tools,NSF Survey of Doctorate Recipients,dataset-371,,
dimensions,10.1111/ecca.12144,Entrepreneurship and Job‐relatedness of Human Capital,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Entrepreneurship%20and%20Job%E2%80%90relatedness%20of%20Human%20Capital,NSF Survey of Doctorate Recipients,dataset-371,,
dimensions,10.2139/ssrn.1025994,Estimating the Need for PhDs in the Academic Sector Via a Survey of Employers,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Estimating%20the%20Need%20for%20PhDs%20in%20the%20Academic%20Sector%20Via%20a%20Survey%20of%20Employers,NSF Survey of Earned Doctorates,dataset-370,,
dimensions,10.2139/ssrn.2614600,Ethnic Complementarities After the Opening of China: How Chinese Graduate Students Affected the Productivity of Their Advisors,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Ethnic%20Complementarities%20After%20the%20Opening%20of%20China%3A%20How%20Chinese%20Graduate%20Students%20Affected%20the%20Productivity%20of%20Their%20Advisors,NSF Survey of Earned Doctorates,dataset-370,,
dimensions,10.1111/j.1749-6632.1979.tb16847.x,Expanding the Role of Women in the Biomedical Sciences,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Expanding%20the%20Role%20of%20Women%20in%20the%20Biomedical%20Sciences,NSF Survey of Earned Doctorates,dataset-370,,
dimensions,10.1080/00091383.2018.1510268,"Facilitating Interdisciplinary Graduate Education: Barriers, Solutions, and Needed Innovations",https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Facilitating%20Interdisciplinary%20Graduate%20Education%3A%20Barriers%2C%20Solutions%2C%20and%20Needed%20Innovations,NSF Survey of Doctorate Recipients,dataset-371,,
dimensions,10.1186/s12052-015-0034-7,Factors influencing minority student decisions to consider a career in evolutionary biology,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Factors%20influencing%20minority%20student%20decisions%20to%20consider%20a%20career%20in%20evolutionary%20biology,NSF Survey of Doctorate Recipients,dataset-371,,
dimensions,10.1007/s10755-013-9265-0,FAST-Future Academic Scholars in Teaching: A High-Engagement Development Program for Future STEM Faculty,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=FAST-Future%20Academic%20Scholars%20in%20Teaching%3A%20A%20High-Engagement%20Development%20Program%20for%20Future%20STEM%20Faculty,NSF Survey of Earned Doctorates,dataset-370,,
dimensions,10.1080/00220485.2014.942410,Fifteen Years of Research on Graduate Education in Economics: What Have we Learned?,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Fifteen%20Years%20of%20Research%20on%20Graduate%20Education%20in%20Economics%3A%20What%20Have%20we%20Learned%3F,NSF Survey of Earned Doctorates,dataset-370,,
dimensions,10.1038/s41578-019-0130-3,Finding and landing an academic position in materials science in the US,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Finding%20and%20landing%20an%20academic%20position%20in%20materials%20science%20in%20the%20US,NSF Survey of Doctorate Recipients,dataset-371,,
