api,doi,title,url,search_term,dataset_id,valid,pdf
pubmed,10.1089/hs.2017.0018,Evaluation of State Plans and the Livestock Emergency Response Plan (LERP).,https://www.ncbi.nlm.nih.gov/pubmed/29182480,Agricultural Resource Management Survey,dataset-870,no,
pubmed,10.3390/ijerph16183331,Evaluation of Undergraduate Students' Responsiveness to a 4-Week University-Based Animal-Assisted Stress Prevention Program.,https://www.ncbi.nlm.nih.gov/pubmed/31509993,Agricultural Resource Management Survey,dataset-870,no,
dimensions,10.1016/j.telpol.2016.12.004,Evaluation of USDA's Broadband Loan Program: Impacts on broadband provision,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Evaluation%20of%20USDA%27s%20Broadband%20Loan%20Program%3A%20Impacts%20on%20broadband%20provision,Agricultural Resource Management Survey,dataset-870,no,
pubmed,10.3390/ijerph17041304,Evolution of Groundwater in Yinchuan Oasis at the Upper Reaches of the Yellow River after Water-Saving Transformation and Its Driving Factors.,https://www.ncbi.nlm.nih.gov/pubmed/32085534,Agricultural Resource Management Survey,dataset-870,no,
dimensions,10.1080/00036846.2018.1527457,Evolving techniques in production function identification illustrated in the case of the US dairy,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Evolving%20techniques%20in%20production%20function%20identification%20illustrated%20in%20the%20case%20of%20the%20US%20dairy,Agricultural Resource Management Survey,dataset-870,no,
openaire,10.22004/ag.econ.169062,Examining Labor Substitution: Does Family Matter for U.S. Cash Grain Farmers?,http://dx.doi.org/10.22004/ag.econ.169062,Agricultural Resource Management Survey,dataset-870,yes,
openaire,10.22004/ag.econ.169062,Examining Labor Substitution: Does Family Matter for U.S. Cash Grain Farmers?,http://purl.umn.edu/169062,Agricultural Resource Management Survey,dataset-870,yes,
dimensions,10.1017/s107407080000078x,Examining Labor Substitution: Does Family Matter for U.S. Cash Grain Farmers?,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Examining%20Labor%20Substitution%3A%20Does%20Family%20Matter%20for%20U.S.%20Cash%20Grain%20Farmers%3F,Agricultural Resource Management Survey,dataset-870,,
openaire,10.22004/ag.econ.234305,Examining Nonresponse Occurring in the National Agricultural Statistics Service’s 2009 Agricultural Resource Management Survey Phase III,http://dx.doi.org/10.22004/ag.econ.234305,Agricultural Resource Management Survey,dataset-870,,
dimensions,10.1108/afr-11-2017-0103,Examining the financial performance of agricultural cooperatives in the USA,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Examining%20the%20financial%20performance%20of%20agricultural%20cooperatives%20in%20the%20USA,Agricultural Resource Management Survey,dataset-870,,
