datasets,doi,journal,search_term,title
dataset-624,10.1016/j.rse.2019.111535,"{'id': 'jour.1045931', 'title': 'Remote Sensing of Environment'}",U.S. Interagency Elevation Inventory,Evaluation of pushbroom DAP relative to frame camera DAP and lidar for forest modeling
dataset-624,10.1007/978-3-030-32523-7,,U.S. Interagency Elevation Inventory,"Proceedings of the Future Technologies Conference (FTC) 2019, Volume 2"
dataset-624,10.1007/978-3-319-93336-8,,U.S. Interagency Elevation Inventory,Handbook of Climate Change Resilience
dataset-624,10.1007/978-3-030-23243-6,,U.S. Interagency Elevation Inventory,Gully Erosion Studies from India and Surrounding Regions
dataset-624,10.1016/b978-0-12-815822-7.00005-4,,U.S. Interagency Elevation Inventory,Chapter 5 Machine learning for spatiotemporal big data in air pollution
dataset-624,10.1007/978-3-319-68617-2,,U.S. Interagency Elevation Inventory,Kanerva’s Occupational Dermatology
dataset-624,10.1007/978-3-030-27447-4,,U.S. Interagency Elevation Inventory,"Spine Pain Care, A Comprehensive Clinical Guide"
dataset-624,10.1007/978-981-32-9915-3,,U.S. Interagency Elevation Inventory,Manual of Digital Earth
dataset-624,10.1007/978-3-030-22055-6,,U.S. Interagency Elevation Inventory,Air Pollution Modeling and its Application XXVI
dataset-624,10.1525/9780520961913-009,,U.S. Interagency Elevation Inventory,Chapter Six. Characterizing Fire Regimes
dataset-624,10.1111/jfr3.12579,"{'id': 'jour.1045084', 'title': 'Journal of Flood Risk Management'}",U.S. Interagency Elevation Inventory,A rapid flood risk assessment method for response operations and nonsubject‐matter‐expert community planning
dataset-624,10.3375/043.039.0408,"{'id': 'jour.1140143', 'title': 'Natural Areas Journal'}",U.S. Interagency Elevation Inventory,Suitability of Natural Areas for Representing Ecological Change in the Pacific Northwest
dataset-624,10.1016/j.jenvman.2019.109421,"{'id': 'jour.1018392', 'title': 'Journal of Environmental Management'}",U.S. Interagency Elevation Inventory,Potential efficiency gains in payment programs from resolving spatial and temporal heterogeneity in the cost of supplying forest carbon
dataset-624,10.1111/hiv.12814,"{'id': 'jour.1021886', 'title': 'HIV Medicine'}",U.S. Interagency Elevation Inventory,EACS 2019 – Abstract Book
dataset-624,10.1007/s12665-019-8478-7,"{'id': 'jour.1313768', 'title': 'Environmental Earth Sciences'}",U.S. Interagency Elevation Inventory,"Analysis of river lateral channel movement using quantitative geomorphometric indicators: Qara-Sou River, Iran"
dataset-624,10.1002/ecs2.2821,"{'id': 'jour.1047660', 'title': 'Ecosphere'}",U.S. Interagency Elevation Inventory,Accounting for aboveground carbon storage in shrubland and woodland ecosystems in the Great Basin
dataset-624,10.3389/fevo.2019.00241,"{'id': 'jour.1050243', 'title': 'Frontiers in Ecology and Evolution'}",U.S. Interagency Elevation Inventory,Operationalizing Ecological Resilience Concepts for Managing Species and Ecosystems at Risk
dataset-624,10.7717/peerj.7093,"{'id': 'jour.1136887', 'title': 'PeerJ'}",U.S. Interagency Elevation Inventory,"Modeling the impacts of agricultural best management practices on runoff, sediment, and crop yield in an agriculture-pasture intensive watershed"
dataset-624,10.1089/neu.2019.29100.abstracts,"{'id': 'jour.1095180', 'title': 'Journal of Neurotrauma'}",U.S. Interagency Elevation Inventory,"Abstracts from The 37th Annual National Neurotrauma Symposium June 29–July 3, 2019 Pittsburgh, Pennsylvania"
dataset-624,10.1029/2019jg005038,"{'id': 'jour.1049048', 'title': 'Journal of Geophysical Research Biogeosciences'}",U.S. Interagency Elevation Inventory,"Thermokarst Effects on Carbon Dioxide and Methane Fluxes in Streams on the Peel Plateau (NWT, Canada)"
