title,url,authors,open,journal,search_term,dataset_id
Preparing suitable climate scenario data to assess impacts on local food safety,http://library.wur.nl/WebQuery/wurpubs/479542,"Liu, C., Hofstra, N., Leemans, R.",False,,Local Climate Analysis Tool Data,dataset-637
AN OPEN-SOURCE MOBILE GEOSPATIAL PLATFORM FOR PROMOTING CLIMATE-SMART LIVELIHOOD-LANDSCAPE SYSTEMS IN FIJI AND TONGA,https://doaj.org/toc/2194-9034,"K. P. Davies, J. Duncan, N. Wales, R. Varea, H. Shojaei, E. Bruce, B. Boruff, E. Biggs",True,,Local Climate Analysis Tool Data,dataset-637
Applied climate-change analysis: the climate wizard tool.,http://dx.doi.org/10.1371/journal.pone.0006166,"Girvetz, Evan H., Zganjar, Chris, Raber, George T., Maurer, Edwin P., Kareiva, Peter, Lawler, Joshua J.",True,PLoS ONE,Local Climate Analysis Tool Data,dataset-637
Assessing the Impact of CFSR and Local Climate Datasets on Hydrological Modeling Performance in the Mountainous Black Sea Catchment,https://www.mdpi.com/2073-4441/11/11/2277,"Gokhan Cuceloglu, Izzet Ozturk",True,Water,Local Climate Analysis Tool Data,dataset-637
Analysis of Climate Change Affecting German Forests by Combination of Meteorological and Phenological Data within a GIS Environment,https://doaj.org/toc/1537-744X,"Schröder, Winfried, Pesch, Roland, Schmidt, Gunther, Englert, Cordula",True,The Scientific World Journal,Local Climate Analysis Tool Data,dataset-637
"A study on Ecotect application of local climate at a residential area in Chuncheon, Korea",http://journals.vgtu.lt/index.php/JEELM/article/view/1349,"Wu, Qian, Jo, Hyun-Kil",True,Journal of Environmental Engineering and Landscape Management,Local Climate Analysis Tool Data,dataset-637
Regional Climate Model Evaluation System powered by Apache Open Climate Workbench v1.3.0: an enabling tool for facilitating regional climate studies,https://www.geosci-model-dev.net/11/4435/2018/gmd-11-4435-2018.pdf,"H. Lee, A. Goodman, L. McGibbney, D. E. Waliser, J. Kim, J. Kim, P. C. Loikith, P. B. Gibson, E. C. Massoud",True,Geoscientific Model Development,Local Climate Analysis Tool Data,dataset-637
Improvement of greenhouse design and climate control in mediterranean conditions,http://library.wur.nl/WebQuery/wurpubs/519884,"Tuzel, Yuksel, Zwart, de, Feije, Sapounas, A., Hemming, Silke, Stanghellini, Cecilia",True,,Local Climate Analysis Tool Data,dataset-637
Flomfrekvensanalyse og flomvannlinjeberegninger for byvassdrag,http://hdl.handle.net/11250/2595606,"Nie, Linmei, Selseth, Ingrid, Sægrov, Sveinung, Vagle, Odd Arne, Andrianov, Alexandr A",True,,Local Climate Analysis Tool Data,dataset-637
"Traditional climate knowledge: a case study in a peasant community of Tlaxcala, Mexico",http://europepmc.org/articles/PMC4990871,"Rivero-Romero, Alexis D., Moreno-Calles, Ana I., Casas, Alejandro, Castillo, Alicia, Camou-Guerrero, Andrés",True,Journal of Ethnobiology and Ethnomedicine,Local Climate Analysis Tool Data,dataset-637
"Software to identify climate change trends at the local level: a study case in Yucatán, México",http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-40182013000100007&lng=en&tlng=en,"Bautista, Francisco, Bautista-Hernández, Dorian A., Álvarez, Oscar, Anaya-Romero, María, de la Rosa, Diego",True,,Local Climate Analysis Tool Data,dataset-637
Set up and calibration of a spatial tool for simulating latest decades' flow discharges of the western Java: Preliminary Results and Assessments,https://research.vu.nl/en/publications/9ec3a0b1-4812-4579-8ecc-7d860a4bf3ef,"Poerbandono, Philip J. Ward, Miga M. Julian",True,ITB Journal of Engineering Science,Local Climate Analysis Tool Data,dataset-637
A governance of climate change mitigation in transport sector and selected co-benefits in Indonesia: The case of Bandung City,http://resolver.tudelft.nl/uuid:92215d2a-afb5-4abb-96e8-0ec7de1d7d8e,"Gunawan, H., Bressers, H., Megantara, E. N., Kurnani, T. B.A., Hoppe, T., Mohlakoana, N.",True,,Local Climate Analysis Tool Data,dataset-637
"Software to identify climate change trends at the local level: A study case in Yucatán, México",http://hdl.handle.net/10261/115862,"Bautista, F., Bautista-Hernández, Dorian A., Álvarez, Oscar, Anaya Romero, María, Rosa, Diego de la",True,,Local Climate Analysis Tool Data,dataset-637
Information Entropy Suggests Stronger Nonlinear Associations between Hydro-Meteorological Variables and ENSO,http://www.mdpi.com/1099-4300/20/1/38,"Tue M. Vu, Ashok K. Mishra, Goutam Konapala",True,Entropy,Local Climate Analysis Tool Data,dataset-637
"Hydrological response to climate change for Gilgel Abay River, in the Lake Tana Basin -Upper Blue Nile Basin of Ethiopia.",http://europepmc.org/articles/PMC3824061,"Dile, Yihun Taddele, Berndtsson, Ronny, Setegn, Shimelis G.",True,PLoS ONE,Local Climate Analysis Tool Data,dataset-637
Revealing patterns of local species richness along environmental gradients with a novel network tool,http://europepmc.org/articles/PMC4479799,"Baudena, M., Sánchez, A., Co-Pierre, G., Ruiz Benito, Paloma, Rodríguez, M.A., Zavala Girones, Miguel Ángel De, Rietkerk, M.",True,Scientific Reports,Local Climate Analysis Tool Data,dataset-637
A data portal for regional climatic trend analysis in a Peruvian High Andes region,https://www.zora.uzh.ch/id/eprint/60921/1/2011_SalzmannN_asr-6-219-2011.pdf,"M. Schwarb, D. Acuña, Th. Konzelmann, M. Rohrer, N. Salzmann, B. Serpa Lopez, E. Silvestre",True,,Local Climate Analysis Tool Data,dataset-637
East China summer rainfall variability of 1958-2000: Dynamical downscaling with a variable-resolution AGCM,http://dx.doi.org/10.1371/journal.pone.0069853.t001,"Zou, L., Zhou, T., Li, Laurent, Zhang, J.",True,,Local Climate Analysis Tool Data,dataset-637
A new approach to semantic sustainability assessment: text mining via network analysis revealing transition patterns in German municipal climate action plans,https://doaj.org/toc/2192-0567,"Bickel, Manuel W.",True,Energy,Local Climate Analysis Tool Data,dataset-637
Transforming typical hourly simulation weather data files to represent urban locations by using a 3D urban unit representation with micro-climate simulations,http://livrepository.liverpool.ac.uk/3004353/1/Transforming%20typical%20hourly%20simulation%20%28Bourikas%20et%20al%202016%29.pdf,"Chow, DHC, Bourikas, L, James, PAB, Bahaj, AS, Jentsch, MF, Shen, T, Darkwa, J",True,Future Cities and Environment,Local Climate Analysis Tool Data,dataset-637
Conservation of pattern as a tool for inference on spatial snapshots in ecological data\ud,http://europepmc.org/articles/PMC5760736,"Irvine, Michael A., Keeling, Matt J., Bull, James C.",True,Scientific Reports,Local Climate Analysis Tool Data,dataset-637
