title,journal,authors,doi,search_term,dataset_id
Applying machine learning to forecast daily Ambrosia pollen using environmental and NEXRAD parameters.,Environmental monitoring and assessment,"Zewdie, Gebreab K, Liu, Xun, Wu, Daji, Lary, David J, Levetin, Estelle",10.1007/s10661-019-7428-x,NEXRAD,dataset-612
Estimating the daily pollen concentration in the atmosphere using machine learning and NEXRAD weather radar data.,Environmental monitoring and assessment,"Zewdie, Gebreab K, Lary, David J, Liu, Xun, Wu, Daji, Levetin, Estelle",10.1007/s10661-019-7542-9,NEXRAD,dataset-612
Where in the air? Aerial habitat use of nocturnally migrating birds.,Biology letters,"Horton, Kyle G, Van Doren, Benjamin M, Stepanian, Phillip M, Farnsworth, Andrew, Kelly, Jeffrey F",,NEXRAD,dataset-612
An assessment of spatio-temporal relationships between nocturnal bird migration traffic rates and diurnal bird stopover density.,Movement ecology,"Horton, Kyle G, Shriver, W Gregory, Buler, Jeffrey J",10.1186/s40462-015-0066-1,NEXRAD,dataset-612
Training General Aviation Pilots for Convective Weather Situations.,Aerospace medicine and human performance,"Blickensderfer, Elizabeth L, Lanicci, John M, Vincent, Michael J, Thomas, Robert L, Smith, MaryJo, Cruit, Jessica K",10.3357/AMHP.4174.2015,NEXRAD,dataset-612
Uncertainty and urban water recharge for managing groundwater availability using decision support.,Water science and technology : a journal of the International Association on Water Pollution Research,"Passarello, M C, Pierce, S A, Sharp, J M",10.2166/wst.2014.437,NEXRAD,dataset-612
Evaluating an education/training module to foster knowledge of cockpit weather technology.,"Aviation, space, and environmental medicine","Cobbett, Erin A, Blickensderfer, Elizabeth L, Lanicci, John",10.3357/ASEM.3770.2014,NEXRAD,dataset-612
Comparative statistical study of hourly precipitation determined by radar-based stage IV and ground-based methods in the North Central United States.,Journal of the Air & Waste Management Association (1995),"Catizone, Pietro A, Zell, Steven E, Arrington, Christopher R, Newman, Michael B, Weber, Steven F, White, Robert J",,NEXRAD,dataset-612
Intercomparison of vertical structure of storms revealed by ground-based (NMQ) and spaceborne radars (CloudSat-CPR and TRMM-PR).,TheScientificWorldJournal,"Fall, Veronica M, Cao, Qing, Hong, Yang",10.1155/2013/270726,NEXRAD,dataset-612
Climate and weather impact timing of emergence of bats.,PloS one,"Frick, Winifred F, Stepanian, Phillip M, Kelly, Jeffrey F, Howard, Kenneth W, Kuster, Charles M, Kunz, Thomas H, Chilson, Phillip B",10.1371/journal.pone.0042737,NEXRAD,dataset-612
Noctuid migration in Texas within the nocturnal aeroecological boundary layer.,Integrative and comparative biology,"Westbrook,John K",10.1093/icb/icn040,NEXRAD,dataset-612
Analyzing NEXRAD doppler radar images to assess nightly dispersal patterns and population trends in Brazilian free-tailed bats (Tadarida brasiliensis).,Integrative and comparative biology,"Horn, Jason W, Kunz, Thomas H",10.1093/icb/icn051,NEXRAD,dataset-612
"Regional scale flood modeling using NEXRAD rainfall, GIS, and HEC-HMS/RAS: a case study for the San Antonio River Basin Summer 2002 storm event.",Journal of environmental management,"Knebl, M R, Yang, Z-L, Hutchison, K, Maidment, D R",,NEXRAD,dataset-612
