api,doi,title,url,search_term,dataset,valid,pdf,notes
openaire,,"Effect of Human Activities on Forest Biodiversity in White Nile State, Sudan",https://hal.archives-ouvertes.fr/hal-00818046,Agricultural Resource Management Survey,dataset-870,0,,"not mentioned in abstract, and mentions Sudan"
pubmed,10.1186/s12966-018-0758-1,Effectiveness and cost-effectiveness of a loyalty scheme for physical activity behaviour change maintenance: results from a cluster randomised controlled trial.,https://www.ncbi.nlm.nih.gov/pubmed/30541563,Agricultural Resource Management Survey,dataset-870,0,,"not mentioned in abstract, and mentions North Ireland"
openaire,10.22004/ag.econ.60993,Effects of Changes to Farm Program Payment Policies on the Distribution of Payments and Income Inequality of Farm Households,http://dx.doi.org/10.22004/ag.econ.60993,Agricultural Resource Management Survey,dataset-870,0,https://ageconsearch.umn.edu/record/60993/files/DurstEl-Osta_Poster_April_27_2010%20_3_.pdf,poster
dimensions,10.1017/s1074070800000183,Effects of Manure Use and Use Restrictions on Variable Production Costs and Net Incomes for United States Corn Producers,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Effects%20of%20Manure%20Use%20and%20Use%20Restrictions%20on%20Variable%20Production%20Costs%20and%20Net%20Incomes%20for%20United%20States%20Corn%20Producers,Agricultural Resource Management Survey,dataset-870,1,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/7E3E96003615877912229FE6863D57A4/S1074070800000183a.pdf/effects_of_manure_use_and_use_restrictions_on_variable_production_costs_and_net_incomes_for_united_states_corn_producers.pdf,
pubmed,10.1186/1746-4269-10-82,Effects of socio-economic household characteristics on traditional knowledge and usage of wild yams and medicinal plants in the Mahafaly region of south-western Madagascar.,https://www.ncbi.nlm.nih.gov/pubmed/25551198,Agricultural Resource Management Survey,dataset-870,0,,"not mentioned in abstract, and mentions Madagascar data"
dimensions,10.3168/jds.2011-4361,Effects of stored feed cropping systems and farm size on the profitability of Maine organic dairy farm simulations,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Effects%20of%20stored%20feed%20cropping%20systems%20and%20farm%20size%20on%20the%20profitability%20of%20Maine%20organic%20dairy%20farm%20simulations,Agricultural Resource Management Survey,dataset-870,0,,only mentioned in introduction section
dimensions,10.2139/ssrn.2066567,Efficiency of Pena’s P2 Distance in Construction of Human Development Indices,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Efficiency%20of%20Pena%E2%80%99s%20P2%20Distance%20in%20Construction%20of%20Human%20Development%20Indices,Agricultural Resource Management Survey,dataset-870,0,,not mentioned in abstract
pubmed,10.1371/journal.pone.0102434,Efficient use of information in adaptive management with an application to managing recreation near golden eagle nesting sites.,https://www.ncbi.nlm.nih.gov/pubmed/25098955,Agricultural Resource Management Survey,dataset-870,0,,not mentioned in abstract
pubmed,10.3897/BDJ.7.e36387,Eleven years' data of grassland management in Germany.,https://www.ncbi.nlm.nih.gov/pubmed/31598068,Agricultural Resource Management Survey,dataset-870,2,,"not mentioned in abstract, and mentions Germany. But the topic is related"
openaire,10.14288/1.0166546,"Emerging farmer movements and alternative land access initiatives in British Columbia, Canada",http://dx.doi.org/10.14288/1.0166546,Agricultural Resource Management Survey,dataset-870,0,,"not mentioned in abstract, and mentions Canada"
pubmed,10.1080/1059924X.2017.1358230,Employers' Perspective on Childcare Services for Hired Farm Workers.,https://www.ncbi.nlm.nih.gov/pubmed/28759340,Agricultural Resource Management Survey,dataset-870,2,,"not mentioned in abstract, but topic related"
dimensions,10.5194/gmd-9-3177-2016,Enhanced representation of soil NO emissions in the Community Multiscale Air Quality (CMAQ) model version 5.0.2,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Enhanced%20representation%20of%20soil%20NO%20emissions%20in%20the%20Community%20Multiscale%20Air%20Quality%20%28CMAQ%29%20model%20version%C2%A05.0.2,Agricultural Resource Management Survey,dataset-870,0,,abstract mentions other data
pubmed,10.1016/j.jenvman.2012.09.009,Environmental attitudes and drift reduction behavior among commercial pesticide applicators in a U.S. agricultural landscape.,https://www.ncbi.nlm.nih.gov/pubmed/23062271,Agricultural Resource Management Survey,dataset-870,2,,not mentioned in abstract. It also mentions a created survey
dimensions,10.1787/5js6g5khdvhj-en,Environmental Co-benefits and Stacking in Environmental Markets,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Environmental%20Co-benefits%20and%20Stacking%20in%20Environmental%20Markets,Agricultural Resource Management Survey,dataset-870,2,,"not mentioned in abstract, but topic related"
dimensions,10.1016/j.shpsc.2015.02.002,Epistemological depth in a GM crops controversy,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Epistemological%20depth%20in%20a%20GM%20crops%20controversy,Agricultural Resource Management Survey,dataset-870,2,,not used here but refers to this article that potentially uses ARMS dataset https://doi.org/10.1038/nbt0410-319
pubmed,10.1016/j.prevetmed.2014.03.013,Estimated prevalence and risk factors associated with clinical Lumpy skin disease in north-eastern Ethiopia.,https://www.ncbi.nlm.nih.gov/pubmed/24703247,Agricultural Resource Management Survey,dataset-870,0,,"not mentioned in abstract, mentions Ethiopia, and looks off topic"
dimensions,10.2134/agronj2012.0018n,Estimating Factor Contributions to Soybean Yield from Farm Field Data,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Estimating%20Factor%20Contributions%20to%20Soybean%20Yield%20from%20Farm%20Field%20Data,Agricultural Resource Management Survey,dataset-870,0,,"not mentioned in abstract, mentions data used was generated for this study"
pubmed,10.1016/j.jenvman.2011.06.027,Estimating irrigation water demand in the Moroccan Drâa Valley using contingent valuation.,https://www.ncbi.nlm.nih.gov/pubmed/21741154,Agricultural Resource Management Survey,dataset-870,2,,"not mentioned in abstract, and mentions Morocco data but topic related"
dimensions,10.2139/ssrn.3286328,"Estimating Value, Damages, and Remedies When Farm Data Are Misappropriated",https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Estimating%20Value%2C%20Damages%2C%20and%20Remedies%20When%20Farm%20Data%20Are%20Misappropriated,Agricultural Resource Management Survey,dataset-870,2,,"not mentioned in abstract, but topic could be related"
pubmed,10.1016/j.ijfoodmicro.2008.06.007,"Estimation of the costs of acute gastrointestinal illness in British Columbia, Canada.",https://www.ncbi.nlm.nih.gov/pubmed/18649966,Agricultural Resource Management Survey,dataset-870,0,,"not mentioned in abstract, and mentions Canada"
pubmed,10.4314/ajtcam.v10i4.10,"Ethno-botanical study of medicinal plants of Paddar Valley of Jammu and Kashmir, India.",https://www.ncbi.nlm.nih.gov/pubmed/24146502,Agricultural Resource Management Survey,dataset-870,0,,"not mentioned in abstract, and mentions India"
pubmed,10.5455/jice.20170606094119,Ethnopharmacological values of cassava and its potential for diabetes and dyslipidemia management: Knowledge survey and critical review of report.,https://www.ncbi.nlm.nih.gov/pubmed/28894623,Agricultural Resource Management Survey,dataset-870,0,,"not mentioned in abstract, and mentions data was generated for this study"
dimensions,10.1108/afr-08-2017-0074,Evaluating financial stress and performance of beginning farmers during the agricultural downturn,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Evaluating%20financial%20stress%20and%20performance%20of%20beginning%20farmers%20during%20the%20agricultural%20downturn,Agricultural Resource Management Survey,dataset-870,1,https://www.emerald.com/insight/content/doi/10.1108/AFR-08-2017-0074/full/pdf?title=evaluating-financial-stress-and-performance-of-beginning-farmers-during-the-agricultural-downturn,this article inks to others using dataset-870
dimensions,10.1177/0885412211435172,Evaluating the Benefits of Peri-Urban Agriculture,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Evaluating%20the%20Benefits%20of%20Peri-Urban%20Agriculture,Agricultural Resource Management Survey,dataset-870,0,,just mentioned as a reference
dimensions,10.5304/jafscd.2018.08c.002,Evaluating the Economic Impacts of Farm-to-school Procurement,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Evaluating%20the%20Economic%20Impacts%20of%20Farm-to-school%20Procurement,Agricultural Resource Management Survey,dataset-870,2,,new USDA dataset
openaire,10.22004/ag.econ.57889,EVALUATION OF COLLABORATIVE RESEARCH AND DEVELOPMENT: INSIGHTS FROM A SURVEY OF SUGAR INDUSTRY RESEARCHERS,http://dx.doi.org/10.22004/ag.econ.57889,Agricultural Resource Management Survey,dataset-870,0,,"not mentioned in abstract, and mentions Austrslia"
dimensions,10.1787/ff39e390-en,Evaluation of farm programmes in the 2014 US farm bill,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Evaluation%20of%20farm%20programmes%20in%20the%202014%20US%20farm%20bill,Agricultural Resource Management Survey,dataset-870,0,,is a literature review report.
openaire,10.22004/ag.econ.230110,Evaluation of Management Actions within the Kinnickinnic Watershed and the River,http://dx.doi.org/10.22004/ag.econ.230110,Agricultural Resource Management Survey,dataset-870,0,,"not mentioned in abstract, and mentions data was generated for this study"
