category,api,doi,title,url,search_term,dataset
unique hits,dimensions,10.1016/j.jenvman.2007.07.029,On how environmental stringency influences adoption of best management practices in agriculture,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=On%20how%20environmental%20stringency%20influences%20adoption%20of%20best%20management%20practices%20in%20agriculture,USDA Agricultural Resource Management Survey,dataset-870
unique hits,dimensions,10.1007/s11367-012-0411-1,Parameterization in Life Cycle Assessment inventory data: review of current use and the representation of uncertainty,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Parameterization%20in%20Life%20Cycle%20Assessment%20inventory%20data%3A%20review%20of%20current%20use%20and%20the%20representation%20of%20uncertainty,USDA Agricultural Resource Management Survey,"dataset-870, dataset-871"
unique hits,dimensions,10.1890/09-0619.1,Potential water quality changes due to corn expansion in the Upper Mississippi River Basin,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Potential%20water%20quality%20changes%20due%20to%20corn%20expansion%20in%20the%20Upper%20Mississippi%20River%20Basin,USDA Agricultural Resource Management Survey,"dataset-870, dataset-872, dataset-895, dataset-896"
unique hits,dimensions,10.1111/1467-8276.00107,Production Contracts and Productivity in the U.S. Hog Sector,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Production%20Contracts%20and%20Productivity%20in%20the%20U.S.%20Hog%20Sector,USDA Agricultural Resource Management Survey,"dataset-870, dataset-881"
unique hits,dimensions,10.1111/j.1467-9353.2009.01450.x,Production Efficiency of Specialized Swine Producers,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Production%20Efficiency%20of%20Specialized%20Swine%20Producers,USDA Agricultural Resource Management Survey,dataset-870
unique hits,dimensions,10.1093/ajae/aat060,Production Incentives from Static Decoupling: Land Use Exclusion Restrictions,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Production%20Incentives%20from%20Static%20Decoupling%3A%20Land%20Use%20Exclusion%20Restrictions,USDA Agricultural Resource Management Survey,"dataset-870, dataset-881"
unique hits,dimensions,10.1614/ws-d-11-00155.1,Reducing the Risks of Herbicide Resistance: Best Management Practices and Recommendations,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Reducing%20the%20Risks%20of%20Herbicide%20Resistance%3A%20Best%20Management%20Practices%20and%20Recommendations,USDA Agricultural Resource Management Survey,dataset-870
unique hits,dimensions,10.1111/agec.12293,Risk attitudes and the structure of decision‐making: evidence from the Illinois hog industry,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Risk%20attitudes%20and%20the%20structure%20of%20decision%E2%80%90making%3A%20evidence%20from%20the%20Illinois%20hog%20industry,USDA Agricultural Resource Management Survey,"dataset-870, dataset-888"
unique hits,dimensions,10.2134/agronj2018.12.0779,Setting the Record Straight on Precision Agriculture Adoption,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Setting%20the%20Record%20Straight%20on%20Precision%20Agriculture%20Adoption,USDA Agricultural Resource Management Survey,"dataset-870, dataset-897"
unique hits,dimensions,10.1111/j.1574-0862.2009.00418.x,Small U.S. dairy farms: can they compete?,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Small%20U.S.%20dairy%20farms%3A%20can%20they%20compete%3F,USDA Agricultural Resource Management Survey,dataset-870
overlap between APIs,openaire,10.1093/ajae/aat091,Sub-therapeutic Antibiotics and the Efficiency of U.S. Hog Farms,http://hdl.handle.net/10.1093/ajae/aat091,USDA Agricultural Resource Management Survey,dataset-870
overlap between APIs,dimensions,10.1093/ajae/aat091,Sub‐therapeutic Antibiotics and the Efficiency of U.S. Hog Farms,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Sub%E2%80%90therapeutic%20Antibiotics%20and%20the%20Efficiency%20of%20U.S.%20Hog%20Farms,USDA Agricultural Resource Management Survey,dataset-870
unique hits,dimensions,10.1016/j.ecolmodel.2019.02.018,Surrogate-based multi-objective optimization of management options for agricultural landscapes using artificial neural networks,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Surrogate-based%20multi-objective%20optimization%20of%20management%20options%20for%20agricultural%20landscapes%20using%20artificial%20neural%20networks,USDA Agricultural Resource Management Survey,"dataset-870, dataset-881, dataset-694, datset-664, dataset-893, dataset-680"
unique hits,dimensions,10.1111/agec.12253,"Technical efficiency, herd size, and exit intentions in U.S. dairy farms",https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Technical%20efficiency%2C%20herd%20size%2C%20and%20exit%20intentions%20in%20U.S.%20dairy%20farms,USDA Agricultural Resource Management Survey,dataset-870
unique hits,dimensions,10.1186/s40100-014-0017-y,"The adoption of technologies, management practices, and production systems in U.S. milk production",https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=The%20adoption%20of%20technologies%2C%20management%20practices%2C%20and%20production%20systems%20in%20U.S.%20milk%20production,USDA Agricultural Resource Management Survey,"dataset-870, dataset-894"
unique hits,dimensions,10.1007/s11482-007-9035-1,The Determinants of a Quality of Life Indicator for Farm Operator Households: Application of Zero-Inflated Count-Data Models,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=The%20Determinants%20of%20a%20Quality%20of%20Life%20Indicator%20for%20Farm%20Operator%20Households%3A%20Application%20of%20Zero-Inflated%20Count-Data%20Models,USDA Agricultural Resource Management Survey,"dataset-870, dataset-657, dataset-750, dataset-118"
unique hits,dimensions,10.1108/afr-05-2016-0053,The economics and productivity of US dairy farms that use crossbred vs non-crossbred breeding technology (production systems),https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=The%20economics%20and%20productivity%20of%20US%20dairy%20farms%20that%20use%20crossbred%20vs%20non-crossbred%20breeding%20technology%20%28production%20systems%29,USDA Agricultural Resource Management Survey,"dataset-870, dataset-894, dataset-891"
