api,doi,title,url,search_term,dataset_id,valid,pdf
pubmed,,[Banality of urbanism: the lesson of Curitiba].,https://www.ncbi.nlm.nih.gov/pubmed/12348996,Agricultural Resource Management Survey,dataset-870,,
pubmed,,"[Fertility, contraception, and infant mortality in the rural area of Piura].",https://www.ncbi.nlm.nih.gov/pubmed/12319003,Agricultural Resource Management Survey,dataset-870,,
pubmed,,"[Heavy metal concentrations and pollution assessment of edible crops grown on restored manganese mine lands in Guangxi, South China].",https://www.ncbi.nlm.nih.gov/pubmed/17974248,Agricultural Resource Management Survey,dataset-870,,
pubmed,,"[Infant and child mortality, marital fertility, and family economy among peasants in Navarre (1860-1930)].",https://www.ncbi.nlm.nih.gov/pubmed/12321157,Agricultural Resource Management Survey,dataset-870,,
pubmed,,[More than a century of international immigration into Argentina].,https://www.ncbi.nlm.nih.gov/pubmed/12291043,Agricultural Resource Management Survey,dataset-870,,
pubmed,,[Organization of domestic groups in the hinterlands of Lisbon:  a study of different conducts].,https://www.ncbi.nlm.nih.gov/pubmed/12318540,Agricultural Resource Management Survey,dataset-870,,
pubmed,,[Survey of arsenic concentrations in Chinese herbal medicines (CHMs) and preliminary risk assessment of As in CHMs on human health].,https://www.ncbi.nlm.nih.gov/pubmed/21360896,Agricultural Resource Management Survey,dataset-870,,
dimensions,10.1093/ajae/aav105,2015 Fellow James M. MacDonald,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=2015%20Fellow%20James%20M.%20MacDonald,Agricultural Resource Management Survey,dataset-870,,
openaire,10.22004/ag.econ.37140,A Binary Logit Analysis of Factors Impacting Adoption of Genetically Modified Cotton,http://dx.doi.org/10.22004/ag.econ.37140,Agricultural Resource Management Survey,dataset-870,,
dimensions,10.1017/s095679331400017x,A Brief Political History of South Australian Agriculture,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=A%20Brief%20Political%20History%20of%20South%20Australian%20Agriculture,Agricultural Resource Management Survey,dataset-870,,
dimensions,10.5304/jafscd.2019.084.008,A Case Study of Transitions in Farming and Farm Labor in Southwestern Idaho,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=A%20Case%20Study%20of%20Transitions%20in%20Farming%20and%20Farm%20Labor%20in%20Southwestern%20Idaho,Agricultural Resource Management Survey,dataset-870,,
openaire,10.22004/ag.econ.98839,A Categorical Data Analysis on Risks in Agriculture,http://dx.doi.org/10.22004/ag.econ.98839,Agricultural Resource Management Survey,dataset-870,,
pubmed,,A combined park management framework based on regulatory and behavioral strategies: use of visitors' knowledge to assess effectiveness.,https://www.ncbi.nlm.nih.gov/pubmed/11437001,Agricultural Resource Management Survey,dataset-870,,
openaire,10.22004/ag.econ.132757,A Comparison of Farm and Nonfarm Households,http://dx.doi.org/10.22004/ag.econ.132757,Agricultural Resource Management Survey,dataset-870,,
openaire,10.1111/j.1467-8276.2007.01128.x,A Comparison of the Economic Well-Being of Farm and Nonfarm Households,http://hdl.handle.net/10.1111/j.1467-8276.2007.01128.x,Agricultural Resource Management Survey,dataset-870,,
pubmed,10.1111/gcb.13102,A dynamic leaf gas-exchange strategy is conserved in woody plants under changing ambient CO2 : evidence from carbon isotope discrimination in paleo and CO2 enrichment studies.,https://www.ncbi.nlm.nih.gov/pubmed/26391334,Agricultural Resource Management Survey,dataset-870,,
pubmed,10.1038/sdata.2018.226,"A European Multi Lake Survey dataset of environmental variables, phytoplankton pigments and cyanotoxins.",https://www.ncbi.nlm.nih.gov/pubmed/30351308,Agricultural Resource Management Survey,dataset-870,,
pubmed,10.1080/15459624.2017.1319570,A gap analysis of the United States death care sector to determine training and education needs pertaining to highly infectious disease mitigation and management.,https://www.ncbi.nlm.nih.gov/pubmed/28609169,Agricultural Resource Management Survey,dataset-870,,
pubmed,10.1007/s00253-014-6115-7,A metagenomic assessment of the bacteria associated with Lucilia sericata and Lucilia cuprina (Diptera: Calliphoridae).,https://www.ncbi.nlm.nih.gov/pubmed/25306907,Agricultural Resource Management Survey,dataset-870,,
pubmed,10.1016/j.envpol.2019.04.047,"A methodological framework for identifying potential sources of soil heavy metal pollution based on machine learning: A case study in the Yangtze Delta, China.",https://www.ncbi.nlm.nih.gov/pubmed/31031218,Agricultural Resource Management Survey,dataset-870,,
pubmed,10.1016/j.envpol.2018.04.033,A multi-medium chain modeling approach to estimate the cumulative effects of cadmium pollution on human health.,https://www.ncbi.nlm.nih.gov/pubmed/29665551,Agricultural Resource Management Survey,dataset-870,,
openaire,10.22004/ag.econ.37721,A New Look at the Agricultural Community as Extension Clientele in the West,http://dx.doi.org/10.22004/ag.econ.37721,Agricultural Resource Management Survey,dataset-870,,
openaire,10.1111/j.1467-9353.2007.00386.x,A New U.S. Farm Household Typology: Implications for Agricultural Policy,http://hdl.handle.net/10.1111/j.1467-9353.2007.00386.x,Agricultural Resource Management Survey,dataset-870,,
openaire,10.22004/ag.econ.21175,A New U.S. Farm Household Typology: Implications for Agricultural Subsidies,http://dx.doi.org/10.22004/ag.econ.21175,Agricultural Resource Management Survey,dataset-870,,
pubmed,10.1016/j.prevetmed.2014.07.013,A novel method to identify herds with an increased probability of disease introduction due to animal trade.,https://www.ncbi.nlm.nih.gov/pubmed/25139432,Agricultural Resource Management Survey,dataset-870,,
dimensions,10.1016/j.landusepol.2018.08.003,A practice-centered analysis of environmental accounting standards: integrating agriculture into carbon governance,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=A%20practice-centered%20analysis%20of%20environmental%20accounting%20standards%3A%20integrating%20agriculture%20into%20carbon%20governance,Agricultural Resource Management Survey,dataset-870,,
pubmed,10.1016/j.watres.2014.01.060,"A probabilistic quantitative microbial risk assessment model of norovirus disease burden from wastewater irrigation of vegetables in Shepparton, Australia.",https://www.ncbi.nlm.nih.gov/pubmed/24594660,Agricultural Resource Management Survey,dataset-870,,
pubmed,10.3390/ijerph6082113,A qualitative study of the impact of HIV/AIDS on agricultural households in Southeastern Uganda.,https://www.ncbi.nlm.nih.gov/pubmed/19742210,Agricultural Resource Management Survey,dataset-870,,
dimensions,10.1515/jafio-2017-0033,A Re-Examination of Multistage Economies in Hog Farming,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=A%20Re-Examination%20of%20Multistage%20Economies%20in%20Hog%20Farming,Agricultural Resource Management Survey,dataset-870,,
dimensions,10.1111/j.1574-0862.2012.00633.x,A real options model to assess the role of flexibility in forestry and agroforestry adoption and disadoption in the Lower Mississippi Alluvial Valley,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=A%20real%20options%20model%20to%20assess%20the%20role%20of%20flexibility%20in%20forestry%20and%20agroforestry%20adoption%20and%20disadoption%20in%20the%20Lower%20Mississippi%20Alluvial%20Valley,Agricultural Resource Management Survey,dataset-870,,
