api,doi,title,url,search_term,dataset_id,valid,pdf,notes
openaire,10.1093/ajae/aaq166,Farm Commodity Payments and Imputation in the Agricultural Resource Management Survey,http://hdl.handle.net/10.1093/ajae/aaq166,Agricultural Resource Management Survey,dataset-870,1,https://onlinelibrary.wiley.com/doi/epdf/10.1093/ajae/aaq166,
openaire,,"Farm diversity, resource use efficiency and sustainable land management in the western highlands of Kenya",http://library.wur.nl/WebQuery/wurpubs/490061,Agricultural Resource Management Survey,dataset-870,0,https://reader.elsevier.com/reader/sd/pii/S0743016714000941?token=5843A8E5506274605E349C23C8C85900087ED0C5368F35CC264CD0262DFE9133212312CD53AE7E329577C7398599000D,
dimensions,10.1016/j.landusepol.2011.09.012,Farm household interactions with local economies: A comparison of two EU case study areas,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Farm%20household%20interactions%20with%20local%20economies%3A%20A%20comparison%20of%20two%20EU%20case%20study%20areas,Agricultural Resource Management Survey,dataset-870,0,https://reader.elsevier.com/reader/sd/pii/S0264837711001256?token=DB307FFF691690DDF46B80B49D37A829DFB2FD98DDA25A5F7F592BB92A531368213FB524ED378AFCE8289F87AB19D133,
openaire,10.22004/ag.econ.249773,Farm Profits and Adoption of Precision Agriculture,http://dx.doi.org/10.22004/ag.econ.249773,Agricultural Resource Management Survey,"dataset-870, dataset-901",1,https://www.ers.usda.gov/webdocs/publications/80326/err-217.pdf?v=0,
dimensions,10.1016/j.foodpol.2018.03.017,Farm size and productivity growth in the United States Corn Belt,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Farm%20size%20and%20productivity%20growth%20in%20the%20United%20States%20Corn%20Belt,Agricultural Resource Management Survey,"dataset-870, dataset-881,  dataset-345",1,https://www.researchgate.net/publication/324069688_Farm_size_and_productivity_growth_in_the_United_States_Corn_Belt,
dimensions,10.1108/afr-11-2012-0066,Farm-level evidence on risk balancing behavior in the EU-15,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Farm-level%20evidence%20on%20risk%20balancing%20behavior%20in%20the%20EU-15,Agricultural Resource Management Survey,dataset-870,0,https://www.emerald.com/insight/content/doi/10.1108/AFR-11-2012-0066/full/pdf?title=farm-level-evidence-on-risk-balancing-behavior-in-the-eu-15,
pubmed,10.1016/j.scitotenv.2014.07.118,"Farmer and retailer knowledge and awareness of the risks from pesticide use: a case study in the Wei River catchment, China.",https://www.ncbi.nlm.nih.gov/pubmed/25128887,Agricultural Resource Management Survey,dataset-870,0,,
pubmed,10.1080/1059924X.2020.1720882,Farmer Discussion Groups Create Space for Peer Learning about Safety and Health.,https://www.ncbi.nlm.nih.gov/pubmed/32077379,Agricultural Resource Management Survey,dataset-870,0,https://www.tandfonline.com/doi/full/10.1080/1059924X.2020.1720882#aHR0cHM6Ly93d3cudGFuZGZvbmxpbmUuY29tL2RvaS9wZGYvMTAuMTA4MC8xMDU5OTI0WC4yMDIwLjE3MjA4ODI/bmVlZEFjY2Vzcz10cnVlQEBAMA==,
pubmed,10.1007/s11356-009-0177-6,Farmer knowledge and a priori risk analysis: pre-release evaluation of genetically modified Roundup Ready wheat across the Canadian prairies.,https://www.ncbi.nlm.nih.gov/pubmed/19475440,Agricultural Resource Management Survey,dataset-870,0,https://link.springer.com/content/pdf/10.1007/s11356-009-0177-6.pdf,
dimensions,10.1002/agr.21566,Farmer perceptions of risk in 2017,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Farmer%20perceptions%20of%20risk%20in%202017,Agricultural Resource Management Survey,dataset-870,0,https://onlinelibrary.wiley.com/doi/epdf/10.1002/agr.21566,
