api,doi,title,url,search_term,dataset_id,valid,pdf,notes
openaire,10.1093/ajae/aaq166,Farm Commodity Payments and Imputation in the Agricultural Resource Management Survey,http://hdl.handle.net/10.1093/ajae/aaq166,Agricultural Resource Management Survey,dataset-870,1,https://onlinelibrary.wiley.com/doi/epdf/10.1093/ajae/aaq166,
openaire,10.22004/ag.econ.249773,Farm Profits and Adoption of Precision Agriculture,http://dx.doi.org/10.22004/ag.econ.249773,Agricultural Resource Management Survey,"dataset-870, dataset-901",1,https://www.ers.usda.gov/webdocs/publications/80326/err-217.pdf?v=0,
dimensions,10.1016/j.foodpol.2018.03.017,Farm size and productivity growth in the United States Corn Belt,https://www.sciencedirect.com/science/article/pii/S0306919218302471?via%3Dihub,Agricultural Resource Management Survey,"dataset-870, dataset-881,  dataset-345",1,https://www.researchgate.net/publication/324069688_Farm_size_and_productivity_growth_in_the_United_States_Corn_Belt,
dimensions,10.3390/admsci6040013,"Farmer-Entrepreneurs, Agricultural Innovation, and Explosive Research and Development Cycles",https://www.mdpi.com/2076-3387/6/4/13,Agricultural Resource Management Survey,dataset-596,1,https://pdfs.semanticscholar.org/d919/394c45ce06855f68aee9d692893fd4f60018.pdf?_ga=2.43956199.333436686.1583854786-1988941201.1583854786,not use in ARMS
dimensions,10.1017/s1068280500004949,Farmers’ Participation in Agritourism: Does It Affect the Bottom Line?,https://www.cambridge.org/core/journals/agricultural-and-resource-economics-review/article/farmers-participation-in-agritourism-does-it-affect-the-bottom-line/1AD727A0B5A28AAE3CED6865A7845330,Agricultural Resource Management Survey,dataset-870,1,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/1AD727A0B5A28AAE3CED6865A7845330/S1068280500004949a.pdf/farmers_participation_in_agritourism_does_it_affect_the_bottom_line.pdf,
openaire,10.22004/ag.econ.97008,Farming and the Internet: Reasons for Non-Use,http://dx.doi.org/10.22004/ag.econ.97008,Agricultural Resource Management Survey,dataset-870,1,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/E3CCB0D7C7551F868371AA5B27531BA2/S1068280500007528a.pdf/farming_and_the_internet_reasons_for_nonuse.pdf,
openaire,10.22004/ag.econ.48143,Financial Management and Portfolio Analysis for U.S. Farm and Nonfarm Households,http://dx.doi.org/10.22004/ag.econ.48143,Agricultural Resource Management Survey,"dataset-870, dataset-507",1,,no open link for pdf
dimensions,10.1108/caer-12-2014-0147,Financial performance of small farm business households: the role of internet,https://www.emerald.com/insight/content/doi/10.1108/CAER-12-2014-0147/full/html,Agricultural Resource Management Survey,dataset-870,1,https://www.emerald.com/insight/content/doi/10.1108/CAER-12-2014-0147/full/pdf?title=financial-performance-of-small-farm-business-households-the-role-of-internet,
dimensions,10.1108/00021461211250492,Financial ratio analysis using ARMS data,https://www.emerald.com/insight/content/doi/10.1108/00021461211250492/full/html,Agricultural Resource Management Survey,dataset-870,1,https://www.emerald.com/insight/content/doi/10.1108/00021461211250492/full/pdf?title=financial-ratio-analysis-using-arms-data,
dimensions,10.1108/afr-05-2017-0030,Financial stress and farm bankruptcies in US agriculture,https://www.emerald.com/insight/content/doi/10.1108/AFR-05-2017-0030/full/html,Agricultural Resource Management Survey,"dataset-870, dataset-932, dataset-933, dataset-934, dataset-750, dataset-576",1,https://www.emerald.com/insight/content/doi/10.1108/AFR-05-2017-0030/full/pdf?title=financial-stress-and-farm-bankruptcies-in-us-agriculture,
