api,doi,title,url,search_term,dataset_id,valid,pdf
dimensions,10.1111/1752-1688.12384,Development of a Cropland Management Dataset to Support U.S. Swat Assessments,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Development%20of%20a%20Cropland%20Management%20Dataset%20to%20Support%20U.S.%20Swat%20Assessments,Agricultural Resource Management Survey,dataset-870,,
dimensions,10.1016/j.agsy.2014.05.007,Development of a farmer typology of agricultural conservation behavior in the American Corn Belt,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Development%20of%20a%20farmer%20typology%20of%20agricultural%20conservation%20behavior%20in%20the%20American%20Corn%20Belt,Agricultural Resource Management Survey,dataset-870,,
pubmed,10.1002/jms.4038,Development of an isotopic stream index connecting physiographic characteristics of montane catchments.,https://www.ncbi.nlm.nih.gov/pubmed/29052291,Agricultural Resource Management Survey,dataset-870,,
openaire,10.22004/ag.econ.19814,DEVELOPMENT PATHWAYS AND LAND MANAGEMENT IN UGANDA: CAUSES AND IMPLICATIONS,http://dx.doi.org/10.22004/ag.econ.16124,Agricultural Resource Management Survey,dataset-870,,
openaire,,Development pathways for hillsides and highlands: Some lessons from Central America and East Africa,http://hdl.handle.net/10919/66490,Agricultural Resource Management Survey,dataset-870,,
openaire,10.1111/sum.12380,Developments in land information systems: examples demonstrating land resource management capabilities and options,http://dx.doi.org/10.1111/sum.12380,Agricultural Resource Management Survey,dataset-870,,
pubmed,10.1016/j.scitotenv.2018.05.050,"Dietary cadmium intake from rice and vegetables and potential health risk: A case study in Xiangtan, southern China.",https://www.ncbi.nlm.nih.gov/pubmed/29791880,Agricultural Resource Management Survey,dataset-870,,
dimensions,10.1108/afr-01-2017-0002,Differences across farm typologies in capital investment during 1996-2013,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Differences%20across%20farm%20typologies%20in%20capital%20investment%20during%201996-2013,Agricultural Resource Management Survey,dataset-870,,
pubmed,,Differences in the process of earnings determination and inequality between women and men in South Korea.,https://www.ncbi.nlm.nih.gov/pubmed/12287628,Agricultural Resource Management Survey,dataset-870,,
openaire,10.22004/ag.econ.43733,Dimensions of Wealth Dispersion Among Farm Operator Households: An Assessment of the Impact of Farm Subsidies,http://dx.doi.org/10.22004/ag.econ.43733,Agricultural Resource Management Survey,dataset-870,,
openaire,,Dimensions of Wealth Dispersion Among Farm Operator Households: An Assessment of the Impact of Farm Subsidies,http://purl.umn.edu/43733,Agricultural Resource Management Survey,dataset-870,,
pubmed,,Diné (Navajo) parents' and community leaders' perceptions of agriculture-related injury risk to youth: a social narrative.,https://www.ncbi.nlm.nih.gov/pubmed/24804462,Agricultural Resource Management Survey,dataset-870,,
pubmed,10.1007/s11356-017-8423-9,Direct and indirect effects of wastewater use and herd environment on the occurrence of animal diseases and animal health in Pakistan.,https://www.ncbi.nlm.nih.gov/pubmed/28092000,Agricultural Resource Management Survey,dataset-870,,
openaire,10.22004/ag.econ.188002,"Direct Payments, Cash Rents, Land Values, and the Effects of Imputation in U.S. Farm-level Data",http://dx.doi.org/10.22004/ag.econ.190997,Agricultural Resource Management Survey,dataset-870,,
openaire,,"Direct Payments, Cash Rents, Land Values, and the Effects of Imputation in U.S. Farm-level Data",http://purl.umn.edu/190997,Agricultural Resource Management Survey,dataset-870,,
dimensions,10.1017/s1068280500005542,"Direct Payments, Cash Rents, Land Values, and the Effects of Imputation in U.S. Farm-level Data",https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Direct%20Payments%2C%20Cash%20Rents%2C%20Land%20Values%2C%20and%20the%20Effects%20of%20Imputation%20in%20U.S.%20Farm-level%20Data,Agricultural Resource Management Survey,dataset-870,,
dimensions,10.1080/09640568.2019.1661832,Disadoption of conservation practices: cases of injecting manure and soil testing,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Disadoption%20of%20conservation%20practices%3A%20cases%20of%20injecting%20manure%20and%20soil%20testing,Agricultural Resource Management Survey,dataset-870,,
pubmed,10.1007/s10661-019-7942-x,"Disaggregation of conventional soil map by generating multi realizations of soil class distribution (case study: Saadat Shahr plain, Iran).",https://www.ncbi.nlm.nih.gov/pubmed/31768646,Agricultural Resource Management Survey,dataset-870,,
pubmed,10.1016/j.scitotenv.2016.08.115,Discerning environmental factors affecting current tree growth in Central Europe.,https://www.ncbi.nlm.nih.gov/pubmed/27575361,Agricultural Resource Management Survey,dataset-870,,
openaire,,Diseminasi Model Pemberdayaan Masyarakat Desa melalui Pengelolaan Agrowisata,http://ejournal.unisba.ac.id/index.php/mimbar/article/view/354,Agricultural Resource Management Survey,dataset-870,,
pubmed,,Dissemination of assistive technology information to farmers and ranchers with disabilities.,https://www.ncbi.nlm.nih.gov/pubmed/21919317,Agricultural Resource Management Survey,dataset-870,,
dimensions,10.1787/5kg6v2hwlpxw-fr,Distribution du soutien et des revenus dans l'agriculture,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Distribution%20du%20soutien%20et%20des%20revenus%20dans%20l%27agriculture,Agricultural Resource Management Survey,dataset-870,,
dimensions,10.1787/5kgch21wkmbx-en,Distribution of Support and Income in Agriculture,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Distribution%20of%20Support%20and%20Income%20in%20Agriculture,Agricultural Resource Management Survey,dataset-870,,
dimensions,10.1093/aepp/ppz012,Distributional Impacts of the Tax Cuts and Jobs Act Using Farm Household Microdata,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Distributional%20Impacts%20of%20the%20Tax%20Cuts%20and%20Jobs%20Act%20Using%20Farm%20Household%20Microdata,Agricultural Resource Management Survey,dataset-870,,
