api,doi,title,url,search_term,dataset,pdf
dimensions,10.1007/s12134-018-0557-1,The Comparison of International Doctorate Recipients Intending to Stay in the USA,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=The%20Comparison%20of%20International%20Doctorate%20Recipients%20Intending%20to%20Stay%20in%20the%20USA,NSF Survey of Doctorate Recipients,dataset-370,
dimensions,10.1080/00221546.2010.11778968,"The Effect of Loans on Time to Doctorate Degree: Differences by Race/Ethnicity, Field of Study, and Institutional Characteristics",https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=The%20Effect%20of%20Loans%20on%20Time%20to%20Doctorate%20Degree%3A%20Differences%20by%20Race/Ethnicity%2C%20Field%20of%20Study%2C%20and%20Institutional%20Characteristics,NSF Survey of Earned Doctorates,"dataset-370, dataset-428",
dimensions,10.1002/pam.21713,The Effects of Green Cards on the Wages and Innovations of New PhDs,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=The%20Effects%20of%20Green%20Cards%20on%20the%20Wages%20and%20Innovations%20of%20New%20PhDs,NSF Survey of Earned Doctorates,"dataset-370, dataset-371",
dimensions,10.1371/journal.pone.0150194,The Frequency of “Brilliant” and “Genius” in Teaching Evaluations Predicts the Representation of Women and African Americans across Fields,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=The%20Frequency%20of%20%E2%80%9CBrilliant%E2%80%9D%20and%20%E2%80%9CGenius%E2%80%9D%20in%20Teaching%20Evaluations%20Predicts%20the%20Representation%20of%20Women%20and%20African%20Americans%20across%20Fields,NSF Survey of Earned Doctorates,"dataset-370, dataset-947",
dimensions,10.1162/edfp_a_00177,The Impact of Labor Demand on Time to the Doctorate,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=The%20Impact%20of%20Labor%20Demand%20on%20Time%20to%20the%20Doctorate,NSF Survey of Doctorate Recipients,dataset-370,
dimensions,10.1016/j.respol.2019.103879,The impact of permanent residency delays for STEM PhDs: Who leaves and why,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=The%20impact%20of%20permanent%20residency%20delays%20for%20STEM%20PhDs%3A%20Who%20leaves%20and%20why,NSF Survey of Doctorate Recipients,"dataset-370, dataset-371",
openaire,10.1257/000282805774670040,The Labor Market Impact of High-Skill Immigration,http://www.aeaweb.org/articles.php?doi=10.1257/000282805774670040,Survey of Earned Doctorates,"dataset-370, dataset-371",
dimensions,10.1038/541021a,The new face of US science,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=The%20new%20face%20of%20US%20science,NSF Survey of Doctorate Recipients,"dataset-371, dataset-118, dataset-046",https://www.nature.com/news/polopoly_fs/1.21229!/menu/main/topColumns/topLeftColumn/pdf/541021a-1.pdf
dimensions,10.1002/sres.2510,The Postdoc Queue: A Labour Force in Waiting,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=The%20Postdoc%20Queue%3A%20A%20Labour%20Force%20in%20Waiting,NSF Survey of Doctorate Recipients,dataset-371,
dimensions,10.1086/528878,The Production Rate and Employment of Ph.D. Astronomers,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=The%20Production%20Rate%20and%20Employment%20of%20Ph.D.%20Astronomers,NSF Survey of Earned Doctorates,"dataset-370, dataset-936, dataset-950, dataset-948",
dimensions,10.3200/jece.38.4.461-482,The Undergraduate Origins of PhD Economists,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=The%20Undergraduate%20Origins%20of%20PhD%20Economists,NSF Survey of Earned Doctorates,"dataset-370, dataset-937",
