title,journal,doi,authors,search_term,dataset_id
Associations between obesity and neighborhood socioeconomic status: Variations by gender and family income status,SSM - Population Health,10.1016/j.ssmph.2019.100529,"Fan, Jessie X., Wen, Ming, Li, Kelin",National Land Cover Database,dataset-624
Estimating tree canopy cover using harmonic regression coefficients derived from multitemporal Landsat data,International Journal of Applied Earth Observation and Geoinformation,10.1016/j.jag.2019.101985,"Derwin, Jill M., Thomas, Valerie A., Wynne, Randolph H., Coulston, John W., Liknes, Greg C., Bender, Stacie, Blinn, Christine E., Brooks, Evan B., Ruefenacht, Bonnie, Benton, Robert, Finco, Mark V., Megown, Kevin",National Land Cover Database,dataset-624
Multi-environmental impacts of biofuel production in the U.S. Corn Belt: A coupled hydro-biogeochemical modeling approach,Journal of Cleaner Production,10.1016/j.jclepro.2019.119561,"Zhao, Fubo, Wu, Yiping, Wang, Lijing, Liu, Shuguang, Wei, Xiaohua, Xiao, Jingfeng, Qiu, Linjing, Sun, Pengcheng",National Land Cover Database,dataset-624
Identifying candidate reference reaches to assess the physical and biological integrity of wadeable streams in different ecoregions and among stream sizes,Ecological Indicators,10.1016/j.ecolind.2019.105966,"Paukert, Craig P., Kleekamp, Ethan R., Tingley, Ralph W.",National Land Cover Database,dataset-624
The greenspace-academic performance link varies by remote sensing measure and urbanicity around Maryland public schools,Landscape and Urban Planning,10.1016/j.landurbplan.2019.103706,"Browning, Matthew H.E.M., Locke, Dexter Henry",National Land Cover Database,dataset-624
"Predicting wildlife occurrence with expert elicitation techniques: An assessment of species distributions in New England, United States",Global Ecology and Conservation,10.1016/j.gecco.2019.e00853,"Pearman-Gillman, Schuyler B., Katz, Jonathan E., Mickey, Ruth M., Murdoch, James D., Donovan, Therese M.",National Land Cover Database,dataset-624
Association between residential greenness and exposure to volatile organic compounds,The Science of The Total Environment,10.1016/j.scitotenv.2019.135435,"Yeager, Ray, Riggs, Daniel W., DeJarnett, Natasha, Srivastava, Shweta, Lorkiewicz, Pawel, Xie, Zhengzhi, Krivokhizhina, Tatiana, Keith, Rachel J., Srivastava, Sanjay, Browning, Matthew H.E.M., Zafar, Nagma, Krishnasamy, Sathya, DeFilippis, Andrew, Turner, Jay, Rai, Shesh N., Bhatnagar, Aruni",National Land Cover Database,dataset-624
Contemporary forest carbon dynamics in the northern U.S. associated with land cover changes,Ecological Indicators,10.1016/j.ecolind.2019.105901,"Ma, Wu, Domke, Grant M., Woodall, Christopher W., D'Amato, Anthony W.",National Land Cover Database,dataset-624
Planning for carnivore recolonization by mapping sex-specific landscape connectivity,Global Ecology and Conservation,10.1016/j.gecco.2019.e00869,"Mariela, Gantchoff, Laura, Conlee, Jerrold, Belant",National Land Cover Database,dataset-624
"Probabilistic mapping of flood hazards: depicting uncertainty in streamflow, land use, and geomorphic adjustment",Anthropocene,10.1016/j.ancene.2019.100231,"Stephens, Timothy A., Bledsoe, Brian P.",National Land Cover Database,dataset-624
Mapping cropping intensity in China using time series Landsat and Sentinel-2 images and Google Earth Engine,Remote Sensing of Environment,10.1016/j.rse.2019.111624,"Liu, Luo, Xiao, Xiangming, Qin, Yuanwei, Wang, Jie, Xu, Xinliang, Hu, Yueming, Qiao, Zhi",National Land Cover Database,dataset-624
Suburban stream erosion rates in northern Kentucky exceed reference channels by an order of magnitude and follow predictable trajectories of channel evolution,Geomorphology,10.1016/j.geomorph.2019.106998,"Hawley, Robert J., MacMannis, Katherine R., Wooten, Matthew S., Fet, Elizabeth V., Korth, Nora L.",National Land Cover Database,dataset-624
Evaluating exposures of bay mussels (Mytilus trossulus) to contaminants of emerging concern through environmental sampling and hydrodynamic modeling,The Science of The Total Environment,10.1016/j.scitotenv.2019.136098,"James, C. Andrew, Lanksbury, Jennifer, Khangaonkar, Tarang, West, James",National Land Cover Database,dataset-624
Outage prediction models for snow and ice storms,Sustainable Energy Grids and Networks,10.1016/j.segan.2019.100294,"Cerrai, Diego, Koukoula, M., Watson, P., Anagnostou, Emmanouil N.",National Land Cover Database,dataset-624
Tree cover mapping based on Sentinel-2 images demonstrate high thematic accuracy in Europe,International Journal of Applied Earth Observation and Geoinformation,10.1016/j.jag.2019.101947,"Ottosen, Thor-Bjørn, Petch, Geoffrey, Hanson, Mary, Skjøth, Carsten A.",National Land Cover Database,dataset-624
"Effects of land-use change on eco-environmental quality in Hainan Island, China",Ecological Indicators,10.1016/j.ecolind.2019.105777,"Sun, Rui, Wu, Zhixiang, Chen, Bangqian, Yang, Chuan, Qi, Dongling, Lan, Guoyu, Fraedrich, Klaus",National Land Cover Database,dataset-624
Projecting Texas energy use for residential sector under future climate and urbanization scenarios: A bottom-up method based on twenty-year regional energy use data,Energy,10.1016/j.energy.2019.116694,"Shen, Pengyuan, Yang, Biao",National Land Cover Database,dataset-624
Spatiotemporal patterns and drivers of ecosystem service supply and demand across the conterminous United States: A multiscale analysis,The Science of The Total Environment,10.1016/j.scitotenv.2019.135005,"Sun, Xiao, Tang, Huajun, Yang, Peng, Hu, Guang, Liu, Zhenhuan, Wu, Jianguo",National Land Cover Database,dataset-624
The legacy of the Home Owners’ Loan Corporation and the political ecology of urban trees and air pollution in the United States,Social Science & Medicine,10.1016/j.socscimed.2019.112758,"Namin, S., Xu, W., Zhou, Y., Beyer, K.",National Land Cover Database,dataset-624
Environmental factors affecting ecological niche of Coccidioides species and spatial dynamics of valley fever in the western United States,Spatial and Spatio-temporal Epidemiology,10.1016/j.sste.2019.100317,"Weaver, Elizabeth, Kolivras, Korine N., Thomas, R. Quinn, Thomas, Valarie A., Abbas, Kaja M.",National Land Cover Database,dataset-624
Measuring continuous landscape patterns with Gray-Level Co-Occurrence Matrix (GLCM) indices: An alternative to patch metrics?,Ecological Indicators,10.1016/j.ecolind.2019.105802,"Park, Yujin, Guldmann, Jean-Michel",National Land Cover Database,dataset-624
Accuracy assessment of NLCD 2011 percent impervious cover for selected USA metropolitan areas,International Journal of Applied Earth Observation and Geoinformation,10.1016/j.jag.2019.101955,"Wickham, J., Stehman, S.V., Neale, A.C., Mehaffey, M.",National Land Cover Database,dataset-624
Depression threshold control proxy to improve HEC-HMS modeling of depression-dominated watersheds,Hydrological Sciences Journal,10.1080/02626667.2019.1690148,"Grimm, Kendall, Chu, Xuefeng",National Land Cover Database,dataset-624
A change detection method using spatial-temporal-spectral information from Landsat images,International Journal of Remote Sensing,10.1080/01431161.2019.1648905,"Lin, Yukun, Zhang, Lifu, Wang, Nan, Zhang, Xia, Cen, Yi, Sun, Xuejian",National Land Cover Database,dataset-624
