title,journal,url,authors,doi,search_term,dataset_id
Nest inundation from sea-level rise threatens sea turtle population viability,,http://dx.doi.org/10.1098/rsos.150127,"Pike, David A., Roznik, Elizabeth A., Bell, Ian",10.1098/rsos.150127,Sea Level Rise Inundation,dataset-610
Sea Level Rise and Inundation Tools Matrix Update,,http://dx.doi.org/10.13140/rg.2.2.32069.29924,"Taladay, Katie",10.13140/rg.2.2.32069.29924,Sea Level Rise Inundation,dataset-610
Wetland loss patterns and inundation-productivity relationships prognosticate widespread salt for southern New England,,https://europepmc.org/articles/PMC6040677/,"Watson, Elizabeth Burke, Wigand, Cathleen, Davey, Earl W., Andrews, Holly M., Bishop, Joseph, Raposa, Kenneth B.",10.1007/s12237-016-0069-1,Sea Level Rise Inundation,dataset-610
The influence of climate change on tsunami-like solitary wave inundation over fringing reefs,Journal of Integrative Environmental Sciences,http://dx.doi.org/10.1080/1943815X.2019.1614071,"Keqi Shao, Weijie Liu, Yangyang Gao, Yue Ning",10.1080/1943815X.2019.1614071,Sea Level Rise Inundation,dataset-610
Marsh macrophyte responses to inundation anticipate impacts of sea-level rise and indicate ongoing drowning of North Carolina marshes,Marine Biology,http://europepmc.org/articles/PMC3873026,"Voss, Christine M., Christian, Robert R., Morris, James T.",10.1007/s00227-012-2076-5,Sea Level Rise Inundation,dataset-610
Can community structure track sea‐level rise? Stress and competitive controls in tidal wetlands,Ecology and Evolution,http://dx.doi.org/10.1371/journal.pone.0027388,"Schile, Lisa M., Callaway, John C., Suding, Katharine N., Kelly, N. Maggi",10.1002/ece3.2758,Sea Level Rise Inundation,dataset-610
Rapid inundation of southern Florida coastline despite low relative sea-level rise rates during the late-Holocene,Nature Communications,http://europepmc.org/articles/PMC6642092,"Jones, Miriam C., Wingard, G. Lynn, Willard, Debra, Stackhouse, Bethany, Keller, Katherine, Marot, Marci, Landacre, Bryan, E. Bernhardt, Christopher",10.1038/s41467-019-11138-4,Sea Level Rise Inundation,dataset-610
"Sea-level rise and coastal groundwater inundation and shoaling at select sites in California, USA",Journal of Hydrology: Regional Studies,http://dx.doi.org/10.1016/j.ejrh.2015.12.055,"Swarzenski, Peter W., Hoover, Daniel J., Odigie, Kingsley O., Barnard, Patrick",10.1016/j.ejrh.2015.12.055,Sea Level Rise Inundation,dataset-610
Sea-Level Rise Inundation Assessment for the City of Rockledge Stormwater System,,http://dx.doi.org/10.13140/rg.2.2.15046.42563,"Evans, Jason M, Clark, Alex",10.13140/rg.2.2.15046.42563,Sea Level Rise Inundation,dataset-610
Vulnerability of coastal Connecticut to sea level rise: land inundation and impacts to residential property,,http://dx.doi.org/10.1080/10286608.2017.1325878,"Andreucci, Rebecca, Aktas, Can B.",10.1080/10286608.2017.1325878,Sea Level Rise Inundation,dataset-610
Coastal inundation risk assessment due to subsidence and sea level rise in a Mediterranean alluvial plain (Volturno coastal plain - southern Italy),,http://hdl.handle.net/11367/58276,"Aucelli, Pietro Patrizio Ciro, Di Paola, Gianluigi, Incontri, Pietro, Rizzo, Angela, Vilardo, Giuseppe, Benassai, Guido, Buonocore, Berardino, Pappone, Gerardo",10.1016/j.ecss.2016.06.017,Sea Level Rise Inundation,dataset-610
Quantifying coastal inundation vulnerability of Turkey to sea-level rise,,https://hdl.handle.net/11480/5270,"Demirkesen, Ali C., Evrendilek, Fatih, Berberoglu, Suha",10.1007/s10661-007-9746-7,Sea Level Rise Inundation,dataset-610
Hydrodynamic Modelling of Saline Inundation from Sea Level Rise in Kakadu National Park,,http://dx.doi.org/10.4225/08/58557deea122f,"Prakash, Mahesh, Woolard, Fletcher, Hilton, James",10.4225/08/58557deea122f,Sea Level Rise Inundation,dataset-610
Ensemble projection of the sea level rise impact on storm surge and inundation at the coast of Bangladesh,,https://www.nat-hazards-earth-syst-sci.net/18/351/2018/,"M. A. Jisan, S. Bao, L. J. Pietrafesa",10.5194/nhess-18-351-2018,Sea Level Rise Inundation,dataset-610
"Well Salinization Risk and Effects of Baltic Sea Level Rise on the Groundwater-Dependent Island of Öland, Sweden",Water,http://www.mdpi.com/2073-4441/10/2/141,"Marcus Eriksson, Karin Ebert, Jerker Jarsjö",10.3390/w10020141,Sea Level Rise Inundation,dataset-610
Adapting North Carolina's Coastlines to a New Era of Sea Level Rise,,http://dx.doi.org/10.17615/npcc-3n24,"Feld, Eric Ross",10.17615/npcc-3n24,Sea Level Rise Inundation,dataset-610
Projected changes in area of the Sundarban mangrove forest in Bangladesh due to SLR by 2100,Climatic Change,http://nora.nerc.ac.uk/514284/,"Payo Garcia, Andres, Mukhopadhyay, Anirban, Hazra, Sugata, Ghosh, Tuhin, Ghosh, Subhajit, Brown, Sally, Nicholls, Robert, Bricheno, Lucy, Wolf, Judith, Kay, Susan, Lazar, Attila, Haque, Anisul",10.1007/s10584-016-1769-z,Sea Level Rise Inundation,dataset-610
"Impact of sea level rise to coastal ecology: a case study on the northern part of Java Island, Indonesia",,http://hdl.handle.net/10593/15932,"Marfai, Muh Aris",,Sea Level Rise Inundation,dataset-610
The impact of sea-level rise on organic matter decay rates in Chesapeake Bay brackish tidal marshes,Biogeosciences,https://www.biogeosciences.net/10/1869/2013/,"Kirwan, M. L., Langley, J. A., Guntenspergen, G. R., Megonigal, J. P.",10.5194/bg-10-1869-2013,Sea Level Rise Inundation,dataset-610
Relative sea-level rise and the conterminous United States: Consequences of potential land inundation in terms of population at risk and GDP loss,,https://research.vu.nl/en/publications/2bc3e264-5ec8-478f-89e1-3db4a2523c10,"Haer, Toon, Kalnay, Eugenia, Kearney, Michael, Moll, Henk",,Sea Level Rise Inundation,dataset-610
Geospatial modelling of the inundation levels in the Sundarbans mangrove forests due to the impact of sea level rise and identification of affected species and regions,Geomatics,http://dx.doi.org/10.1080/19475705.2018.1564373,"Manoj Kumer Ghosh, Lalit Kumar, Philip Kibet Langat",10.1080/19475705.2018.1564373,Sea Level Rise Inundation,dataset-610
Hydrodynamic Modelling of Tidal Inundation from Sea Level Rise in Kakadu National Park,,http://dx.doi.org/10.4225/08/5852da55bbc0e,"Prakash, Mahesh, Woolard, Fletcher, Saunders, Kate",10.4225/08/5852da55bbc0e,Sea Level Rise Inundation,dataset-610
Sea-level rise and refuge habitats for tidal marsh species: Can artificial islands save the California Ridgway's rail?,,http://www.escholarship.org/uc/item/2nf8246k,"Overton, CT, Takekawa, JY, Casazza, ML, Bui, TD, Holyoak, M, Strong, DR",,Sea Level Rise Inundation,dataset-610
Past and present inundation episodes on the US East Coast: Short-term variability and adaptation to long-term sea level rise.,,http://dx.doi.org/10.13140/2.1.4862.5606,"Barber, Donald C, T Storrs Kegel",10.13140/2.1.4862.5606,Sea Level Rise Inundation,dataset-610
"Predicting the Extent of Inundation due to Sea-Level Rise: Al Hamra Development, Ras Al Khaimah, UAE. A Pilot Project",Miscellanea Geographica: Regional Studies on Development,http://www.degruyter.com/view/j/mgrsd.2016.20.issue-2/mgrsd-2016-0012/mgrsd-2016-0012.xml?format=INT,"Arthur Robert M., Garland G. G.",10.1515/mgrsd-2016-0012,Sea Level Rise Inundation,dataset-610
A modest 0.5-m rise in sea level will double the tsunami hazard in Macau,Science Advances,http://europepmc.org/articles/PMC6093631,"Li, Linlin, Switzer, Adam D., Wang, Yu, Chan, Chung-Han, Qiu, Qiang, Weiss, Robert",10.1126/sciadv.aat1180,Sea Level Rise Inundation,dataset-610
ASSESSING INUNDATION FROM UPSTREAM FLOODING AND SEA LEVEL RISE IN THE DOWNSTREAM OF THE DONGNAI -SAIGON RIVER,,http://dx.doi.org/10.13140/2.1.5117.6007,"Nguyen Quang Kim, Letrung, Thanh, Ngoc, Trieu Anh, Nguyen Thai Quyet",10.13140/2.1.5117.6007,Sea Level Rise Inundation,dataset-610
Uncertainties in Tidally Adjusted Estimates of Sea Level Rise Flooding (Bathtub Model) for the Greater London,Remote Sensing,http://centaur.reading.ac.uk/65088/1/remotesensing-08-00366.pdf,"Yunus, Ali P., Avtar, Ram, Kraines, Steven, Yamamuro, Masumi, Lindberg, Fredrik, Grimmond, C. S. B.",10.3390/rs8050366,Sea Level Rise Inundation,dataset-610
New Jersey coastal community resilience demonstration project report,,http://dx.doi.org/10.7282/t3pn97dj,"Wood, Ida Leigh, Tirrito, Jenny, Leckner, Mariana",10.7282/t3pn97dj,Sea Level Rise Inundation,dataset-610
Vulnerability Assessment of Critical Bridges in the Hampton Roads Region of Virginia to Storm Surge Flooding under Sea Level Rise,,http://dx.doi.org/10.25777/965e-wd72,"Castrucci, Luca",10.25777/965e-wd72,Sea Level Rise Inundation,dataset-610
San Elijo Lagoon and Sea Level Rise,,http://www.escholarship.org/uc/item/3c18x04t,"Wilkins, Eric",,Sea Level Rise Inundation,dataset-610
Coastal Flooding in Florida's Big Bend Region with Application to Sea Level Rise Based on Synthetic Storms Analysis,Terrestrial,http://tao.cgu.org.tw/images/attachments/v235p481.pdf,Scott C. Hagen Peter Bacopoulos,10.3319/TAO.2012.04.17.01(WMH),Sea Level Rise Inundation,dataset-610
"SEA LEVEL RISE AND ITS POTENTIAL IMPACTS ON COASTAL URBAN AREA: A CASE OF ETI-OSA, NIGERIA",Analele Universităţii din Oradea: Seria Geografie,http://geografie-uoradea.ro/Reviste/Anale/Art/2016-2/9.AUOG_715_Ayansina.pdf,"Ayodele Michael AGBOOLA, Ayansina AYANLADE",,Sea Level Rise Inundation,dataset-610
Long-term surface elevation change in salt marshes: a prediction of marsh response to future sea-level rise,,https://www.rug.nl/research/portal/en/publications/longterm-surface-elevation-change-in-salt-marshes(aa23e9e6-dfa8-4013-8fc9-e77ef8a32c01).html,"van Wijnen, HJ, Bakker, JP",,Sea Level Rise Inundation,dataset-610
PEMODELAN SPASIAL BAHAYA BANJIR ROB BERDASARKAN SKENARIO PERUBAHAN IKLIM DAN DAMPAKNYA DI PESISIR PEKALONGAN,,http://dx.doi.org/10.17605/osf.io/wzter,"Cahyadi, Ahmad, Marfai, Muh, Mardiatno, Djati, Nucifera, Fitria",10.17605/osf.io/wzter,Sea Level Rise Inundation,dataset-610
Coastal inundation multi-hazard analysis for a construction site in Malaysia,,http://hdl.handle.net/11250/2374672,"Harbitz, Carl Bonnevie, Kaiser, Gunilla, Glimsdal, Sylfest, Jaedicke, Christian, Vafeidis, A. T., Gothlich, Stephan E., Høydal, Øyvind Armand, Løvholt, Finn, Farrokh, Nadim",,Sea Level Rise Inundation,dataset-610
Second-home owners and sea-level rise: the case of the Languedoc- Roussillon region (France),,https://hal.archives-ouvertes.fr/hal-01521722,"Rey-Valette, Hélène, Rulleau, Bénédicte, Hellequin, Anne-Peggy, Meur-Ferec, Catherine, Flanquart, Hervé",10.1080/19407963.2014.942734,Sea Level Rise Inundation,dataset-610
"Flood Risk Mapping Using LiDAR for Annapolis Royal, Nova Scotia, Canada",Remote Sensing,http://dx.doi.org/10.3390/rs2092060,Tim L. Webster,10.3390/rs2092060,Sea Level Rise Inundation,dataset-610
The Orinoco megadelta as a conservation target in the face of the ongoing and future sea level rise,,http://hdl.handle.net/10261/115925,"Vegas-Vilarrúbia, Teresa, Hernández, E., Rull, Valentí, Rull Vegas, Elisa",10.1016/j.scitotenv.2015.01.056,Sea Level Rise Inundation,dataset-610
"Assessing the extreme risk of coastal inundation due to climate change: A case study of Rongcheng, China",,https://www.nat-hazards-earth-syst-sci-discuss.net/nhess-2017-31/,"Feng, Aiqing, Gao, Jiangbo, Wu, Shaohong, Li, Yanzhong, Yue, Xiliu",10.5194/nhess-2017-31,Sea Level Rise Inundation,dataset-610
Vulnerability of New Jersey's Coastal Habitats to Sea Level Rise,,http://dx.doi.org/10.7282/t3f18zrz,No Name Supplied,10.7282/t3f18zrz,Sea Level Rise Inundation,dataset-610
Vulnerability of the peatland carbon sink to sea-level rise,Scientific Reports,http://dx.doi.org/10.1038/srep28758,"Alex Whittle, Angela V. Gallego-Sala",10.1038/srep28758,Sea Level Rise Inundation,dataset-610
Global climate change and local land subsidence exacerbate inundation risk to the San Francisco Bay Area,,http://www.escholarship.org/uc/item/0f22j79t,"Shirzaei, Manoochehr, Bürgmann, Roland",10.1126/sciadv.aap9234,Sea Level Rise Inundation,dataset-610
Potential Economic Losses Due to Tidal Inundation and Flood at Semarang City,Forum Geografi,http://journals.ums.ac.id/index.php/fg/article/view/428,"Ifan R Suhelmi, Achmad Fahrudin, Ferdinand Hariyanto Triwibowo",,Sea Level Rise Inundation,dataset-610
Science Advances,,https://doi.org/10.1126/sciadv.aat1180,"Li, Linlin, Switzer, Adam D., Wang, Yu, Chan, Chung-Han, Qiu, Qiang, Weiss, Robert",10.1126/sciadv.aat1180,Sea Level Rise Inundation,dataset-610
"Developing a framework to quantify potential Sea level rise-driven environmental losses: A case study in Semarang coastal area, Indonesia",,https://research.utwente.nl/en/publications/developing-a-framework-to-quantify-potential-sea-level-risedriven-environmental-losses(4af78771-4d67-4a0b-b1af-f983d55aa75d).html,"Mehvar, Seyedabdolhossein, Filatova, Tatiana, Syukri, Ifdlol, Dastgheib, Ali, Ranasinghe, Roshanka",10.1016/j.ic.2014.10.009,Sea Level Rise Inundation,dataset-610
Will the Effects of Sea-Level Rise Create Ecological Traps for Pacific Island Seabirds?,PLoS ONE,http://dx.doi.org/10.1371/journal.pone.0136773.t001,"Reynolds, Michelle H., Courtot, Karen N., Berkowitz, Paul, Storlazzi, Curt D., Moore, Janet, Flint, Elizabeth",10.1371/journal.pone.0136773,Sea Level Rise Inundation,dataset-610
"Climate Delusion: Hurricane Sandy, Sea Level Rise, and 1840s Catastrophism",Humanities,https://www.mdpi.com/2076-0787/8/3/131,Wood,10.3390/h8030131,Sea Level Rise Inundation,dataset-610
"The exposure of Sydney (Australia) to earthquake-generated tsunamis, storms and sea level rise: a probabilistic multi-hazard approach",Scientific Reports,http://dx.doi.org/10.1038/srep07401,"Dall'Osso, F., Dominey-Howes, D., Moore, C., Summerhayes, S., Withycombe, G.",10.1038/srep07401,Sea Level Rise Inundation,dataset-610
Coastal subsidence detected by Synthetic Aperture Radar interferometry and its effects coupled with future sea-level rise: The case of the Sele Plain (Southern Italy),,http://hdl.handle.net/11367/60336,"Di Paola, G., Alberico, I., Aucelli, Pietro Patrizio Ciro, Matano, F., Rizzo, A., Vilardo, G.",10.1111/jfr3.12308,Sea Level Rise Inundation,dataset-610
"The importance of the vertical accuracy of digital elevation models in gauging inundation by sea level rise along the Valdelagrana beach and marshes (Bay of Cádiz, SW Spain)",,http://dx.doi.org/10.1007/s00367-012-0317-8,"Fraile-Jurado, Pablo, Ojeda-Zújar, José",10.1007/s00367-012-0317-8,Sea Level Rise Inundation,dataset-610
Evaluation of dynamic coastal response to sea-level rise modifies inundation likelihood,,http://dx.doi.org/10.1038/nclimate2957,"Lentz, Erika E., Thieler, E. Robert, Plant, Nathaniel G., Stippa, Sawyer R., Horton, Radley M., Gesch, Dean B.",10.1038/nclimate2957,Sea Level Rise Inundation,dataset-610
Early Stages of Sea-Level Rise Lead To Decreased Salt Marsh Plant Diversity through Stronger Competition in Mediterranean-Climate Marshes,PLoS ONE,http://dx.doi.org/10.1371/journal.pone.0169056,"Noto, Akana E., Shurin, Jonathan B.",10.1371/journal.pone.0169056,Sea Level Rise Inundation,dataset-610
Coastal inundation due to sea level rise and extreme sea state and its potential impacts: Çukurova Delta case,,http://dergipark.gov.tr/tbtkagriculture/issue/11577/137993,"HALAJ, Roman, OSIADACZ, Barbara",10.3906/tar-1208-55,Sea Level Rise Inundation,dataset-610
Nutrient levels modify saltmarsh responses to increased inundation in different soil types,,http://www.vliz.be/nl/open-marien-archief?module=ref&refid=246432,"Joanne X.W. Wong, Carl Van Colen, Laura Airoldi",10.1016/j.marenvres.2014.12.003,Sea Level Rise Inundation,dataset-610
New models of North West European Holocene palaeogeography and inundation,Journal of Archaeological Science,http://nora.nerc.ac.uk/id/eprint/502219/,"Sturt, Fraser, Garrow, Duncan, Bradley, Sarah",10.1016/j.jas.2013.05.023,Sea Level Rise Inundation,dataset-610
Modelling the impact of sea-level rise on urban flood probability in SE China,Geoscience Frontiers,http://www.sciencedirect.com/science/article/pii/S1674987118300756,"James Andrew Griffiths, Fangfang Zhu, Faith Ka Shun Chan, David Laurence Higgitt",10.1016/j.gsf.2018.02.012,Sea Level Rise Inundation,dataset-610
Sea Level: An Introduction to the Special Issue,Oceanography,http://tos.org/oceanography/archive/24-2_willis.pdf,"Josh Willis, Laury Miller, Gregory Mountain",,Sea Level Rise Inundation,dataset-610
"Evaluating coastal landscape response to sea-level rise in the northeastern United States, approach and methods",,http://dx.doi.org/10.7282/t37m09zr,No Name Supplied,10.7282/t37m09zr,Sea Level Rise Inundation,dataset-610
Effects of future sea-level rise on tidal processes on the Patagonian Shelf,Journal of Marine Systems,http://dx.doi.org/10.1016/j.jmarsys.2016.07.007,"Carless, Stacey J., Green, J.A. Mattias, Pelling, Holly E., Wilmes, Sophie-Berenice",10.1016/j.jmarsys.2016.07.007,Sea Level Rise Inundation,dataset-610
"Coastal inundation due to sea level rise in the Pearl River Delta, China.",,http://dro.dur.ac.uk/2712/,"Huang, Z., Zong, Y., Zhang, W.",10.1023/B:NHAZ.0000037038.18814.b0,Sea Level Rise Inundation,dataset-610
Observations of waves and currents during barrier island inundation,,http://dspace.library.uu.nl/handle/1874/352024,"Engelstad, A.C., Ruessink, B. G., Wesselman, D., Hoekstra, P., Oost, A., van der Vegt, M.",,Sea Level Rise Inundation,dataset-610
Modeling complex flow dynamics of fluvial floods exacerbated by sea level rise in the Ganges-Brahmaputra-Meghna Delta,,https://research.vu.nl/en/publications/cdbc9a02-8c5b-48e3-ac62-f5848a9e9d3f,"Ikeuchi, H., Hirabayashi, Y., Yamazaki, D., Kiguchi, M., Koirala, S., Nagano, T., Kotera, A., Kanae, S.",10.1088/1748-9326/10/12/124011,Sea Level Rise Inundation,dataset-610
Many Atolls May be Uninhabitable Within Decades Due to Climate Change,Scientific Reports,http://dx.doi.org/10.1038/srep14546,"Storlazzi, Curt D., Elias, Edwin P.L., Berkowitz, Paul",10.1038/srep14546,Sea Level Rise Inundation,dataset-610
Relative sea-level rise and marine erosion and inundation in the Sele river coastal plain (Southern Italy): scenarios for the next century,,http://hdl.handle.net/11367/31074,"Pappone, Gerardo, Aucelli, Pietro Patrizio Ciro, Aberico, Ines, Amato, Vincenzo, Antonioli, Fabrizio, Cesarano, Massimo, Di Paola, Gianluigi, Pelosi, Nicola",10.1007/s12210-012-0166-4,Sea Level Rise Inundation,dataset-610
Adaptive Planning for Transportation Corridors Threatened by Sea Level Rise,,http://www.escholarship.org/uc/item/4rz7c2np,"Shilling, Fraser M, Vandever, Justin, May, Kris, Gerhard, Ina, Bregoff, Robert",,Sea Level Rise Inundation,dataset-610
