title,journal,url,pdf,authors,doi,search_term,dataset
Effective inundation of continental United States communities with 21st century sea level rise,Elementa: Science of the Anthropocene,http://dx.doi.org/10.1371/journal.pone.0170949,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0170949&type=printable,"Kristina A. Dahl, Erika Spanger-Siegfried, Astrid Caldas, Shana Udvardy",10.1525/elementa.234,Sea Level Rise Inundation,"dataset-696, dataset-697, dataset-698"
Impacts of Sea Level Rise and River Discharge on the Hydrodynamics Characteristics of Jakarta Bay (Indonesia),Coastal Dynamic and Evolution,http://dx.doi.org/10.3390/w11071384,,"Yahya Surya, Martin, He, Zhiguo, Xia, Yuezhang, Li, Li",10.3390/w11071384,Sea Level Rise Inundation,"dataset-699, dataset-708, dataset-709"
Impact of Sea Level Rise for the Conterminous United States. An analysis on Inhabitant Displacement and GDP Production Impediment due to Land Inundation,,https://www.rug.nl/research/portal/en/publications/impact-of-sea-level-rise-for-the-conterminous-united-states-an-analysis-on-inhabitant-displacement-and-gdp-production-impediment-due-to-land-inundation(4b587780-5d09-4cbe-99fd-cca46e505c94).html,,"Haer, Toon",,Sea Level Rise Inundation,"dataset-633, dataset-739, dataset-740"
A Regional Scale Approach to Assessing Current and Potential Future Exposure to Tidal Inundation in Different Types of Estuaries,Scientific Reports,http://europepmc.org/articles/PMC5935728,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC5935728&blobtype=pdf,"Hanslow, David J., Morris, Bradley D., Foulsham, Edwina, Kinsela, Michael A.",10.1038/s41598-018-25410-y,Sea Level Rise Inundation,"dataset-610, dataset-710, dataset-711"
Social vulnerability projections improve sea-level rise risk assessments,,http://dx.doi.org/10.17605/osf.io/pkr75,,"Hardy, Dean, Hauer, Mathew",10.17605/osf.io/pkr75,Sea Level Rise Inundation,"dataset-610, dataset-046, dataset-225, dataset-674"
Potential Inundation Due to Rising Sea Levels in the San Francisco Bay Region,San Francisco Estuary and Watershed Science,http://www.escholarship.org/uc/item/8ck5h3qn,,"Knowles, Noah",10.15447/sfews.2010v8iss1art1,Sea Level Rise Inundation,"dataset-610, dataset-712, dataset-713, dataset-633, dataset-714, dataset-715, dataset-614"
Modelling Hydrodynamic Impacts of Sea-Level Rise on Wave-Dominated Australian Estuaries with Differing Geomorphology,Journal of Marine Science and Engineering,http://dx.doi.org/10.1371/journal.pone.0132079,,"Kristian Kumbier, Rafael C. Carvalho, Colin D. Woodroffe",10.3390/jmse6020066,Sea Level Rise Inundation,"dataset-730, dataset-731"
"Future sea level rise and the New Jersey coast, assessing potential impacts and opportunities",,http://dx.doi.org/10.7282/t3f18wxc,https://rucore.libraries.rutgers.edu/rutgers-lib/43415/PDF/1/play/,No Name Supplied,10.7282/t3f18wxc,Sea Level Rise Inundation,"dataset-610, dataset-633"
Sea Level Rise and Inundation Tools Matrix Update,,http://dx.doi.org/10.13140/rg.2.2.32069.29924,,"Taladay, Katie",10.13140/rg.2.2.32069.29924,Sea Level Rise Inundation,dataset-610
Wetland loss patterns and inundation-productivity relationships prognosticate widespread salt for southern New England,,https://europepmc.org/articles/PMC6040677/,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC6040677&blobtype=pdf,"Watson, Elizabeth Burke, Wigand, Cathleen, Davey, Earl W., Andrews, Holly M., Bishop, Joseph, Raposa, Kenneth B.",10.1007/s12237-016-0069-1,Sea Level Rise Inundation,dataset-732
Can community structure track sea‐level rise? Stress and competitive controls in tidal wetlands,Ecology and Evolution,http://dx.doi.org/10.1371/journal.pone.0027388,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0027388&type=printable,"Schile, Lisa M., Callaway, John C., Suding, Katharine N., Kelly, N. Maggi",10.1002/ece3.2758,Sea Level Rise Inundation,"dataset-610, dataset-715, dataset-614, dataset-623"
"Sea-level rise and coastal groundwater inundation and shoaling at select sites in California, USA",Journal of Hydrology: Regional Studies,http://dx.doi.org/10.1016/j.ejrh.2015.12.055,,"Swarzenski, Peter W., Hoover, Daniel J., Odigie, Kingsley O., Barnard, Patrick",10.1016/j.ejrh.2015.12.055,Sea Level Rise Inundation,"dataset-610, dataset-631, dataset-614"
Sea-Level Rise Inundation Assessment for the City of Rockledge Stormwater System,,http://dx.doi.org/10.13140/rg.2.2.15046.42563,,"Evans, Jason M, Clark, Alex",10.13140/rg.2.2.15046.42563,Sea Level Rise Inundation,"dataset-610, dataset-733, dataset-645"
