dataset_id,dataset_string,dataset_title,doi,journal,title
dataset-425,UMETRICS,"Universities: Measuring the Impacts of Research on Innovation, Competitiveness, and Science",10.1166/jnn.2020.17216,Journal of Nanoscience and Nanotechnology,pH-Responsively Water-Retaining Controlled-Release Fertilizer Using Humic Acid Hydrogel and Nano-Silica Aqueous Dispersion
dataset-425,UMETRICS,"Universities: Measuring the Impacts of Research on Innovation, Competitiveness, and Science",10.1016/j.foodchem.2019.125556,Food Chemistry,Profiling versus fingerprinting analysis of sesquiterpene hydrocarbons for the geographical authentication of extra virgin olive oils
dataset-425,UMETRICS,"Universities: Measuring the Impacts of Research on Innovation, Competitiveness, and Science",10.1016/j.foodcont.2019.106925,Food Control,"Impact of farming type, variety and geographical origin on bananas bacterial community."
dataset-425,UMETRICS,"Universities: Measuring the Impacts of Research on Innovation, Competitiveness, and Science",10.1016/j.foodchem.2019.125584,Food Chemistry,Nutritional quality and health risks of wheat grains from organic and conventional cropping systems
dataset-425,UMETRICS,"Universities: Measuring the Impacts of Research on Innovation, Competitiveness, and Science",10.1016/j.saa.2019.117619,Spectrochimica Acta Part A Molecular and Biomolecular Spectroscopy,Origin identification of Panax notoginseng by multi-sensor information fusion strategy of infrared spectra combined with random forest
dataset-425,UMETRICS,"Universities: Measuring the Impacts of Research on Innovation, Competitiveness, and Science",10.1016/j.foodchem.2019.125461,Food Chemistry,Comparative metabolic expressions of fermented soybeans according to different microbial starters
dataset-425,UMETRICS,"Universities: Measuring the Impacts of Research on Innovation, Competitiveness, and Science",10.1016/j.foodchem.2019.125477,Food Chemistry,"Effect of different pretreatments followed by hot-air and far-infrared drying on the bioactive compounds, physicochemical property and microstructure of mango slices"
dataset-425,UMETRICS,"Universities: Measuring the Impacts of Research on Innovation, Competitiveness, and Science",10.1016/j.saa.2019.117633,Spectrochimica Acta Part A Molecular and Biomolecular Spectroscopy,Comparison and quantitative analysis of wild and cultivated Macrohyporia cocos using attenuated total refection-Fourier transform infrared spectroscopy combined with ultra-fast liquid chromatography
dataset-425,UMETRICS,"Universities: Measuring the Impacts of Research on Innovation, Competitiveness, and Science",10.1016/j.saa.2019.117632,Spectrochimica Acta Part A Molecular and Biomolecular Spectroscopy,High accuracy detection of malignant pleural effusion based on label-free surface-enhanced Raman spectroscopy and multivariate statistical analysis
dataset-425,UMETRICS,"Universities: Measuring the Impacts of Research on Innovation, Competitiveness, and Science",10.1016/j.foodchem.2019.125507,Food Chemistry,Evaluation of astringent taste of green tea through mass spectrometry-based targeted metabolic profiling of polyphenols
dataset-425,UMETRICS,"Universities: Measuring the Impacts of Research on Innovation, Competitiveness, and Science",10.1016/j.foodchem.2019.125499,Food Chemistry,Profiling of organosulfur compounds and amino acids in garlic from different regions of China
dataset-425,UMETRICS,"Universities: Measuring the Impacts of Research on Innovation, Competitiveness, and Science",10.1016/j.saa.2019.117589,Spectrochimica Acta Part A Molecular and Biomolecular Spectroscopy,Combining convolutional neural networks and on-line Raman spectroscopy for monitoring the Cornu Caprae Hircus hydrolysis process
dataset-425,UMETRICS,"Universities: Measuring the Impacts of Research on Innovation, Competitiveness, and Science",10.1016/j.foodchem.2019.125335,Food Chemistry,Experimentally Modelling Cocoa Bean Fermentation Reveals Key Factors and their Influences
dataset-425,UMETRICS,"Universities: Measuring the Impacts of Research on Innovation, Competitiveness, and Science",10.1016/j.lwt.2019.108635,LWT,Inactivation of Listeria Monocytogenes at various growth temperatures by ultrasound pretreatment and cold plasma
dataset-425,UMETRICS,"Universities: Measuring the Impacts of Research on Innovation, Competitiveness, and Science",10.1016/j.agee.2019.106713,Agriculture Ecosystems & Environment,Natural and anthropogenic determinants of riverine phosphorus concentration and loading variability in subtropical agricultural catchments
dataset-425,UMETRICS,"Universities: Measuring the Impacts of Research on Innovation, Competitiveness, and Science",10.1016/j.jpba.2019.112851,Journal of Pharmaceutical and Biomedical Analysis,Simultaneous determination of chiral and achiral impurities of ivabradine on a cellulose tris(3-chloro-4-methylphenylcarbamate) chiral column using polar organic mode
dataset-425,UMETRICS,"Universities: Measuring the Impacts of Research on Innovation, Competitiveness, and Science",10.1016/j.jpba.2019.112812,Journal of Pharmaceutical and Biomedical Analysis,Targeted amino acid and related amines analysis based on iTRAQ®-LC-MS/MS for discovering potential hepatotoxicity biomarkers
