dataset_id,dataset_string,dataset_title,doi,journal,title
dataset-426,USPTO,USPTO PatentsView,10.1016/j.eswa.2019.112995,Expert Systems with Applications,TechNet: Technology Semantic Network Based on Patent Data
dataset-426,USPTO,USPTO PatentsView,10.1016/j.respol.2019.103833,Research Policy,Exaptation in a digital innovation ecosystem: The disruptive impacts of 3D printing
dataset-426,USPTO,USPTO PatentsView,10.1016/j.respol.2019.103875,Research Policy,Private and public values of innovation: A patent analysis of synthetic biology
dataset-426,USPTO,USPTO PatentsView,10.1016/j.ijheatmasstransfer.2019.118821,International Journal of Heat and Mass Transfer,Numerical modelling of radiation absorption in a novel multi-stage free-falling particle receiver
dataset-426,USPTO,USPTO PatentsView,10.1016/j.lwt.2019.108687,LWT,A novel sensitive visual count card for detection of hygiene bio-indicator—molds and yeasts in contaminated food
dataset-426,USPTO,USPTO PatentsView,10.1016/j.cose.2019.101653,Computers & Security,PrivySharing: A Blockchain-Based Framework for Privacy-Preserving and Secure Data Sharing in Smart Cities
dataset-426,USPTO,USPTO PatentsView,10.1016/j.jep.2019.112250,Journal of Ethnopharmacology,"Neopicrorhiza scrophulariiflora (Pennell) Hong: A comprehensive review of its traditional uses, phytochemistry, pharmacology and safety"
dataset-426,USPTO,USPTO PatentsView,10.1016/j.jbusres.2019.08.040,Journal of Business Research,"Does geographic distance to partners affect firm R&D spending? The moderating roles of individuals, firms, and countries"
dataset-426,USPTO,USPTO PatentsView,10.1016/j.jclepro.2019.118185,Journal of Cleaner Production,Adopting hydrogen direct reduction for the Swedish steel industry: A technological innovation system (TIS) study
dataset-426,USPTO PatentsView,USPTO PatentsView,10.1016/j.evalprogplan.2019.101710,Evaluation and Program Planning,"Using Database Linkages to Measure Innovation, Commercialization, and Survival of Small Businesses"
dataset-426,USPTO PatentsView,USPTO PatentsView,10.1016/j.enpol.2019.110942,Energy Policy,Analysing energy innovation portfolios from a systemic perspective
dataset-426,USPTO PatentsView,USPTO PatentsView,10.1007/s10734-019-00363-x,Higher Education,Dynamics of higher education research collaboration and regional integration in Northeast Asia: a study of the A3 Foresight Program
dataset-426,USPTO PatentsView,USPTO PatentsView,10.1016/j.esr.2019.04.012,Energy Strategy Reviews,Analysing future change in the EU's energy innovation system
dataset-426,USPTO PatentsView,USPTO PatentsView,10.1002/smj.2977,Strategic Management Journal,The ethnic migrant inventor effect: Codification and recombination of knowledge across borders
dataset-426,USPTO PatentsView,USPTO PatentsView,10.2139/ssrn.3469033,SSRN Electronic Journal,Board's IT Expertise and Firm Innovation
dataset-426,USPTO PatentsView,USPTO PatentsView,10.2139/ssrn.3465737,SSRN Electronic Journal,The Hidden Value of Abandoned Applications to the Patent System
dataset-426,USPTO PatentsView,USPTO PatentsView,10.2139/ssrn.3406177,SSRN Electronic Journal,Synergizing Ventures
dataset-426,USPTO PatentsView,USPTO PatentsView,10.2139/ssrn.3334248,SSRN Electronic Journal,Predicting Administrative Patent Challenges
dataset-426,USPTO PatentsView,USPTO PatentsView,10.1016/j.wpi.2018.08.005,World Patent Information,Patenting activity in the food safety sector
dataset-426,USPTO PatentsView,USPTO PatentsView,10.1016/j.joi.2018.10.002,Journal of Informetrics,Patent citation spectroscopy (PCS): Online retrieval of landmark patents based on an algorithmic approach
dataset-426,USPTO PatentsView,USPTO PatentsView,10.5530/jscires.7.2.13,Journal of Scientometric Research,Data-Mining the Foundational Patents of Photovoltaic Materials: An Application of Patent Citation Spectroscopy
dataset-426,USPTO PatentsView,USPTO PatentsView,10.1111/jems.12260,Journal of Economics & Management Strategy,Business dynamics of innovating firms: Linking U.S. patents with administrative data on workers and firms
dataset-426,USPTO PatentsView,USPTO PatentsView,10.1016/j.respol.2017.12.006,Research Policy,“A tie is a tie? Gender and network positioning in life science inventor collaboration”
dataset-426,USPTO PatentsView,USPTO PatentsView,10.2139/ssrn.3160533,SSRN Electronic Journal,Patents and Knowledge Diffusion: The Effect of Early Disclosure
dataset-426,USPTO PatentsView,USPTO PatentsView,10.1016/j.respol.2017.10.015,Research Policy,Inventing by combining pre-existing technologies: Patent evidence on learning and fishing out
dataset-426,USPTO PatentsView,USPTO PatentsView,10.2139/ssrn.3210371,SSRN Electronic Journal,Going Public and Innovation Strategy: The Role of Ownership Structure
dataset-426,USPTO PatentsView,USPTO PatentsView,10.2139/ssrn.2987588,SSRN Electronic Journal,Estimating Technology Performance Improvement Rates by Mining Patent Data
dataset-426,USPTO PatentsView,USPTO PatentsView,10.2139/ssrn.3024621,SSRN Electronic Journal,USPTO Patent Prosecution Research Data: Unlocking Office Action Traits
