datasets,doi,journal,search_term,title
dataset-624,10.1080/01431161.2019.1674457,"{'id': 'jour.1122771', 'title': 'International Journal of Remote Sensing'}",Coastal Topographic Lidar,Riparian trees genera identification based on leaf-on/leaf-off airborne laser scanner data and machine learning classifiers in northern France
dataset-624,10.1080/01431161.2019.1641241,"{'id': 'jour.1122771', 'title': 'International Journal of Remote Sensing'}",Coastal Topographic Lidar,A photogrammetric approach to fusing natural colour and thermal infrared UAS imagery in 3D point cloud generation
dataset-624,10.1080/01431161.2019.1648900,"{'id': 'jour.1122771', 'title': 'International Journal of Remote Sensing'}",Coastal Topographic Lidar,Potential of UAV photogrammetry for characterization of forest canopy structure in uneven-aged mixed conifer–broadleaf forests
dataset-624,10.1111/jfr3.12557,"{'id': 'jour.1045084', 'title': 'Journal of Flood Risk Management'}",Coastal Topographic Lidar,Differences in assigning probabilities to coastal inundation hazard estimators: Event versus response approaches
dataset-624,10.1007/978-3-030-14294-0,,Coastal Topographic Lidar,"Australian Coastal Systems, Beaches, Barriers and Sediment Compartments"
dataset-624,10.1007/978-981-13-7067-0,,Coastal Topographic Lidar,"Applications of Geomatics in Civil Engineering, Select Proceedings of ICGCE 2018"
dataset-624,10.1007/978-981-15-0802-8,,Coastal Topographic Lidar,"CIGOS 2019, Innovation for Sustainable Infrastructure, Proceedings of the 5th International Conference on Geotechnics, Civil Engineering Works and Structures"
dataset-624,10.1007/978-3-030-21166-0,,Coastal Topographic Lidar,"Mapping and Spatial Analysis of Socio-economic and Environmental Indicators for Sustainable Development, Case Studies from North Africa"
dataset-624,10.1007/978-981-32-9915-3,,Coastal Topographic Lidar,Manual of Digital Earth
dataset-624,10.1007/978-3-030-27157-2,,Coastal Topographic Lidar,Unmanned Aerial Vehicle: Applications in Agriculture and Environment
dataset-624,10.1007/978-981-13-7580-4,,Coastal Topographic Lidar,"Remote Sensing of Land Use and Land Cover in Mountain Region, A Comprehensive Study at the Central Tibetan Plateau"
dataset-624,10.1007/978-3-030-21166-0_10,,Coastal Topographic Lidar,A Topo-Bathymetric Survey of the Morphological Evolution of a Microtidal Barred Beach. Case Study: The Coastal Prism of Korba (Mediterranean Coast; Northeast of Tunisia)
dataset-624,10.1007/978-3-030-29477-9,,Coastal Topographic Lidar,Soft Rock Mechanics and Engineering
dataset-624,10.1007/978-3-030-32816-0,,Coastal Topographic Lidar,"Proceedings of AICCE'19, Transforming the Nation for a Sustainable Tomorrow"
dataset-624,10.1002/esp.4787,"{'id': 'jour.1137132', 'title': 'Earth Surface Processes and Landforms'}",Coastal Topographic Lidar,Remotely Sensed Rivers in the Anthropocene: State of the Art and Prospects
dataset-624,10.2112/si88-006.1,"{'id': 'jour.1137383', 'title': 'Journal of Coastal Research'}",Coastal Topographic Lidar,Short-term to Decadal-scale Sand Flat Morphodynamics and Sediment Balance of a Megatidal Bay: Insight from Multiple LiDAR Datasets
dataset-624,10.2112/si88-004.1,"{'id': 'jour.1137383', 'title': 'Journal of Coastal Research'}",Coastal Topographic Lidar,"Alongshore Variability in Coastal Dune Erosion and Post-Storm Recovery, Northern Coast of France"
dataset-624,10.1016/j.measurement.2019.07.023,"{'id': 'jour.1052495', 'title': 'Measurement'}",Coastal Topographic Lidar,Fusion of UAV-Based DEMs for Vertical Component Accuracy Improvement
dataset-624,10.1016/j.geomorph.2019.106995,"{'id': 'jour.1044680', 'title': 'Geomorphology'}",Coastal Topographic Lidar,The effect of sand fencing on the morphology of natural dune systems
dataset-624,10.1016/j.envsoft.2017.11.001,"{'id': 'jour.1134509', 'title': 'Environmental Modelling & Software'}",Coastal Topographic Lidar,Improving the catchment scale wetland modeling using remotely sensed data
