title,url,authors,open,journal,search_term,dataset_id
Explanatory analysis of the relationship between atmospheric circulation and occurrence of flood generating events in a coastal city,https://orbit.dtu.dk/en/publications/explanatory-analysis-of-the-relationship-between-atmospheric-circulation-and-occurrence-of-flood-generating-events-in-a-coastal-city(aaf926eb-4cd7-46b9-a4ff-e99192b1ed27).html,"Åström, Helena Lisa Alexandra, Sunyer Pinya, Maria Antonia, Madsen, H., Rosbjerg, Dan, Arnbjerg-Nielsen, Karsten",True,,Coastal Flood Frequency,dataset-622
Development of a 3D dynamic flood web GIS visualisation tool,http://www.vliz.be/imisdocs/publications/314616.pdf,"Van Ackere, S., Glas, H., Beullens, J., Deruyter, G., De Wulf, A., De Maeyer, P.",True,,Coastal Flood Frequency,dataset-622
Application of Stochastic Flood Forecasting Model Using Regression Method for Kelantan Catchment,https://doi.org/10.1051/matecconf/201820307001,"Osman Sazali, Aziz Norizan Abdul, Husaif Nurul, Sidek Lariyah Mohd, Shakirah Aminah, Hanum Faezah, Basri Hidayah",True,MATEC Web of Conferences,Coastal Flood Frequency,dataset-622
"Erosion and Flooding—Threats to Coastal Infrastructure in the Arctic: A Case Study from Herschel Island, Yukon Territory, Canada",http://doi.crossref.org/servlet/query?format=unixref&pid=bib@gfz-potsdam.de&id=10.1007/s12237-015-0046-0,"Radosavljevic, Boris, Lantuit, Hugues, Pollard, Wayne, Overduin, Paul, Couture, N. J., Sachs, Torsten, Helm, Veit, Fritz, Michael",True,Estuaries and Coasts,Coastal Flood Frequency,dataset-622
URBAN GREEN INFRASTRUCTURE FOR CLIMATE RESILIENCE: A REVIEW,http://journal.uin-alauddin.ac.id/index.php/nucturenature/article/view/4868,Fahmyddin Araaf Tauhid,True,Nature: National Academic Journal of Architecture,Coastal Flood Frequency,dataset-622
Influence of climate change on the Ria de Aveiro littoral: adaptation strategies for flooding events and shoreline retreat,http://hdl.handle.net/10773/21146,"Dias, João M., Lopes, Carina L., Coelho, Carlos, Pereira, Carla, Alves, Fátima L., Sousa, Lisa P., Antunes, Inês C., Fernandes, Maria da Luz, Phillips, Mike R.",False,,Coastal Flood Frequency,dataset-622
"Turbulence investigation in tidal coastal region, Oceanology",https://hal.archives-ouvertes.fr/hal-00758765,"Korotenko , K.A., Sentchev , Alexei",True,,Coastal Flood Frequency,dataset-622
An updated USACE approach to the evaluation of coastal total water levels for present and future flood risk analysis,http://dx.doi.org/10.1051/e3sconf/20160701012,"Moritz Heidi, White Kathleen, Gouldby Ben",True,E3S Web of Conferences,Coastal Flood Frequency,dataset-622
"CRAF Phase 1, a framework to identify coastal hotspots to storm impacts",http://www.vliz.be/imisdocs/publications/302454.pdf,"Ferreira Oscar, Viavattene Christophe, Jiménez José, Bole Annelies, Plomaritis Theocharis, Costas Susana, Smets Steven",True,,Coastal Flood Frequency,dataset-622
Understanding extreme sea levels for broad-scale coastal impact and adaptation analysis,http://europepmc.org/articles/PMC5504349,"Hinkel, J., Wahl, T., Haigh, I. D., Nicholls, R. J., Arns, A., Dangendorf, S., Slangen, A. B. A.",True,,Coastal Flood Frequency,dataset-622
Climate-related change of snow contribution in the development of dangerous hydrological phenomenon on rivers,https://doaj.org/toc/2412-3765,V. A. Semenov,True,Lëd i Sneg,Coastal Flood Frequency,dataset-622
"Frequency Analysis of Storm-Surge-Induced Flooding for the Huangpu River in Shanghai, China",http://www.mdpi.com/2077-1312/6/2/70,"Ke, Qian, Jonkman, Sebastiaan N., Gelder, Pieter H. A. J. M. van, Bricker, Jeremy D.",True,Journal of Marine Science and Engineering,Coastal Flood Frequency,dataset-622
Sedimentation rhythms and hydrodynamics in two engineered environments in an open coast managed realignment site,https://eprints.soton.ac.uk/405042/,"Dale, Jonathan, Burgess, Heidi M., Cundy, Andrew B.",True,,Coastal Flood Frequency,dataset-622
A diatom record of mid- to late Holocene palaeoenvironmental changes in the southern Okinawa Trough,http://dx.doi.org/10.1002/jqs.2756,"Li, Dongling, Jiang, Hui, Knudsen, Karen Luise, Björck, Svante, Olsen, Jesper, Zhao, Meixun, Li, Tiegang, Li, Jialin",True,Journal of Quaternary Science,Coastal Flood Frequency,dataset-622
Applying Principles of Uncertainty within Coastal Hazard Assessments to Better Support Coastal Adaptation,https://www.mdpi.com/2077-1312/5/3/40,"Lawrence, Judy, Bell, Robert, Stephens, Scott",True,Journal of Marine Science and Engineering,Coastal Flood Frequency,dataset-622
Extreme sea levels under present and future climate: A pan-European database,http://dx.doi.org/10.1051/e3sconf/20160702001,"Paprotny Dominik, Morales-Nápoles Oswaldo, Nikulin Grigory",True,E3S Web of Conferences,Coastal Flood Frequency,dataset-622
Spatial Analysis of High-Resolution Radar Rainfall and Citizen-Reported Flash Flood Data in Ultra-Urban New York City,https://www.mdpi.com/2073-4441/9/10/736,"Brianne Smith, Stephanie Rodriguez",True,Water,Coastal Flood Frequency,dataset-622
Die Niederlande und Wasser - Vom technischen Küstenschutz zum Deltaprogramm im Hinterland,http://library.wur.nl/WebQuery/wurpubs/536470,"Kaufmann, Maria, Hartmann, Thomas",False,,Coastal Flood Frequency,dataset-622
The dead zones: oxygen-starved coastal waters.,http://europepmc.org/articles/PMC1637951,"Joyce, S",True,Environmental Health Perspectives,Coastal Flood Frequency,dataset-622
Mapping and Characterization of Hydrological Dynamics in a Coastal Marsh Using High Temporal Resolution Sentinel-1A Images,https://hal-univ-rennes1.archives-ouvertes.fr/hal-01374453,"Cécile Cazals, Sébastien Rapinel, Pierre-Louis Frison, Anne Bonis, Grégoire Mercier, Clément Mallet, Samuel Corgne, Jean-Paul Rudant",True,Remote Sensing,Coastal Flood Frequency,dataset-622
The KULTURisk Regional Risk Assessment methodology for water-related natural hazards &ndash; Part 1: Physical–environmental assessment,http://www.hydrol-earth-syst-sci.net/18/5399/2014/hess-18-5399-2014.pdf,"P. Ronco, V. Gallina, S. Torresan, A. Zabeo, E. Semenzin, A. Critto, A. Marcomini",True,Hydrology and Earth System Sciences,Coastal Flood Frequency,dataset-622
Nuisance Flooding and Relative Sea-Level Rise: the Importance of Present-Day Land Motion,http://europepmc.org/articles/PMC5593944,"Karegar, Makan A., Dixon, Timothy H., Malservisi, Rocco, Kusche, Jürgen, Engelhart, Simon E.",True,Scientific Reports,Coastal Flood Frequency,dataset-622
A heterogeneous multi-criteria multi-expert decision-support system for scoring combinations of flood mitigation and recovery options,http://dx.doi.org/10.1016/j.envsoft.2013.08.004,"Zagonari F, Rossi C",True,ENVIRONMENTAL MODELLING & SOFTWARE,Coastal Flood Frequency,dataset-622
"Recent increase in catastrophic tropical cyclone flooding in coastal North Carolina, USA: Long-term observations suggest a regime shift",http://europepmc.org/articles/PMC6650462,"Paerl, Hans W., Hall, Nathan S., Hounshell, Alexandria G., Luettich, Richard A., Rossignol, Karen L., Osburn, Christopher L., Bales, Jerad",True,Scientific Reports,Coastal Flood Frequency,dataset-622
Development of Generic Tools for Coastal Early Warning and Decision Support,http://dx.doi.org/10.1051/e3sconf/20160718017,"Bogaard Tom, De Kleermaeker Simone, Jaeger Wiebke S., van Dongeren Ap",True,E3S Web of Conferences,Coastal Flood Frequency,dataset-622
Impact of oceanic floods on particulate metal inputs to coastal and deep-sea environments: A case study in the NW Mediterranean Sea,https://hal.archives-ouvertes.fr/hal-00857491/document,"Roussiez, Vincent, Heussner, Serge, Ludwig, Wolfgang, Radakovitch, Olivier, Durrieu de Madron, Xavier, Guieu, Cécile, Probst, Jean-Luc, Monaco, André, Delsaut, Nicole",True,Continental Shelf Research,Coastal Flood Frequency,dataset-622
Analisis Karakteristik Permukiman Desa-Desa Pesisir di Kabupaten Kulonprogo,http://journals.ums.ac.id/index.php/fg/article/view/1819,"Djaka Marwasta, Kuswaji Dwi Priyono",True,Forum Geografi,Coastal Flood Frequency,dataset-622
Extreme flood event reconstruction spanning the last century in the El Bibane Lagoon (southeastern Tunisia): a multi-proxy approach,http://dx.doi.org/10.1594/PANGAEA.876044,"A. Affouri, A. Affouri, L. Dezileau, N. Kallel",True,,Coastal Flood Frequency,dataset-622
Increased nuisance flooding along the coasts of the United States due to sea level rise: Past and future,http://www.escholarship.org/uc/item/6sk2w9t1,"Moftakhari, HR, Aghakouchak, A, Sanders, BF, Feldman, DL, Sweet, W, Matthew, RA, Luke, A",True,,Coastal Flood Frequency,dataset-622
"Turkey Creek - a case study of ecohydrology and integrated watershed management in the low-gradient Atlantic coastal plain, USA",https://hdl.handle.net/10067/1266650151162165141,"Amatya, Devendra, Callahan, Timothy, Hansen, William, Trettin, Carl, Radecki-Pawlik, Artur, Meire, Patrick",True,,Coastal Flood Frequency,dataset-622
"Palynology: A tool to identify abrupt events? An example from Chabahar Bay, southern Iran",http://dx.doi.org/10.1016/j.margeo.2013.03.004,"Miller, Ch.S., Leroy, S.A.G., Izon, G., Lahijani, H.A.K., Marret, F., Cundy, A.B., Teasdale, P.A.",True,Marine Geology,Coastal Flood Frequency,dataset-622
"Effects of anthropogenic land-subsidence on inundation dynamics: the case study of Ravenna, Italy",https://doaj.org/toc/2199-899X,"Carisi, Francesca, Domeneghetti, Alessio, Castellarin, Attilio",True,,Coastal Flood Frequency,dataset-622
Monitoring Beach Topography and Nearshore Bathymetry Using Spaceborne Remote Sensing: A Review,https://www.mdpi.com/2072-4292/11/19/2212,"Edward Salameh, Frédéric Frappart, Rafael Almar, Paulo Baptista, Georg Heygster, Bertrand Lubac, Daniel Raucoules, Luis Pedro Almeida, Erwin W. J. Bergsma, Sylvain Capo, Marcello De Michele, Deborah Idier, Zhen Li, Vincent Marieu, Adrien Poupardin, Paulo A. Silva, Imen Turki, Benoit Laignel",True,Remote Sensing,Coastal Flood Frequency,dataset-622
Portfolio d’options pour le renforcement de la résilience : application de principes systémiques de résilience à la gestion des risques d’inondation en Gironde,http://journals.openedition.org/vertigo/16671,Touili Nabil,True,VertigO,Coastal Flood Frequency,dataset-622
Sinking coastal cities,https://doaj.org/toc/2199-899X,"G. Erkens, G. Erkens, T. Bucx, R. Dam, G. de Lange, J. Lambert",True,,Coastal Flood Frequency,dataset-622
Drawdown flushing in a chain of reservoirs—Effects on grayling populations and implications for sediment management,http://europepmc.org/articles/PMC6374722,"Reckendorfer, Walter, Badura, Hannes, Schütz, Claudia",True,Ecology and Evolution,Coastal Flood Frequency,dataset-622
New estimates of potential impacts of sea level rise and coastal floods in Poland,http://resolver.tudelft.nl/uuid:490bce62-015b-46e2-8066-a2fa2f0565f0,"Paprotny, D., Terefenko, P.",True,Natural Hazards,Coastal Flood Frequency,dataset-622
Monitoring Beach Topography and Nearshore Bathymetry Using Spaceborne Remote Sensing: A Review,https://hal-brgm.archives-ouvertes.fr/hal-02413847,"Almeida, Luis Pedro, Salameh, Edward, Frappart, Frédéric, Almar, Rafael, Baptista, Paulo, Heygster, Georg, Lubac, Bertrand, Raucoules, Daniel, Luis, Pedro, Bergsma, Erwin, Capo, Sylvain, De Michele, Marcello, Idier, Déborah, Li, Zhen, Marieu, Vincent, Poupardin, Adrien, Silva, Paulo,, Turki, Imen, Laignel, Benoît,",True,,Coastal Flood Frequency,dataset-622
Monitoring Beach Topography and Nearshore Bathymetry Using Spaceborne Remote Sensing: A Review,https://hal-brgm.archives-ouvertes.fr/hal-02413847,"Almeida, Luis Pedro, Salameh, Edward, Frappart, Frédéric, Almar, Rafael, Baptista, Paulo, Heygster, Georg, Lubac, Bertrand, Raucoules, Daniel, Luis, Pedro, Bergsma, Erwin, Capo, Sylvain, De Michele, Marcello, Idier, Déborah, Li, Zhen, Marieu, Vincent, Poupardin, Adrien, Silva, Paulo,, Turki, Imen, Laignel, Benoît,",True,,Coastal Flood Frequency,dataset-622
Modelled Impact of Vegetation Heterogeneity and Salt-Marsh Zonation on Wave Damping,http://library.wur.nl/WebQuery/wurpubs/499184,"Loon-Steensma, van, J.M., Hu, Zhan, Slim, P.A.",False,,Coastal Flood Frequency,dataset-622
"Predicting the Extent of Inundation due to Sea-Level Rise: Al Hamra Development, Ras Al Khaimah, UAE. A Pilot Project",http://www.degruyter.com/view/j/mgrsd.2016.20.issue-2/mgrsd-2016-0012/mgrsd-2016-0012.xml?format=INT,"Arthur Robert M., Garland G. G.",True,Miscellanea Geographica: Regional Studies on Development,Coastal Flood Frequency,dataset-622
Evaluating infrastructure resilience to extreme weather – the case of the Dutch electricity transmission network,https://journals.open.tudelft.nl/index.php/ejtir/article/view/3122,"L. Andrew Bollinger, Gerard P.J. Dijkema",True,European Journal of Transport and Infrastructure Research,Coastal Flood Frequency,dataset-622
"Risks of Coastal Storm Surge and the Effect of Sea Level Rise in the Red River Delta, Vietnam",http://www.mdpi.com/2071-1050/7/6/6553/pdf,"James E. Neumann, Kerry A. Emanuel, Sai Ravela, Lindsay C. Ludwig, Caroleen Verly",True,,Coastal Flood Frequency,dataset-622
"An 11-year validation of wave-surge modelling in the Irish Sea, using a nested POLCOMS-WAM modelling system",http://nora.nerc.ac.uk/id/eprint/9032/,"Brown, Jennifer M., Souza, Alejandro J., Wolf, Judith",True,,Coastal Flood Frequency,dataset-622
Coastal Runoff in the United Arab Emirates—The Hazard and Opportunity,https://www.mdpi.com/2071-1050/11/19/5406,"Khameis Al Abdouli, Khalid Hussein, Dawit Ghebreyesus, Hatim O. Sharif",True,Sustainability,Coastal Flood Frequency,dataset-622
Atlantic hurricane surge response to geoengineering,http://dx.doi.org/10.1073/pnas.1510530112,"Moore, John C., Grinsted, Aslak, Guo, Xiaoran, Yu, Xiaoyong, Jevrejeva, Svetlana, Rinke, Annette, Cui, Xuefeng, Kravitz, Ben, Lenton, Andrew, Watanabe, Shingo, Ji, Duoying",True,,Coastal Flood Frequency,dataset-622
Long term variations of extreme rainfall in Denmark and southern Sweden,https://orbit.dtu.dk/en/publications/long-term-variations-of-extreme-rainfall-in-denmark-and-southern-sweden(af9fd1ea-2989-406c-b784-e49a4623c01b).html,"Gregersen, Ida Bülow, Madsen, Henrik, Rosbjerg, Dan, Arnbjerg-Nielsen, Karsten",True,,Coastal Flood Frequency,dataset-622
Probabilistic storm surge inundation maps for Metro Manila based on Philippine public storm warning signals,http://www.nat-hazards-earth-syst-sci.net/15/557/2015/nhess-15-557-2015.pdf,"J. Tablazon, C. V. Caro, A. M. F. Lagmay, J. B. L. Briones, L. Dasallas, J. P. Lapidez, J. Santiago, J. K. Suarez, C. Ladiero, L. A. Gonzalo, M. T. F. Mungcal, V. Malano",True,Natural Hazards and Earth System Sciences,Coastal Flood Frequency,dataset-622
Stormy Geomorphology: geomorphic contributions in an age of climate extremes,http://dx.doi.org/10.1371/journal.pone.0133409,"Naylor, Larissa A., Spencer, Tom, Lane, Stuart N., Darby, Stephen E., Magilligan, Francis .J., Macklin, Mark G., Möller, Iris",True,,Coastal Flood Frequency,dataset-622
Watershed management strategies for flood mitigation: A case study of Jakarta's flooding,http://www.sciencedirect.com/science/article/pii/S2212094717301421,"Chay Asdak, Sudradjat Supian, Subiyanto",True,Weather and Climate Extremes,Coastal Flood Frequency,dataset-622
Effects of disturbance on vegetation by sand accretion and erosion across coastal dune habitats on a barrier island,http://dx.doi.org/10.1371/journal.pone.0068850,"Miller, Thomas E.",True,AoB Plants,Coastal Flood Frequency,dataset-622
Coastal resilience and late Holocene tidal inlet history : the evolution of Dungeness Foreland and the Romney Marsh depositional complex (U.K.).,http://dro.dur.ac.uk/1253/,"Long, A. J., Waller, M. P., Plater, A. J.",True,,Coastal Flood Frequency,dataset-622
Glider monitoring of shelf suspended particle dynamics and transport during storm and flooding conditions,http://hdl.handle.net/10261/123803,"Bourrin, François, Many, Gaël, Durrieu de Madron, Xavier, Martín, Jacobo, Puig, Pere, Houpert, Loïc, Testor, Pierre, Kunesch, Stéphane, Mahiouz, Karim, Béguery, Laurent",True,Continental Shelf Research 109: 135-149 (2015),Coastal Flood Frequency,dataset-622
"Floristic survey of flowering plants in a tropical coastal ecosystem in Veracruz, Mexico",http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-42982016000100185&lng=en&tlng=en,"Martínez-Adriano, Cristian Adrian, Aguirre-Jaimes, Armando, Díaz-Castelazo, Cecilia",True,,Coastal Flood Frequency,dataset-622
Evaluating infrastructure resilience to extreme weather - the case of the Dutch electricity transmission network,https://www.rug.nl/research/portal/en/publications/evaluating-infrastructure-resilience-to-extreme-weather--the-case-of-the-dutch-electricity-transmission-network(61d1aa4b-847b-483a-ad6a-343b8ebefffe).html,"Bollinger, L.A., Dijkema, G.P.J.",True,,Coastal Flood Frequency,dataset-622
Composition of fish communities in macrotidal salt marshes of the Mont Saint-Michel bay (France),https://hal.archives-ouvertes.fr/hal-00762011/file/Laffaille_6148.pdf,"Laffaille , Pascal, Feunteun , Eric, Lefeuvre , Jean-Claude",True,"Estuarine, Coastal and Shelf Science",Coastal Flood Frequency,dataset-622
Forecasting tidal marsh elevation and habitat change through fusion of Earth observations and a process model,https://doi.org/10.1002/ecs2.1582,"Kristin B. Byrd, Lisamarie Windham‐Myers, Thomas Leeuw, Bryan Downing, James T. Morris, Matthew C. Ferner",True,Ecosphere,Coastal Flood Frequency,dataset-622
"Geo-hydrological risk management for civil protection purposes in the urban area of Genoa (Liguria, NW Italy)",http://www.nat-hazards-earth-syst-sci.net/12/943/2012/nhess-12-943-2012.pdf,"P. Brandolini, A. Cevasco, M. Firpo, A. Robbiano, A. Sacchini",True,Natural Hazards and Earth System Sciences,Coastal Flood Frequency,dataset-622
