dataset,doi,journal,search_term,title,url
dataset-533,10.1016/j.econedurev.2019.04.007,Economics of Education Review,GDP by state,Why Brazil Fell Behind in College Education?,https://doi.org/10.1016/j.econedurev.2019.04.007
"dataset-652, dataset-578",10.1016/j.jedc.2019.103726,Journal of Economic Dynamics and Control,GDP by state,The Quantitative Effects of Tax Foresight: Not All States Are Equal,https://doi.org/10.1016/j.jedc.2019.103726
"dataset-653, dataset-046",10.1017/s1474747218000422,Journal of Pension Economics and Finance,GDP by state,Social security and retirement timing: evidence from a national sample of teachers,https://doi.org/10.1017/s1474747218000422
"dataset-303, dataset-655",10.1016/j.jebo.2019.04.012,Journal of Economic Behavior & Organization,GDP by state,From broken windows to broken bonds: Militarized police and social fragmentation,http://www.usna.edu/EconDept/RePEc/usn/wp/usnawp53.pdf
dataset-656,10.1007/s11205-018-1976-2,Social Indicators Research,GDP by state,The Underemployment-Job Satisfaction Nexus: A Study of Part-Time Employment in Australia,https://doi.org/10.1007/s11205-018-1976-2
"dataset-657, dataset-658",10.1162/rest_a_00830,Review of Economics and Statistics,GDP by state,Heterogeneous Government Spending Multipliers in the Era Surrounding the Great Recession,http://wps-feb.ugent.be/Papers/wp_17_941.pdf
"dataset-659, dataset-619, dataset-480",10.1111/jmcb.12574,Journal of money credit and banking,GDP by state,Temperature and Growth: A Panel Analysis of the United States,https://onlinelibrary.wiley.com/doi/pdf/10.1111/jmcb.12574
"dataset-659, dataset-660, dataset-480",10.1016/j.regsciurbeco.2018.11.008,Regional Science and Urban Economics,GDP by state,The effects of government spending shocks: Evidence from U.S. states,https://www.sciencedirect.com/science/article/pii/S0166046217303915
"dataset-480, dataset-619",10.1016/j.econmod.2018.08.008,Economic Modelling,GDP by state,Convergence of labor productivity across the US states,https://www.sciencedirect.com/science/article/pii/S0264999317312191
"dataset-118, dataset-661, dataset-662, dataset-663, dataset-118, dataset-672, dataset-619",10.1016/j.jeoa.2018.03.006,The Journal of the Economics of Ageing,GDP by state,Long-Term Care Partnerships: Are They Fit for Purpose?,http://eprints.lse.ac.uk/60757/1/Bergquist_CostaFont_Swartz_Long-term-care-partnerships_2015.pdf
dataset-619,10.1080/00213624.2018.1483151,Journal of Economic Issues,GDP by state,"An American-Style Transfer Union in Europe, A First Glance at How Much It Might Cost",https://www.tandfonline.com/doi/full/10.1080/00213624.2018.1483151
