api,doi,title,url,search_term,dataset,valid,pdf
dimensions,10.1080/13504851.2016.1178837,U.S. farm dynamics and the distribution of U.S. agricultural subsidies,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=U.S.%20farm%20dynamics%20and%20the%20distribution%20of%20U.S.%20agricultural%20subsidies,Agricultural Resource Management Survey,"dataset-870,dataset-881",yes,
openaire,10.22004/ag.econ.235954,U.S. Farm Succession Plans and the Process of Transferring Land Ownership,http://dx.doi.org/10.22004/ag.econ.235954,Agricultural Resource Management Survey,"dataset-870,dataset-931",yes,
dimensions,10.1017/aae.2019.36,U.S. Grass-Fed Beef Producers: Goal Structure and Reasons for Enterprise Selection,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=U.S.%20Grass-Fed%20Beef%20Producers%3A%20Goal%20Structure%20and%20Reasons%20for%20Enterprise%20Selection,Agricultural Resource Management Survey,dataset-870,yes,
dimensions,10.2139/ssrn.3304604,"U.S. Rice Production in the New Millennium: Changes in Structure, Practices, and Costs",https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=U.S.%20Rice%20Production%20in%20the%20New%20Millennium%3A%20Changes%20in%20Structure%2C%20Practices%2C%20and%20Costs,Agricultural Resource Management Survey,dataset-870,yes,
openaire,10.22004/ag.econ.262124,"U.S. Wheat Production Practices, Costs, and Yields: Variations Across Regions",http://dx.doi.org/10.22004/ag.econ.262124,Agricultural Resource Management Survey,dataset-870,yes,
dimensions,10.1093/ajae/aas088,Uniqueness of Agricultural Labor Markets,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Uniqueness%20of%20Agricultural%20Labor%20Markets,Agricultural Resource Management Survey,"dataset-870,dataset-881",yes,
dimensions,10.1108/00021461211250483,US farm debt: the role of ARMS,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=US%20farm%20debt%3A%20the%20role%20of%20ARMS,Agricultural Resource Management Survey,dataset-870,yes,
openaire,10.22004/ag.econ.235026,Using Handheld Global Positioning System Receivers for Phase II of the Agricultural Resource Management Survey,http://dx.doi.org/10.22004/ag.econ.235026,Agricultural Resource Management Survey,dataset-870,yes,
openaire,10.22004/ag.econ.235087,Using Respondent Prediction Models to Improve Efficiency of Incentive Allocation,http://dx.doi.org/10.22004/ag.econ.235087,Agricultural Resource Management Survey,"dataset-870,dataset-881",yes,
dimensions,10.1108/00021461211250500,Using sector financial statements and ARMS data to prepare statements of owner equity and cash flows for the agricultural sector,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Using%20sector%20financial%20statements%20and%20ARMS%20data%20to%20prepare%20statements%20of%20owner%20equity%20and%20cash%20flows%20for%20the%20agricultural%20sector,Agricultural Resource Management Survey,dataset-870,yes,
dimensions,10.1371/journal.pone.0109779,Using Uncertainty and Sensitivity Analyses in Socioecological Agent-Based Models to Improve Their Analytical Performance and Policy Relevance,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Using%20Uncertainty%20and%20Sensitivity%20Analyses%20in%20Socioecological%20Agent-Based%20Models%20to%20Improve%20Their%20Analytical%20Performance%20and%20Policy%20Relevance,Agricultural Resource Management Survey,dataset-870,yes,
openaire,10.22004/ag.econ.276685,Variance Estimation With USDA's Farm Costs and Returns Surveys and Agricultural Resource Management Study Surveys.,http://dx.doi.org/10.22004/ag.econ.276685,Agricultural Resource Management Survey,dataset-870,yes,
