title,url,authors,journal,doi,search_term,dataset_id
Land Cover Information from Satellite Image Data as Input to a Danish National Spatial Database,https://pure.au.dk/portal/da/publications/land-cover-information-from-satellite-image-data-as-input-to-a-danish-national-spatial-database(f70f35b0-7e9c-11dd-a5a8-000ea68e967b).html,"Stjernholm, M., Groom, G.",,,National Land Cover Database,dataset-624
CORINE land cover database of the Netherlands: monitoring land cover changes between 1986 and 2000,http://library.wur.nl/WebQuery/wurpubs/335000,"Hazeu, G.W., Wit, de, A.J.W.",,,National Land Cover Database,dataset-624
Evaluating The National Land Cover Database Tree Canopy and Impervious Cover Estimates Across the Conterminous United States: A Comparison with Photo-Interpreted Estimates,http://europepmc.org/articles/PMC2941626,"Nowak, David J., Greenfield, Eric J.",Environmental Management,10.1007/s00267-010-9536-9,National Land Cover Database,dataset-624
Spatial variability in classification accuracy of agricultural crops in the Dutch national land-cover database,http://library.wur.nl/WebQuery/wurpubs/333509,"van Oort, P.A.J., Bregt, A.K., de Bruin, S., de Wit, A.J.W., Stein, A.",,,National Land Cover Database,dataset-624
Overall Methodology Design for the United States National Land Cover Database 2016 Products,http://dx.doi.org/10.3390/rs11242971,"Jin, Suming, Homer, Collin, Yang, Limin, Danielson, Patrick, Dewitz, Jon, Li, Congcong, Zhu, Zhe, Xian, George, Howard, Danny",Remote Sensing,10.3390/rs11242971,National Land Cover Database,dataset-624
Learning-based superresolution land cover mapping,http://eprints.nottingham.ac.uk/32958/1/Feng-IEEE-2.pdf,"Ling, Feng, Zhang, Yihang, Foody, Giles M., Li, Xiaodong, Zhang, Xiuhua, Fang, Shiming, Li, Wenbo, Du, Yun",,10.1109/TGRS.2016.2527841,National Land Cover Database,dataset-624
The managed clearing: An overlooked land-cover type in urbanizing regions?,http://dx.doi.org/10.1371/journal.pone.0192822.t002,"Singh, Kunwar K., Madden, Marguerite, Gray, Josh, Meentemeyer, Ross K.",PLoS ONE,10.1371/journal.pone.0192822,National Land Cover Database,dataset-624
Method of Elaboration of Detailed Existing Land Use (ELU) Map of Poland,https://www.abstr-int-cartogr-assoc.net/1/67/2019/,"Dukaczewski, Dariusz",,10.5194/ica-abs-1-67-2019,National Land Cover Database,dataset-624
"An Experimental Framework for Integrating Citizen and Community Science into Land Cover, Land Use, and Land Change Detection Processes in a National Mapping Agency",http://www.mdpi.com/2073-445X/7/3/103,"OLTEANU-RAIMOND, Ana-Maria, Jolivet, Laurence, Van Damme, Marie-Dominque, Royer, Timothée, Fraval, Ludovic, See, Linda, Sturn, Tobias, Karner, Mathias, Moorthy, Inian, Fritz, Steffen,",Land,10.3390/land7030103,National Land Cover Database,dataset-624
The Multi-Resolution Land Characteristics (MRLC) Consortium — 20 Years of Development and Integration of USA National Land Cover Data,http://dx.doi.org/10.3390/rs6087424,"Wickham, James, Homer, Collin, Vogelmann, James, McKerrow, Alexa, Mueller, Rick, Herold, Nate, Coulston, John",Remote Sensing,10.3390/rs6087424,National Land Cover Database,dataset-624
Differences in land cover interpretation in landscapes rich in cover gradients: reflections based on the montado of South Portugal,http://library.wur.nl/WebQuery/wurpubs/370375,"Doorn, van, A.M., Correia, T.P.",,,National Land Cover Database,dataset-624
Spatial patterns of the United States National Land Cover Dataset (NLCD) land-cover change thematic accuracy (2001–2011),http://dx.doi.org/10.6084/m9.figshare.5711689.v1,"J. Wickham, S. V. Stehman, C. G. Homer",,10.6084/m9.figshare.5711689.v1,National Land Cover Database,dataset-624
Spatial patterns of the United States National Land Cover Dataset (NLCD) land-cover change thematic accuracy (2001–2011),http://europepmc.org/articles/PMC5906816,"Wickham, J., Stehman, S. V., Homer, C. G.",International journal of remote sensing,10.1080/01431161.2017.1410298,National Land Cover Database,dataset-624
Spatial patterns of the United States National Land Cover Dataset (NLCD) land-cover change thematic accuracy (2001–2011),http://dx.doi.org/10.6084/m9.figshare.5711689,"J. Wickham, S. V. Stehman, C. G. Homer",,10.6084/m9.figshare.5711689,National Land Cover Database,dataset-624
Thematic accuracy assessment of the 2011 National Land Cover Database (NLCD),https://europepmc.org/articles/PMC6657805/,"Wickham, James, Stehman, Stephen V., Gass, Leila, Dewitz, Jon A., Sorenson, Daniel G., Granneman, Brian J., Poss, Richard V., Baer, Lori A.",,10.1016/j.rse.2016.12.026,National Land Cover Database,dataset-624
A comprehensive change detection method for updating the National Land Cover Database to circa 2011,http://dx.doi.org/10.1016/j.rse.2013.01.012,"Jin, Suming, Yang, Limin, Danielson, Patrick, Homer, Collin, Fry, Joyce, Xian, George",,10.1016/j.rse.2013.01.012,National Land Cover Database,dataset-624
Cartographic aspects of land cover change detection (over- and underestimation in the I&CORINE Land Cover 2000 project),http://library.wur.nl/WebQuery/wurpubs/353767,"Feranec, J., Hazeu, G.W., Jaffrain, G., Cebecauer, T.",,,National Land Cover Database,dataset-624
Developing a dataset to assess ecosystem services in the Midwest United States,https://zenodo.org/record/1234501,"Mehaffey, Megan, Van Remortel, Rick, Smith, Elizabeth, Bruins, Randy",,10.1080/13658816.2010.497148,National Land Cover Database,dataset-624
An Assessment of the Cultivated Cropland Class of NLCD 2006 Using a Multi-Source and Multi-Criteria Approach,http://www.mdpi.com/2072-4292/8/2/101,"Patrick Danielson, Limin Yang, Suming Jin, Collin Homer, Darrell Napton",Remote Sensing,10.3390/rs8020101,National Land Cover Database,dataset-624
Spatial distribution of heathlands in the north-western part of Poland (Pomerania District),http://repozytorium.umk.pl/handle/item/2223,"Kunz, Mieczysław, Nienartowicz, Andrzej",,10.12775/v10090-010-0009-9,National Land Cover Database,dataset-624
Spatio-Temporal Super-Resolution Land Cover Mapping Based on Fuzzy C-Means Clustering,http://dx.doi.org/10.3390/rs10081212,"Yang, Xiaohong, Xie, Zhong, Ling, Feng, Li, Xiaodong, Zhang, Yihang, Zhong, Ming",Remote Sensing,10.3390/rs10081212,National Land Cover Database,dataset-624
SEMI AUTOMATED LAND COVER LAYER UPDATING PROCESS UTILIZING SPECTRAL ANALYSIS AND GIS DATA FUSION,https://doaj.org/toc/2194-9034,"Cohen, L., Keinan, E., Yaniv, M., Tal, Y., Felus, A., Regev, R.",The International Archives of the Photogrammetry,10.5194/isprs-archives-XLII-3-229-2018,National Land Cover Database,dataset-624
