dataset,dataset_string,dataset_title,doi,journal,title,notes
dataset-370,SESTAT,Survey of Earned Doctorates,10.1016/j.jbvi.2019.e00131,Journal of Business Venturing Insights,Are transitions to self-employment beneficial?,
dataset-370,SESTAT,Survey of Earned Doctorates,10.1177/0019793918819809,ILR Review,Academic Entrepreneurship: The Bayh-Dole Act versus the Professorâ€™s Privilege,
dataset-370,SESTAT,Survey of Earned Doctorates,10.1073/pnas.1820079116,Proceedings of the National Academy of Sciences,Why foreign STEM PhDs are unlikely to work for US technology startups,
dataset-370,SESTAT,Survey of Earned Doctorates,10.1093/scipol/scz039,Science and Public Policy,"Investigating the US biomedical workforce: gender, field of training, and retention",
dataset-370,SESTAT,Survey of Earned Doctorates,10.1080/17421772.2019.1636127,Spatial Economic Analysis,"On the nexus between innovation, productivity and migration of US university graduates",
dataset-370,SESTAT,Survey of Earned Doctorates,10.1002/jee.20284,Journal of Engineering Education,Investigation of an equity ethic in engineering and computing doctoral students,
dataset-370,SESTAT,Survey of Earned Doctorates,10.1177/0091552119850321,Community College Review,A National Study of the Influence of the Community College Pathway on Female Studentsâ€™ STEM Baccalaureate Success,
dataset-370,SESTAT,Survey of Earned Doctorates,10.1007/s00181-019-01721-5,Empirical Economics,The impact of the H-1B cap exemption on Ph.D. labor markets,
dataset-370,SESTAT,Survey of Earned Doctorates,10.1080/17477778.2019.1620650,Journal of Simulation,Simulation of the leaky pipeline: Gender diversity in U.S. K-graduate education,
dataset-370,SESTAT,Survey of Earned Doctorates,10.1016/j.respol.2019.01.005,Research Policy,Does scientist immigration harm US science? An examination of the knowledge spillover channel,
dataset-370,SESTAT,Survey of Earned Doctorates,10.1073/pnas.1810862116,Proceedings of the National Academy of Sciences,The changing career trajectories of new parents in STEM,
dataset-370,SESTAT,Survey of Earned Doctorates,10.1177/1523422318814550,Advances in Developing Human Resources,The Socialization of STEM Professionals Into STEM Careers: A Study of Newly Hired Engineers,
dataset-370,SESTAT,Survey of Earned Doctorates,10.1016/j.respol.2018.08.004,Research Policy,National health innovation systems: Clustering the OECD countries by innovative output in healthcare using a multi indicator approach,
dataset-370,Survey of Earned Doctorates,Survey of Earned Doctorates,10.1080/03075079.2019.1672648,Studies in Higher Education,Does employment during doctoral training reduce the PhD completion rate?,
dataset-370,Survey of Earned Doctorates,Survey of Earned Doctorates,10.1080/09645292.2019.1623177,Education Economics,Are high-quality PhD programs at universities associated with more undergraduate students pursuing PhD study?,
dataset-370,Survey of Earned Doctorates,Survey of Earned Doctorates,10.1002/he.20332,New Directions for Higher Education,"Rationale for Cocreating a Community for Underrepresented Minorities in Science, Technology, Engineering, and Math: An Indigenous Paradigm",
dataset-370,Survey of Earned Doctorates,Survey of Earned Doctorates,10.1002/he.20337,New Directions for Higher Education,"Designing and Implementing an Indigenous Mentoring Program for Faculty Who Mentor AI/AN Students in STEM Fields: Process, Outcomes, and Lessons Learned",
dataset-370,Survey of Earned Doctorates,Survey of Earned Doctorates,10.1002/he.20331,New Directions for Higher Education,Editorsâ€™ Notes,
dataset-370,Survey of Earned Doctorates,Survey of Earned Doctorates,10.1080/10437797.2019.1656576,Journal of Social Work Education,BPD Emerging Leaders 2010â€“2016: Identifying and Responding to the Need for New Academic Leadership,
dataset-370,Survey of Earned Doctorates,Survey of Earned Doctorates,10.1007/s11162-019-09573-9,Research in Higher Education,"Tenure and Promotion Outcomes at Four Large Land Grant Universities: Examining the Role of Gender, Race, and Academic Discipline",
dataset-370,Survey of Earned Doctorates,Survey of Earned Doctorates,10.5860/crln.64.1.70,College & Research Libraries News,Fast Facts,
dataset-370,Survey of Earned Doctorates,Survey of Earned Doctorates,10.5860/crln.63.10.718,College & Research Libraries News,"NEW REALITIES, NEW RELATIONSHIPS: The double life of the college campus: Striking a balance between reality and expectations",
dataset-370,Survey of Earned Doctorates,Survey of Earned Doctorates,10.1111/emip.12284,Educational Measurement Issues and Practice,An Analysis of College Choice Information Provided on Graduate Program Websites: Implications for Improving Applicant Diversity in Educational Measurement,
dataset-370,Survey of Earned Doctorates,Survey of Earned Doctorates,10.1007/s12108-019-09421-4,The American Sociologist,"Academic Familism, Spillover Prestige and Gender Segregation in Sociology Subfields: The Trajectory of Economic Sociology",
