title,journal,authors,doi,search_term,dataset_id
A method for regional estimation of climate change exposure of coastal infrastructure: Case of USVI and the influence of digital elevation models on assessments.,The Science of the total environment,"Bove, Gerald, Becker, Austin, Sweeney, Benjamin, Vousdoukas, Michalis, Kulp, Scott",10.1016/j.scitotenv.2019.136162,Sea Level Rise Inundation,dataset-610
Groundwater salinization and associated co-contamination risk increase severe drinking water vulnerabilities in the southwestern coast of Bangladesh.,Chemosphere,"Rakib, M A, Sasaki, Jun, Matsuda, Hirotaka, Quraishi, Shamshad B, Mahmud, Md Juel, Bodrud-Doza, Md, Ullah, A K M Atique, Fatema, Konica J, Newaz, Md Asif, Bhuiyan, Mohammad A H",10.1016/j.chemosphere.2019.125646,Sea Level Rise Inundation,dataset-610
"{'sub': ['2', '4'], '#text': '[Effect of Increasing Tidewater Inundation on Porewater Geochemistries and CO and CH Effluxes in the Tidal Freshwater Marshes of the Minjiang River Estuary, Southeast China].'}",Huan jing ke xue= Huanjing kexue,"Li, Jing, Huang, Jia-Fang, Luo, Min, Liu, Yu-Xiu, Tan, Ji, Zhu, Ai-Ju, Wang, Sheng-Yu, Tong, Chuan",10.13227/j.hjkx.201905214,Sea Level Rise Inundation,dataset-610
Transgressivity in Key Functional Traits Rather Than Phenotypic Plasticity Promotes Stress Tolerance in A Hybrid Cordgrass.,"Plants (Basel, Switzerland)","Gallego-Tévar, Blanca, Grewell, Brenda J, Drenovsky, Rebecca E, Castillo, Jesús M",10.3390/plants8120594,Sea Level Rise Inundation,dataset-610
Global characterization factors for terrestrial biodiversity impacts of future land inundation in Life Cycle Assessment.,The Science of the total environment,"Dorber, Martin, Kuipers, Koen, Verones, Francesca",10.1016/j.scitotenv.2019.134582,Sea Level Rise Inundation,dataset-610
Sensitivity of mangrove soil organic matter decay to warming and sea level change.,Global change biology,"Arnaud, Marie, Baird, Andy J, Morris, Paul J, Dang, Thuong Huyen, Nguyen, Tai Tue",10.1111/gcb.14931,Sea Level Rise Inundation,dataset-610
"Interactive effects of salinity and inundation on native Spartina foliosa, invasive S. densiflora, and their hybrid from San Francisco Estuary, California.",Annals of botany,"Gallego-Tévar, Blanca, Grewell, Brenda J, Futrell, Caryn J, Drenovsky, Rebecca E, Castillo, Jesús M",10.1093/aob/mcz170,Sea Level Rise Inundation,dataset-610
Synthesized trade-off analysis of flood control solutions under future deep uncertainty: An application to the central business district of Shanghai.,Water research,"Hu, Hengzhi, Tian, Zhan, Sun, Laixiang, Wen, Jiahong, Liang, Zhuoran, Dong, Guangtao, Liu, Junguo",10.1016/j.watres.2019.115067,Sea Level Rise Inundation,dataset-610
"Trait and density responses of Spartina alterniflora to inundation in the Yellow River Delta, China.",Marine pollution bulletin,"Ma, Xu, Yan, Jiaguo, Wang, Fangfang, Qiu, Dongdong, Jiang, Xingpei, Liu, Zezheng, Sui, Haochen, Bai, Junhong, Cui, Baoshan",10.1016/j.marpolbul.2019.07.022,Sea Level Rise Inundation,dataset-610
"Impact of sea level change on coastal soil organic matter, priming effects and prokaryotic community assembly.",FEMS microbiology ecology,"Dinter, Thomas, Geihser, Simone, Gube, Matthias, Daniel, Rolf, Kuzyakov, Yakov",10.1093/femsec/fiz129,Sea Level Rise Inundation,dataset-610
Chronic but not acute saltwater intrusion leads to large release of inorganic N in a tidal freshwater marsh.,The Science of the total environment,"Widney, Sarah E, Smith, Dontrece, Herbert, Ellen R, Schubauer-Berigan, Joseph P, Li, Fan, Pennings, Steven C, Craft, Christopher B",10.1016/j.scitotenv.2019.133779,Sea Level Rise Inundation,dataset-610
