dataset,doi,journal,search_term,title
dataset-067,10.1007/978-981-32-9026-6_5,,Department of Public Instruction,"Schooling ‘Truant’ Tribes: British Colonial Compulsions and Educational Evolution in Chhotanagpur, 1870–1930"
dataset-067,10.1007/978-3-030-23447-8_2,,Department of Public Instruction,Putting America’s First Empire on the Map: American Early Efforts to Map the Philippine Islands
dataset-067,10.1007/978-3-030-11866-2,,Department of Public Instruction,"Women in Industrial and Systems Engineering, Key Advances and Perspectives on Emerging Topics"
dataset-067,10.1007/978-3-030-23447-8,,Department of Public Instruction,"Mapping Empires: Colonial Cartographies of Land and Sea, 7th International Symposium of the ICA Commission on the History of Cartography, 2018"
dataset-067,10.1007/978-3-030-11866-2_11,,Department of Public Instruction,"To Be Healthy, Wealthy, and Wise: Using Decision Modeling to Personalize Policy in Health, Hunger Relief, and Education"
dataset-067,10.1007/978-981-32-9026-6,,Department of Public Instruction,"Tribal Studies in India, Perspectives of History, Archaeology and Culture"
dataset-067,10.3102/0034654319877151,"{'id': 'jour.1067169', 'title': 'Review of Educational Research'}",Department of Public Instruction,Rethinking the School Closure Research: School Closure as Spatial Injustice
dataset-067,10.1002/tea.21558,"{'id': 'jour.1052317', 'title': 'Journal of Research in Science Teaching'}",Department of Public Instruction,Understanding the role cumulative exposure to highly qualified science teachers plays in students' educational pathways
dataset-067,10.1007/s12310-019-09317-1,"{'id': 'jour.1040546', 'title': 'School Mental Health'}",Department of Public Instruction,Child Maltreatment Knowledge and Responses Among Teachers: A Training Needs Assessment
dataset-067,10.1002/pits.22297,"{'id': 'jour.1005546', 'title': 'Psychology in the Schools'}",Department of Public Instruction,A case example of one state's efforts to measure and address the critical shortage of school psychologists
dataset-067,10.1089/aut.2019.0024,"{'id': 'jour.1321469', 'title': 'Autism in Adulthood'}",Department of Public Instruction,Life Is a Stage: Autistic Perspectives on Neurotypicality
dataset-067,10.1080/00220272.2019.1683233,"{'id': 'jour.1137846', 'title': 'Journal of Curriculum Studies'}",Department of Public Instruction,Understanding literacy adoption policies across contexts: a multi-state examination of literacy curriculum decision-making
dataset-067,10.1001/jamanetworkopen.2019.14522,"{'id': 'jour.1321825', 'title': 'JAMA Network Open'}",Department of Public Instruction,Effect of a Community Agency–Administered Nurse Home Visitation Program on Program Use and Maternal and Infant Health Outcomes
dataset-067,10.1377/hlthaff.2019.00446,"{'id': 'jour.1093948', 'title': 'Health Affairs'}",Department of Public Instruction,"Measles, Mumps, And Communion: A Vision For Vaccine Policy"
dataset-067,10.1111/ppe.12588,"{'id': 'jour.1097335', 'title': 'Paediatric and Perinatal Epidemiology'}",Department of Public Instruction,"Gestational age, kindergarten‐level literacy, and effect modification by maternal socio‐economic and demographic factors"
dataset-067,10.1007/s10803-019-04190-y,"{'id': 'jour.1054668', 'title': 'Journal of Autism and Developmental Disorders'}",Department of Public Instruction,Social Validity and Teachers’ Use of Evidence-Based Practices for Autism
dataset-067,10.1007/s10833-019-09346-2,"{'id': 'jour.1136644', 'title': 'Journal of Educational Change'}",Department of Public Instruction,District agency in implementing instructional reform: A comparative case study of global education
dataset-067,10.1016/j.envres.2019.108643,"{'id': 'jour.1009554', 'title': 'Environmental Research'}",Department of Public Instruction,Early childhood lead exposure and the persistence of educational consequences into adolescence
dataset-067,10.1002/tea.21551,"{'id': 'jour.1052317', 'title': 'Journal of Research in Science Teaching'}",Department of Public Instruction,Representations of nature of science in U.S. science standards: A historical account with contemporary implications
dataset-067,10.1177/2167702619859336,"{'id': 'jour.1047977', 'title': 'Clinical Psychological Science'}",Department of Public Instruction,Young Adolescents’ Digital Technology Use and Mental Health Symptoms: Little Evidence of Longitudinal or Daily Linkages
