citation,title,author,pubDate,doi,pubId,pubType,journal,host,link,filename,filename_txt,dataName,dataset,,
"Dong, D., H. Stewart, E. Frazao, A. Carlson, and J. Hyman. WIC Household Food Purchases Using WIC Benefits or Paying Out of Pocket: A Case Study of Cold Cereal Purchases, Economic Research Report No. 207, USDA, ERS, May 2016.",WIC Households' Food Purchases Using WIC Benefits and Paying Out of Pocket: A Case Study of Cold Cereal Purchases,Dong,5/5/16,http://www.ers.usda.gov/publications/pub-details/?pubid=45536,,ERS,,,http://www.ers.usda.gov/publications/pub-details/?pubid=45536,ers-45536.pdf,ers-45536.txt,National Household Food Acquisition and Purchase Survey (FoodAPS),10375,,
,USDA's National Household Food Acquisition and Purchase Survey: Methodology for Imputing Missing Quantities To Calculate Healthy Eating Index-2010 Scores and Sort Foods Into ERS Food Groups,Mancino,1/31/18,https://www.ers.usda.gov/publications/pub-details/?pubid=87012,TB-1947,ERS,,,https://ageconsearch.umn.edu/record/276252/files/TB-1947.pdf,TB-1947.pdf,TB-1947.txt,National Household Food Acquisition and Purchase Survey (FoodAPS),10375,,“www.doi.org” & “ “
"Mancino, L., J. Guthrie, and D.R. Just. ""Overview: Exploring Ways to Encourage Healthier Food Purchases by Low-Income ConsumersLessons from Behavioral Economics and Marketing,"" Food Policy, Vol. 79, August 2018",Overview: Exploring ways to encourage healthier food purchases by low-income consumers‚ Lessons from behavioral economics and marketing,,,10.1016/j.foodpol.2018.03.007,,Journal,Food Policy,,https://api.elsevier.com/content/article/PII:S0306919218301222?httpAccept=application/pdf&APIKey=7ff2a9eacaeec4ab00d57e3784c42a3f,10.1016_j.foodpol.2018.03.007.pdf,10.1016_j.foodpol.2018.03.007.txt,National Household Food Acquisition and Purchase Survey (FoodAPS),10375,,
"Mancino, L., and J. Guthrie. Supermarkets, Schools, and Social Gatherings: Where Supplemental Nutrition Assistance Program and Other U.S. Households Acquire Their Foods Correlates With Nutritional Quality, Amber Waves, USDA, ERS, February 2018.","Supermarkets, Schools, and Social Gatherings: Where Supplemental Nutrition Assistance Program and Other U.S. Households Acquire Their Foods Correlates With Nutritional Quality",,,https://www.ers.usda.gov/amber-waves/2018/januaryfebruary/supermarkets-schools-and-social-gatherings-where-supplemental-nutrition-assistance-program-and-other-us-households-acquire-their-foods-correlates-with-nutritional-quality/,,ERS,,,https://www.ers.usda.gov/amber-waves/2018/januaryfebruary/supermarkets-schools-and-social-gatherings-where-supplemental-nutrition-assistance-program-and-other-us-households-acquire-their-foods-correlates-with-nutritional-quality/,,,National Household Food Acquisition and Purchase Survey (FoodAPS),10375,,
"Mancino, L., J. Guthrie, M. Ver Ploeg, and B-H. Lin. Nutritional Quality of Foods Acquired by Americans: Findings From USDAs National Household Food Acquisition and Purchase Survey, EIB-188, USDA, ERS, February 2018.",Nutritional Quality of Foods Acquired by Americans: Findings From USDA‚Äôs National Household Food Acquisition and Purchase Survey,,,https://www.ers.usda.gov/publications/pub-details/?pubid=87530,,ERS,,,https://www.ers.usda.gov/publications/pub-details/?pubid=87530,ers-87530.pdf,ers-87530.txt,National Household Food Acquisition and Purchase Survey (FoodAPS),10375,,
"Rahkovsky, I., Y. Jo, and A. Carlson, ""Consumers Balance Time and Money in Purchasing Convenience Foods,"" ERR-251, USDA, ERS, June 2018.",Consumers Balance Time and Money in Purchasing Convenience Foods,,,https://www.ers.usda.gov/publications/pub-details/?pubid=89343,,ERS,,,https://www.ers.usda.gov/publications/pub-details/?pubid=89343,ers-89343.pdf,ers-89343.txt,National Household Food Acquisition and Purchase Survey (FoodAPS),10375,,
"Todd, J.E., and B. Scharadin. Where Households Get Food in a Typical Week: Findings From USDAs FoodAPS, EIB-156, USD, ERS, July 2016.",Where Households Get Food in a Typical Week: Findings From USDA‚Äôs FoodAPS,,,https://www.ers.usda.gov/publications/pub-details/?pubid=80541,,ERS,,,https://www.ers.usda.gov/publications/pub-details/?pubid=80541,ers-80541.pdf,ers-80541.txt,National Household Food Acquisition and Purchase Survey (FoodAPS),10375,,
"Todd, J.E., L. Tiehen, and D.M. Clay. USDAs FoodAPS: Providing Insights Into U.S. Food Demand and Food Assistance Programs, Amber Waves, USDA, ERS, Aug. 16, 2017.",USDA FoodAPS: Providing Insights Into U.S. Food Demand and Food Assistance Programs,,,https://www.ers.usda.gov/amber-waves/2017/august/usda-s-foodaps-providing-insights-into-us-food-demand-and-food-assistance-programs/,,ERS,,,https://www.ers.usda.gov/amber-waves/2017/august/usda-s-foodaps-providing-insights-into-us-food-demand-and-food-assistance-programs/,,,National Household Food Acquisition and Purchase Survey (FoodAPS),10375,,
"Ver Ploeg, M., and P.E. Wilde. ""How Do Food Retail Choices Vary Within and Between Food Retail Environments?,"" Food Policy, Vol. 79, August 2018",How do food retail choices vary within and between food retail environments?,,,10.1016/j.foodpol.2018.03.005,,Journal,Food Policy,,https://api.elsevier.com/content/article/PII:S0306919218301283?httpAccept=application/pdf&APIKey=7ff2a9eacaeec4ab00d57e3784c42a3f,10.1016_j.foodpol.2018.03.005.pdf,10.1016_j.foodpol.2018.03.005.txt,National Household Food Acquisition and Purchase Survey (FoodAPS),10375,,
"Ver Ploeg, M., L. Mancino, J. Todd, D. Clay, and B. Scharadin. Where Do Americans Usually Shop for Food and How Do They Travel To Get There? Initial Findings from the National Household Food Acquisition and Purchase Survey, Economic Information Bulletin No. 138, USDA, ERS, March 2015.",Where Do Americans Usually Shop for Food and How Do They Travel To Get There? Initial Findings from the National Household Food Acquisition and Purchase Survey,,,https://www.ers.usda.gov/publications/pub-details/?pubid=79791,,ERS,,,https://www.ers.usda.gov/publications/pub-details/?pubid=79791,ers-79791.pdf,ers-79791.txt,National Household Food Acquisition and Purchase Survey (FoodAPS),10375,,
"Whiteman, E.D., B.W. Chrisinger, and A. Hillier. ""Diet Quality Over the Monthly Supplemental Nutrition Assistance Program Cycle,"" Medicine, Vol. 55, Issue 2, August 2018",Diet Quality Over the Monthly Supplemental Nutrition Assistance Program Cycle,,,10.1016/j.amepre.2018.04.027,,Journal,American Journal of Preventive Medicine,,https://api.elsevier.com/content/article/PII:S0749379718317343?httpAccept=application/pdf&APIKey=7ff2a9eacaeec4ab00d57e3784c42a3f,10.1016_j.amepre.2018.04.027.pdf,10.1016_j.amepre.2018.04.027.txt,National Household Food Acquisition and Purchase Survey (FoodAPS),10375,,
"Wilde, P., A. Steiner, and M. Ver Ploeg. ""For Low-Income Americans, Living Less Than 1 Mile (less than 1.6 km) from the Nearest Supermarket Is Not Associated with Self-Reported Household Food Security,"" Current Developments in Nutrition, Vol. 1, Issue 11, November 2017","For Low-Income Americans, Living 1 Mile (1.6 km) from the Nearest Supermarket Is Not Associated with Self-Reported Household Food Security",,,10.3945/cdn.117.001446,,Journal,Current Developments in Nutrition,,https://syndication.highwire.org/content/doi/10.3945/cdn.117.001446,,,National Household Food Acquisition and Purchase Survey (FoodAPS),10375,,
"Jeffrey Dorfman, Christian Gregory, Zhongyuan Liu, and Ran Huo, 2018, Re-Examining the SNAP Benefit Cycle Allowing for Heterogeneity, Applied Economic Perspectives and Policy (2018)",Re-Examining the SNAP Benefit Cycle Allowing for Heterogeneity,"Jeffrey Dorfman, Christian Gregory, Zhongyuan Liu, and Ran Huo",2018,10.1093/aepp/ppy013,,Journal,Applied Economic Perspectives and Policy (2018),,http://academic.oup.com/aepp/advance-article-pdf/doi/10.1093/aepp/ppy013/24969578/ppy013.pdf,10.1093_aepp_ppy013.pdf,10.1093_aepp_ppy013.txt,National Household Food Acquisition and Purchase Survey (FoodAPS),10375,,
"Christian Gregory and Travis A. Smith, 2018, Salience, Food Security, and SNAP Receipt, Journal of Policy Analysis and Management (2018) vol. 38, no. 1: 124-154","Salience, Food Security, and SNAP Receipt",Christian Gregory and Travis A. Smith,2018,10.1002/pam.22093,,Journal,"Journal of Policy Analysis and Management (2018) vol. 38, no. 1: 124-154",,https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1002%2Fpam.22093,10.1002_pam.22093.pdf,10.1002_pam.22093.txt,National Household Food Acquisition and Purchase Survey (FoodAPS),10375,,
"Rebecca Boehma, Parke E.Wilde, Michele Ver Ploeg, Christine Costello, and Sean B. Cash, 2018, A Comprehensive Life Cycle Assessment of Greenhouse Gas Emissions from U.S. Household Food Choices, Food Policy (2018) vol. 79: 67-76",A Comprehensive Life Cycle Assessment of Greenhouse Gas Emissions from U.S. Household Food Choices,"Rebecca Boehma, Parke E.Wilde, Michele Ver Ploeg, Christine Costello, and Sean B. Cash",2018,10.1016/j.foodpol.2018.05.004,,Journal,Food Policy (2018) vol. 79: 67-76,,https://api.elsevier.com/content/article/PII:S0306919217310552?httpAccept=application/pdf&APIKey=7ff2a9eacaeec4ab00d57e3784c42a3f,10.1016_j.foodpol.2018.05.004.pdf,10.1016_j.foodpol.2018.05.004.txt,National Household Food Acquisition and Purchase Survey (FoodAPS),10375,,
"Erik Scherpf and Benjamin Cerf, 2018, Local Labor Demand and Program Participation Dynamics: Evidence from New York SNAP Administrative Records, Journal of Policy Analysis and Management (2019)",Local Labor Demand and Program Participation Dynamics: Evidence from New York SNAP Administrative Records,Erik Scherpf and Benjamin Cerf,2018,10.1002/pam.22113,,Journal,Journal of Policy Analysis and Management (2019),,www.doi.org10.1002/pam.22113,,,SNAP Admin data,10384,,
"Annemarie Kuhns, Andrea Leschewski and Dave Weatherspoon, 2018, Household Acquisition of Health Food Away from Home, British Food Journal, vol, 120, no. 3: 588-601",Household acquisition of healthy food away from home,"Annemarie Kuhns, Andrea Leschewski and Dave Weatherspoon",2018,10.1108/BFJ-07-2017-0372,,Journal,"British Food Journal, vol, 120, no. 3: 588-601",,http://www.emeraldinsight.com/doi/full-xml/10.1108/BFJ-07-2017-0372,10.1108_BFJ-07-2017-0372.pdf,10.1108_BFJ-07-2017-0372.txt,National Household Food Acquisition and Purchase Survey (FoodAPS),10375,,
"Hayden Stewart and Diansheng Dong, 2018, How Strong is the Demand for Food through Direct-to-Consumer Outlets?, Food Policy (2018), Volume 79, August 2018, Pages 35-43",How strong is the demand for food through direct-to-consumer outlets?,Hayden Stewart and Diansheng Dong,2018,10.1016/j.foodpol.2018.04.010,,Journal,"Food Policy (2018), Volume 79, August 2018, Pages 35-43",,https://api.elsevier.com/content/article/PII:S0306919216303542?httpAccept=application/pdf&APIKey=7ff2a9eacaeec4ab00d57e3784c42a3f,10.1016_j.foodpol.2018.04.010.pdf,10.1016_j.foodpol.2018.04.010.txt,National Household Food Acquisition and Purchase Survey (FoodAPS),10375,,
"Hayden Stewart, Patrick W. McLaughlin, Diansheng Dong, and Elizabeth Frazo, 2018, WIC Households Bread and Cold Cereal Purchases: When They Use Benefits versus Paying Out of Pocket, American Journal of Public Health",WIC Households‚Äô Bread and Cold Cereal Purchases: When They Use Benefits Versus Paying Out of Pocket,"Hayden Stewart, Patrick W. McLaughlin, Diansheng Dong, and Elizabeth Frazo",2018,10.1177/0890117118778243,,Journal,American Journal of Public Health,,http://journals.sagepub.com/doi/pdf/10.1177/0890117118778243,10.1177_0890117118778243.pdf,10.1177_0890117118778243.txt,National Household Food Acquisition and Purchase Survey (FoodAPS),10375,,
"Tim Beatty, Marianne Bitler, Xinzhe Cheng, and Cynthia van der Werf, 2019, SNAP and Paycheck Cycles, Southern Economic Journal",SNAP and Paycheck Cycles,"Tim Beatty, Marianne Bitler, Xinzhe Cheng, and Cynthia van der Werf",2019,10.3386/w25635,,Journal,Southern Economic Journal,,www.doi.org10.3386/w25635,,,National Household Food Acquisition and Purchase Survey (FoodAPS),10375,,
