dataset,doi,journal,search_term,title,url
dataset-051,10.1111/ecca.12324,Economica,Eating and Health Module,Unemployment and Effort at Work,https://www.doi.org/10.1111/ecca.12324
dataset-051,10.1016/j.dhjo.2019.01.011,Disability and Health Journal,Eating and Health Module,"Disability, Self-Rated Health, and Time Seeking Medical Care",https://www.doi.org/10.1016/j.dhjo.2019.01.011
dataset-051,10.1007/s11150-018-9403-7,Review of Economics of the Household,Eating and Health Module,Estimating dual headed time in food production with implications for SNAP benefit adequacy,https://www.doi.org/10.1007/s11150-018-9403-7
dataset-051,10.1016/j.whi.2018.10.002,Women's Health Issues,Eating and Health Module,The Role of Time Use Behaviors in the Risk of Obesity among Low-Income Mothers,https://www.doi.org/10.1016/j.whi.2018.10.002
dataset-051,10.1002/oby.22261,Obesity,Eating and Health Module,Low‐Calorie Sweeteners: Exploring Underutilized Database Resources to Understand Dietary Patterns and Obesity,https://www.doi.org/10.1002/oby.22261
dataset-051,10.1016/j.physbeh.2018.05.021,Physiology & Behavior,Eating and Health Module,An introduction to an international conference on “The pace of life and feeding: Health implications”,https://www.doi.org/10.1016/j.physbeh.2018.05.021
dataset-051,10.2139/ssrn.3170334,SSRN Electronic Journal,Eating and Health Module,A Reconsideration of the Sugar Sweetened Beverage Tax in a Household Production Model,https://www.doi.org/10.2139/ssrn.3170334
dataset-051,10.1016/j.appet.2017.03.032,Appetite,Eating and Health Module,"Deconstructing family meals: Do family structure, gender and employment status influence the odds of having a family meal?",https://www.doi.org/10.1016/j.appet.2017.03.032
dataset-051,10.1007/s11150-014-9258-5,Review of Economics of the Household,Eating and Health Module,Time in eating and food preparation among single adults,https://www.doi.org/10.1007/s11150-014-9258-5
dataset-051,10.4278/ajhp.140509-quan-198,American Journal of Health Promotion,Eating and Health Module,New Pathways From Short Sleep to Obesity? Associations Between Short Sleep and “Secondary” Eating and Drinking Behavior,https://www.doi.org/10.4278/ajhp.140509-quan-198
dataset-051,10.1186/s40172-016-0041-0,IZA Journal of Labor Economics,Eating and Health Module,What happens when the definition of disability changes? The case of obesity,https://www.doi.org/10.1186/s40172-016-0041-0
dataset-051,10.14485/hbpr.3.6.9,Health Behavior and Policy Review,Eating and Health Module,Adolescents' Characteristics Associated with Item Nonresponse on BMI Questions,https://www.doi.org/10.14485/hbpr.3.6.9
dataset-051,10.1080/15528014.2016.1243766,Food Culture & Society,Eating and Health Module,"Food for Thought: A Comparative Analysis of Eating Behavior in the United States, Poland, and Armenia",https://www.doi.org/10.1080/15528014.2016.1243766
dataset-051,10.1002/oby.21596,Obesity,Eating and Health Module,Relationships between time use and obesity in a representative sample of Americans,https://www.doi.org/10.1002/oby.21596
dataset-051,10.1371/journal.pone.0158422,PLoS ONE,Eating and Health Module,SNAP Participants’ Eating Patterns over the Benefit Month: A Time Use Perspective,https://www.doi.org/10.1371/journal.pone.0158422
dataset-051,10.1007/s11150-014-9267-4,Review of Economics of the Household,Eating and Health Module,The connection between working hours and body mass index in the U.S.: a time use analysis,https://www.doi.org/10.1007/s11150-014-9267-4
dataset-051,10.3141/2598-05,Transportation Research Record Journal of the Transportation Research Board,Eating and Health Module,Multimodal Transportation Choices and Health: Exploratory Analysis Using Data Fusion Techniques,https://www.doi.org/10.3141/2598-05
dataset-051,10.1057/9781137381446_7,,Eating and Health Module,Do Americans Eat Meals Anymore or Do They Just Snack?,https://www.doi.org/10.1057/9781137381446_7
dataset-051,10.1353/cpr.2016.0050,"{'id': 'jour.1036837', 'title': 'Progress in Community Health Partnerships Research Education and Action'}",Eating and Health Module,Comparing Lay Community and Academic Survey Center Interviewers in Conducting Household Interviews in Latino Communities,https://www.doi.org/10.1353/cpr.2016.0050
dataset-051,10.1057/9781137381446,,Eating and Health Module,The Economics of Multitasking,https://www.doi.org/10.1057/9781137381446
