datasets,doi,journal,search_term,title,url,valid?,notes,pdf
dataset-621,10.1016/j.atmosres.2019.104801,Atmospheric Research,ISD,Aircraft observed diurnal variations of the planetary boundary layer under heat waves,,Yes,,https://www.sciencedirect.com/science/article/pii/S0169809519311305/pdfft?md5=6649a4e660c51f2b408aed3288ff1d23&pid=1-s2.0-S0169809519311305-main.pdf
dataset-621,10.1016/j.inffus.2019.10.003,Information Fusion,ISD,"Ringing Artifacts in Wavelet Based Image Fusion: Analysis, Measurement and Remedies",,No,Matched math formula,
dataset-621,10.1016/j.ijmecsci.2019.105334,International Journal of Mechanical Sciences,ISD,A theoretical analysis on the active structural acoustical control of a vibration isolation system with a coupled plate-shell foundation,,No,Matched similar unrelated acronym,
dataset-621,10.1016/j.soildyn.2019.105998,Soil Dynamics and Earthquake Engineering,ISD,Effect of frequency dependence of large mass ratio viscoelastic tuned mass damper on seismic performance of structures,,No,Matched similar unrelated acronym,
dataset-621,10.1016/j.renene.2019.09.072,Renewable Energy,ISD,"Influence of drying methods on the thermodynamic parameters, effective moisture diffusion and drying rate of wastewater sewage sludge",,No,Matched similar unrelated acronym,
dataset-621,10.1016/j.renene.2019.09.018,Renewable Energy,ISD,"Thermal performance of a passive, mixed-type solar dryer for tomato slices (Solanum lycopersicum)",,No,Matched similar unrelated acronym,
dataset-621,10.1002/9781119236306.ch13,5G Technology: 3GPP New Radio,ISD,5G Modem Design Challenges,,No,Matched similar unrelated acronym,
dataset-621,10.1088/1361-6528/ab5274,Nanotechnology,ISD,Functionalized single-walled carbon-nanotube-blended P3HT-based high performance memory behavior thin-film transistor devices,,No,Matched math formula,
dataset-621,10.1016/j.phycom.2019.100971,Physical Communication,ISD,Adjustable threshold LAS massive MIMO detection under imperfect CSI and spatial correlation,,No,Matched similar unrelated acronym,
dataset-621,10.1016/j.commatsci.2019.109418,Computational Materials Science,ISD,Simulation of coarsening in two-phase systems with dissimilar mobilities,,No,Matched similar unrelated acronym,
dataset-621,10.1109/tie.2019.2891466,IEEE Transactions on Industrial Electronics,ISD,A Complete Switching Analytical Model of Low-Voltage eGaN HEMTs and Its Application in Loss Analysis,,No,Matched math formula,
dataset-621,10.1016/j.neuroimage.2019.116430,NeuroImage,ISD,Stroop task performance across the lifespan: High cognitive reserve in older age is associated with enhanced proactive and reactive interference control,,No,Matched similar unrelated acronym,
dataset-621,10.1016/j.ins.2019.09.030,Information Sciences,ISD,Using Low-Density Parity-Check Codes to Improve the McEliece Cryptosystem,,No,Matched similar unrelated acronym,
dataset-621,10.1016/j.bioelechem.2019.107395,Bioelectrochemistry,ISD,Effect of electrode spacing on electron transfer and conductivity of Geobacter sulfurreducens biofilms,,No,Matched math formula,
dataset-621,10.1016/j.wneu.2019.10.048,World Neurosurgery,ISD,Cortical spreading depression in the setting of traumatic brain injury,,No,Couldn't find search term,
dataset-621,10.1016/j.energy.2019.116697,Energy,ISD,Drying of Untreated Musa nendra and Momordica charantia in a Forced Convection Solar Cabinet Dryer with Thermal Storage,,No,Matched similar unrelated acronym,
dataset-621,10.1146/annurev-pharmtox-010919-023508,The Annual Review of Pharmacology and Toxicology,ISD,Addressing the Challenge of Polypharmacy,,No,Matched similar unrelated acronym,
dataset-621,10.1016/j.ymssp.2019.106370,Mechanical Systems and Signal Processing,ISD,On-line estimation of road profile in semi-active suspension based on unsprung mass acceleration,,No,Couldn't find search term,
dataset-621,10.1016/j.jobe.2019.100972,Journal of Building Engineering,ISD,"An early-stage analysis of climate-adaptive designs for multi-family buildings under future climate scenario: Case studies in Rome, Italy and Stockholm, Sweden",,No,Matched similar unrelated acronym,
dataset-621,10.1016/j.ssci.2019.08.031,Safety Science,ISD,"From clapham junction to macondo, deepwater horizon: Risk and safety management in high-tech-high-hazard sectors A review of English and Dutch literature: 1988–2010",,No,Matched similar unrelated acronym,
dataset-621,10.1016/j.renene.2019.07.083,Renewable Energy,ISD,Modeling and comparative analysis of solar drying behavior of potatoes,,No,Matched similar unrelated acronym,
dataset-621,10.1016/j.earscirev.2019.102986,Earth-Science Reviews,ISD,Review of aerosol optical depth retrieval using visibility data,,No,Referenced study used dataset,
dataset-621,10.1016/j.jsames.2019.102375,Journal of South American Earth Sciences,ISD,Earthquake potential in Costa Rica using three scenarios for the central Costa Rica deformed belt as western boundary of the Panama microplate,,No,Matched similar unrelated acronym,
dataset-621,10.1016/j.comnet.2019.106948,Computer Networks,ISD,Coordinated Multi-Cell Cooperation with User Centric Dynamic Coordination Station,,No,Matched similar unrelated acronym,
dataset-621,10.1016/j.bios.2019.111766,Biosensors and Bioelectronics,ISD,Detection of a secreted protein biomarker for citrus Huanglongbing using a single-walled carbon nanotubes-based chemiresistive biosensor,,No,Matched math formula,
dataset-621,10.1016/j.jns.2019.116581,Journal of the Neurological Sciences,ISD,Radiological markers of idiopathic normal pressure hydrocephalus: Relative comparison of their diagnostic performance,,No,Matched similar unrelated acronym,
