api,doi,title,url,search_term,dataset,valid,pdf
dimensions,10.2139/ssrn.267533,"Gender Differences in Salary and Promotion for Faculty in the Humanities, 1977-95",https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Gender%20Differences%20in%20Salary%20and%20Promotion%20for%20Faculty%20in%20the%20Humanities%2C%201977-95,Donna Ginther Survey of Doctorate Recipients,dataset-371,Yes,https://www.econstor.eu/bitstream/10419/100759/1/wp2001-07.pdf
dimensions,10.3390/socsci6010024,Gender Differences in the Early Employment Outcomes of STEM Doctorates,https://doi.org/10.3390/socsci6010024,Paula Stephan Survey of Doctorate Recipients,"dataset-371, dataset-443",Yes,
dimensions,10.1023/a:1018882711314,Gender Differences in the Rewards to Publishing in Academe: Science in the 1970s,https://doi.org/10.1023/a:1018882711314,Paula Stephan Survey of Doctorate Recipients,"dataset-370, dataset-371",Yes,https://link.springer.com/content/pdf/10.1023/A:1018882711314.pdf
dimensions,10.1177/030631291021002007,Inequality in Scientific Performance: Adjustment for Attribution and Journal Impact,https://doi.org/10.1177/030631291021002007,Paula Stephan Survey of Doctorate Recipients,"dataset-371, dataset-942",Yes,
dimensions,10.2139/ssrn.2609014,​International Careers of Researchers in Biomedical Sciences: A Comparison of the US and the UK,https://doi.org/10.2139/ssrn.2609014,Paula Stephan Survey of Doctorate Recipients,dataset-371,Yes,
dimensions,10.1002/ir.20020,"International Faculty in American Universities: Experiences of Academic Life, Productivity, and Career Mobility",https://doi.org/10.1002/ir.20020,Lisa Wolf-Wendel Survey of Doctorate Recipients,dataset-371,Yes,
dimensions,10.2139/ssrn.3371469,International Students and Labor Market Outcomes of US Natives,https://doi.org/10.2139/ssrn.3371469,Paula Stephan Survey of Doctorate Recipients,"dataset-370, dataset-371, dataset-046, dataset-448, dataset-952",Yes,
dimensions,10.1177/0270467602239767,Is MIT an Exception? Gender Pay Differences in Academic Science,https://doi.org/10.1177/0270467602239767,Donna Ginther Survey of Doctorate Recipients,dataset-371,Yes,
dimensions,10.1177/0002716211416925,Keeping Women in the Science Pipeline,https://doi.org/10.1177/0002716211416925,Lisa Wolf-Wendel Survey of Doctorate Recipients,dataset-371,Yes,
dimensions,10.1007/s10961-005-2583-3,Leaving Careers in IT: Gender Differences in Retention,https://doi.org/10.1007/s10961-005-2583-3,Paula Stephan Survey of Doctorate Recipients,dataset-951,Yes,
dimensions,10.1007/s10961-006-7206-0,Measuring Occupational Sex Segregation of Academic Science and Engineering,https://doi.org/10.1007/s10961-006-7206-0,Lisa Frehill Survey of Doctorate Recipients,dataset-953,Yes,
dimensions,10.2139/ssrn.2105554,Mobility Decisions of European Doctoral Researchers,https://doi.org/10.2139/ssrn.2105554,Paula Stephan Survey of Doctorate Recipients,dataset-370,Yes,https://poseidon01.ssrn.com/delivery.php?ID=181125084069126083078082064076001102058072042046063057112098124078113109076114003120122000107031046015105125070118098113097003042046087039083103120119110076023025048011010003031030122026104072004101006086125100117121105116091007017075066095020113087&EXT=pdf
dimensions,10.1023/a:1007856800497,Patenting and Invention Activity of U.S. Scientists and Engineers in the Academic Sector: Comparisons with Industry,https://doi.org/10.1023/a:1007856800497,Paula Stephan Survey of Doctorate Recipients,"dataset-370, dataset-371, dataset-951",Yes,
dimensions,10.2139/ssrn.2443564,Reaping What Bush Sowed?,https://doi.org/10.2139/ssrn.2443564,Paula Stephan Survey of Doctorate Recipients,dataset-370,Yes,https://poseidon01.ssrn.com/delivery.php?ID=709021124002093090087101108016122125051054034003088001030111064123087077074084022026039118010062037125043100107098006019127028112085069038022026023097025106126022003016005064085099019015024082015013116000001125117097119076090103101093094001114067102&EXT=pdf
dimensions,10.1162/daed.2009.138.1.124,Recent trends in funding for the academic humanities & their implications,https://doi.org/10.1162/daed.2009.138.1.124,Paula Stephan Survey of Doctorate Recipients,dataset-370,Yes,
openaire,,Research Productivity over the Life Cycle: Evidence for Academic Scientists.,http://links.jstor.org/sici?sici=0002-8282%28199103%2981%3A1%3C114%3ARPOTLC%3E2.0.CO%3B2-P&origin=repec,Paula Stephan Survey of Doctorate Recipients,dataset-371,Yes,https://www.jstor.org/stable/pdf/2006790.pdf?refreqid=excelsior%3A50b362602a042cba839ead1d00033e05
