datasets,doi,journal,search_term,title,url,pdf
"dataset-612, dataset-664",10.1016/j.atmosres.2019.104790,Atmospheric Research,Next Generation Weather Radar,Improvement of aerosol activation/ice nucleation in a source-oriented WRF-Chem model to study a winter Storm in California,https://www.sciencedirect.com/science/article/pii/S0169809519303795,
dataset-612,10.1186/s13638-019-1465-6,EURASIP Journal on Wireless Communications and Networking,Next Generation Weather Radar,Study on reflectivity data interpolation and mosaics for multiple Doppler weather radars,https://jwcn-eurasipjournals.springeropen.com/articles/10.1186/s13638-019-1465-6,
"dataset-612, dataset-665",10.1175/mwr-d-19-0068.1,Monthly Weather Review,Next Generation Weather Radar,Observational study of the thermodynamics and morphological characteristics of a midlatitude continental cold pool event Observational study of the thermodynamics and morphological characteristics of a midlatitude continental cold pool event,https://www.google.com/search?newwindow=1&ei=pHYTXtjABIrb5gL3-5K4AQ&q=Observational+study+of+the+thermodynamics+and+morphological+characteristics+of+a+midlatitude+continental+cold+pool+event+Observational+study+of+the+thermodynamics+and+morphological+characteristics+of+a+midlatitude+continental+cold+pool+event&oq=Observational+study+of+the+thermodynamics+and+morphological+characteristics+of+a+midlatitude+continental+cold+pool+event+Observational+study+of+the+thermodynamics+and+morphological+characteristics+of+a+midlatitude+continental+cold+pool+event&gs_l=psy-ab.3...288629.288629..289379...0.0..0.81.146.2......0....2j1..gws-wiz.UfkHl3nW3U4&ved=0ahUKEwjYosTox-_mAhWKrVkKHfe9BBcQ4dUDCAs&uact=5,https://www.google.com/search?newwindow=1&ei=pHYTXtjABIrb5gL3-5K4AQ&q=Observational+study+of+the+thermodynamics+and+morphological+characteristics+of+a+midlatitude+continental+cold+pool+event+Observational+study+of+the+thermodynamics+and+morphological+characteristics+of+a+midlatitude+continental+cold+pool+event&oq=Observational+study+of+the+thermodynamics+and+morphological+characteristics+of+a+midlatitude+continental+cold+pool+event+Observational+study+of+the+thermodynamics+and+morphological+characteristics+of+a+midlatitude+continental+cold+pool+event&gs_l=psy-ab.3...288629.288629..289379...0.0..0.81.146.2......0....2j1..gws-wiz.UfkHl3nW3U4&ved=0ahUKEwjYosTox-_mAhWKrVkKHfe9BBcQ4dUDCAs&uact=5
"dataset-612, dataset-666",10.1175/jamc-d-19-0099.1,Journal of Applied Meteorology and Climatology,Next Generation Weather Radar,"A composite analysis of snowfall modes from four winter seasons in Marquette, Michigan A composite analysis of snowfall modes from four winter seasons in Marquette, Michigan",https://journals.ametsoc.org/doi/pdf/10.1175/JAMC-D-19-0099.1,https://journals.ametsoc.org/doi/pdf/10.1175/JAMC-D-19-0099.1
"dataset-612, dataset-667",10.1002/qj.3611,Quarterly Journal of the Royal Meteorological Society,Next Generation Weather Radar,Investigating the GPM Dual‐frequency Precipitation Radar signatures of low‐level precipitation enhancement,https://rmets.onlinelibrary.wiley.com/doi/full/10.1002/qj.3611,
dataset-612,10.1029/2018wr024447,Water Resources Research,Next Generation Weather Radar,Reward‐Based Participant Management for Crowdsourcing Rainfall Monitoring: An Agent‐Based Model Simulation,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2018WR024447,
"dataset-612, dataset-614, dataset-668",10.1016/j.ocemod.2019.101408,Ocean Modelling,Next Generation Weather Radar,Relevance of wind stress and wave-dependent ocean surface roughness on the generation of winter meteotsunamis in the Northern Gulf of Mexico,https://www.sciencedirect.com/science/article/pii/S1463500318303202,
"dataset-612, dataset-668, dataset-669",10.1029/2018ms001595,Journal of Advances in Modeling Earth Systems,Next Generation Weather Radar,Lessons Learned From Modeling Irrigation From Field to Regional Scales,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2018MS001595,
dataset-612,10.1007/s10661-019-7542-9,Environmental Monitoring and Assessment,Next Generation Weather Radar,Estimating the daily pollen concentration in the atmosphere using machine learning and NEXRAD weather radar data,https://link.springer.com/article/10.1007%2Fs10661-019-7542-9,
dataset-612,10.1175/jas-d-18-0168.1,Journal of the Atmospheric Sciences,Next Generation Weather Radar,The importance of the ice-phase microphysics parameterization for simulating the effects of changes to CCN concentrations in deep convection The importance of the ice-phase microphysics parameterization for simulating the effects of changes to CCN concentrations in deep convection,https://journals.ametsoc.org/doi/full/10.1175/JAS-D-18-0168.1,
dataset-612,10.1109/jstars.2019.2916372,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,Next Generation Weather Radar,Exploiting Tropospheric Measurements From Sun-Tracking Radiometer for Radiopropagation Models at Centimeter and Millimeter Wave,https://ieeexplore.ieee.org/document/8758150,
"dataset-612, dataset-670",10.1111/ecog.04028,Ecography,Next Generation Weather Radar,bioRad: biological analysis and visualization of weather radar data,https://onlinelibrary.wiley.com/doi/pdf/10.1111/ecog.04028,
"dataset-612, dataset-671",10.1175/jamc-d-18-0247.1,Journal of Applied Meteorology and Climatology,Next Generation Weather Radar,Severe Hail Fall and Hail Storm Detection using Remote Sensing Observations Severe Hail Fall and Hail Storm Detection using Remote Sensing Observations,https://journals.ametsoc.org/doi/full/10.1175/JAMC-D-18-0247.1,
dataset-612,10.1007/s13143-018-0066-3,Asia-Pacific Journal of Atmospheric Sciences,Next Generation Weather Radar,Development of a Single-Moment Cloud Microphysics Scheme with Prognostic Hail for the Weather Research and Forecasting (WRF) Model,https://link.springer.com/article/10.1007/s13143-018-0066-3,
dataset-612,10.1029/2018wr023857,Water Resources Research,Next Generation Weather Radar,"Fast Bayesian Regression Kriging Method for Real‐Time Merging of Radar, Rain Gauge, and Crowdsourced Rainfall Data",https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2018WR023857,
