title,journal,authors,doi,search_term,dataset_id
Regional coral disease outbreak overwhelms impacts from a local dredge project.,Environmental monitoring and assessment,"Gintert, Brooke E, Precht, William F, Fura, Ryan, Rogers, Kristian, Rice, Mike, Precht, Lindsey L, D'Alessandro, Martine, Croop, Jason, Vilmar, Christina, Robbart, Martha L",10.1007/s10661-019-7767-7,Coastal Change Analysis Program Data,dataset-623
The impact of anthropogenic food subsidies on a generalist seabird during nestling growth.,The Science of the total environment,"Lenzi, Javier, González-Bergonzoni, Iván, Machín, Emanuel, Pijanowski, Bryan, Flaherty, Elizabeth",10.1016/j.scitotenv.2019.05.485,Coastal Change Analysis Program Data,dataset-623
Development of an autonomous biosampler to capture in situ aquatic microbiomes.,PloS one,"Ribeiro, Hugo, Martins, Alfredo, Gonçalves, Marco, Guedes, Maurício, Tomasino, Maria Paola, Dias, Nuno, Dias, André, Mucha, Ana Paula, Carvalho, Maria F, Almeida, C Marisa R, Ramos, Sandra, Almeida, José Miguel, Silva, Eduardo, Magalhães, Catarina",10.1371/journal.pone.0216882,Coastal Change Analysis Program Data,dataset-623
Spatial Bayesian Network for predicting sea level rise induced coastal erosion in a small Pacific Island.,Journal of environmental management,"Sahin, Oz, Stewart, Rodney A, Faivre, Gaelle, Ware, Dan, Tomlinson, Rodger, Mackey, Brendan",10.1016/j.jenvman.2019.03.008,Coastal Change Analysis Program Data,dataset-623
"Potential impacts of climate-related decline of seafood harvest on nutritional status of coastal First Nations in British Columbia, Canada.",PloS one,"Marushka, Lesya, Kenny, Tiff-Annie, Batal, Malek, Cheung, William W L, Fediuk, Karen, Golden, Christopher D, Salomon, Anne K, Sadik, Tonio, Weatherdon, Lauren V, Chan, Hing Man",10.1371/journal.pone.0211473,Coastal Change Analysis Program Data,dataset-623
"The interactive effects of stratospheric ozone depletion, UV radiation, and climate change on aquatic ecosystems.",Photochemical & photobiological sciences : Official journal of the European Photochemistry Association and the European Society for Photobiology,"Williamson, Craig E, Neale, Patrick J, Hylander, Samuel, Rose, Kevin C, Figueroa, Félix L, Robinson, Sharon A, Häder, Donat-P, Wängberg, Sten-Åke, Worrest, Robert C",10.1039/c8pp90062k,Coastal Change Analysis Program Data,dataset-623
Tropicalization of the barrier islands of the northern Gulf of Mexico: A comparison of herbivory and decomposition rates between smooth cordgrass (Spartina alterniflora) and black mangrove (Avicennia germinans).,PloS one,"Macy, Aaron, Sharma, Shailesh, Sparks, Eric, Goff, Josh, Heck, Kenneth L, Johnson, Matthew W, Harper, Patric, Cebrian, Just",10.1371/journal.pone.0210144,Coastal Change Analysis Program Data,dataset-623
"Effects of exercise interventions on cardiovascular health in individuals with chronic, motor complete spinal cord injury: protocol for a randomised controlled trial [Cardiovascular Health/Outcomes: Improvements Created by Exercise and education in SCI (CHOICES) Study].",BMJ open,"Krassioukov, Andrei V, Currie, Katharine D, Hubli, Michèle, Nightingale, Tom E, Alrashidi, Abdullah A, Ramer, Leanne, Eng, Janice J, Ginis, Kathleen A Martin, MacDonald, Maureen J, Hicks, Audrey, Ditor, Dave, Oh, Paul, Verrier, Molly C, Craven, Beverly Catharine",10.1136/bmjopen-2018-023540,Coastal Change Analysis Program Data,dataset-623
Metabarcoding successfully tracks temporal changes in eukaryotic communities in coastal sediments.,FEMS microbiology ecology,"Salonen, I S, Chronopoulou, P-M, Leskinen, E, Koho, K A",10.1093/femsec/fiy226,Coastal Change Analysis Program Data,dataset-623
Prioritizing conserved areas threatened by wildfire and fragmentation for monitoring and management.,PloS one,"Tracey, Jeff A, Rochester, Carlton J, Hathaway, Stacie A, Preston, Kristine L, Syphard, Alexandra D, Vandergast, Amy G, Diffendorfer, Jay E, Franklin, Janet, MacKenzie, Jason B, Oberbauer, Tomas A, Tremor, Scott, Winchell, Clark S, Fisher, Robert N",10.1371/journal.pone.0200203,Coastal Change Analysis Program Data,dataset-623
