api,doi,title,url,search_term,dataset,valid,pdf,notes
pubmed,10.1016/j.jenvman.2018.07.052,Water use conflict between wetland and agriculture.,https://www.ncbi.nlm.nih.gov/pubmed/30036808,Agricultural Resource Management Survey,dataset-870,no,,
openaire,10.7892/boris.133962,Water: A Scarce Resource in Rural Watersheds of Nepal’s Middle Mountains,https://boris.unibe.ch/133962/,Agricultural Resource Management Survey,dataset-870,no,,
openaire,10.22004/ag.econ.16537,WATERSHED DEVELOPMENT PROJECTS IN INDIA: AN EVALUATION,http://dx.doi.org/10.22004/ag.econ.16537,Agricultural Resource Management Survey,dataset-870,no,,
openaire,10.1515/sab-2015-0025,Ways of Human Resource Branding in Czech Agricultural Companies,http://www.degruyter.com/view/j/sab.2015.46.issue-3/sab-2015-0025/sab-2015-0025.xml?format=INT,Agricultural Resource Management Survey,dataset-870,no,,
openaire,10.22004/ag.econ.55705,Welfare Decomposition in the Context of the Life Cycle of Farm Operators: What Does a National Survey Reveal?,http://dx.doi.org/10.22004/ag.econ.55705,Agricultural Resource Management Survey,dataset-870,yes,,
openaire,,Welfare Decomposition in the Context of the Life Cycle of Farm Operators: What Does a National Survey Reveal?,http://purl.umn.edu/55705,Agricultural Resource Management Survey,dataset-870,duped,,
dimensions,10.1111/agec.12003,Welfare implications of reduced government subsidies to farm families: accounting for fringe benefits,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Welfare%20implications%20of%20reduced%20government%20subsidies%20to%20farm%20families%3A%20accounting%20for%20fringe%20benefits,Agricultural Resource Management Survey,dataset-870,yes,,
pubmed,10.1371/journal.pone.0117600,What actually confers adaptive capacity? Insights from agro-climatic vulnerability of Australian wheat.,https://www.ncbi.nlm.nih.gov/pubmed/25668192,Agricultural Resource Management Survey,dataset-870,no,,
openaire,10.2307/1243668,What Are the AAEA Meetings Worth?,http://hdl.handle.net/10.2307/1243668,Agricultural Resource Management Survey,dataset-870,no,,
pubmed,10.1016/j.watres.2018.07.006,What do consumers think about recycling human urine as fertiliser? Perceptions and attitudes of a university community in South India.,https://www.ncbi.nlm.nih.gov/pubmed/30007256,Agricultural Resource Management Survey,dataset-870,no,,
dimensions,10.1002/ps.4598,What do farmers' weed control decisions imply about glyphosate resistance? Evidence from surveys of US corn fields,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=What%20do%20farmers%27%20weed%20control%20decisions%20imply%20about%20glyphosate%20resistance%3F%20Evidence%20from%20surveys%20of%20US%20corn%20fields,Agricultural Resource Management Survey,dataset-870,yes,,
pubmed,10.1021/acs.est.8b03504,What Goes Up Must Come Down: Integrating Air and Water Quality Monitoring for Nutrients.,https://www.ncbi.nlm.nih.gov/pubmed/30230820,Agricultural Resource Management Survey,dataset-870,no,,
dimensions,10.1108/afr-02-2013-0007,What is driving economic and financial success of US cow-calf operations?,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=What%20is%20driving%20economic%20and%20financial%20success%20of%20US%20cow-calf%20operations%3F,Agricultural Resource Management Survey,dataset-870,yes,,
pubmed,10.1371/currents.dis.71d34082943fa239dbfbf9597232c8a5,What's the Big Deal? Responder Experiences of Large Animal Rescue in Australia.,https://www.ncbi.nlm.nih.gov/pubmed/25685637,Agricultural Resource Management Survey,dataset-870,no,,
pubmed,10.1007/s00267-017-0849-9,"Which Factors Contribute to Environmental Behaviour of Landowners in Southwestern Ontario, Canada?",https://www.ncbi.nlm.nih.gov/pubmed/28331969,Agricultural Resource Management Survey,dataset-870,no,,
pubmed,10.3390/ijerph16173159,"Who Are the Beneficiaries of China's New Rural Pension Scheme? Sons, Daughters, or Parents?",https://www.ncbi.nlm.nih.gov/pubmed/31470658,Agricultural Resource Management Survey,dataset-870,no,,
openaire,10.1093/ajae/aas171,Who Does Dot Respond to the Agricultural Resource Management Survey and Does It Matter?,http://hdl.handle.net/10.1093/ajae/aas171,Agricultural Resource Management Survey,"dataset-870,dataset-881",yes,,
dimensions,10.1093/ajae/aas171,Who Does Dot Respond to the Agricultural Resource Management Survey and Does It Matter?,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Who%20Does%20Dot%20Respond%20to%20the%20Agricultural%20Resource%20Management%20Survey%20and%20Does%20It%20Matter%3F,Agricultural Resource Management Survey,dataset-870,duped,,
openaire,10.22004/ag.econ.42489,"Who knows, Who Cares?: Determinants of Enactment, Awareness and Compliance With Community Natural Resource Management Bylaws in Uganda",http://dx.doi.org/10.22004/ag.econ.42489,Agricultural Resource Management Survey,dataset-870,no,,
dimensions,10.1093/ajae/aaw022,Who Really Benefits from Agricultural Subsidies? Evidence from Field‐level Data,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Who%20Really%20Benefits%20from%20Agricultural%20Subsidies%3F%20Evidence%20from%20Field%E2%80%90level%20Data,Agricultural Resource Management Survey,dataset-870,yes,,
pubmed,10.1186/s40249-017-0309-z,Why more research needs to be done on echinococcosis in Pakistan.,https://www.ncbi.nlm.nih.gov/pubmed/28669350,Agricultural Resource Management Survey,dataset-870,no,,
pubmed,10.1007/s00267-018-1046-1,Willingness to Pay for Conservation of Transborder Migratory Species: A Case Study of the Mexican Free-Tailed Bat in the United States and Mexico.,https://www.ncbi.nlm.nih.gov/pubmed/29732478,Agricultural Resource Management Survey,dataset-870,no,,
pubmed,,Women and work in Kerala: a comparison of the 1981 and 1991 censuses.,https://www.ncbi.nlm.nih.gov/pubmed/12321347,Agricultural Resource Management Survey,dataset-870,no,,
pubmed,,"Women, health and population policies.",https://www.ncbi.nlm.nih.gov/pubmed/12293764,Agricultural Resource Management Survey,dataset-870,no,,
pubmed,,"Women's independent access to productive resources: fish ponds in the Oxbow Lakes Project, Bangladesh.",https://www.ncbi.nlm.nih.gov/pubmed/12179931,Agricultural Resource Management Survey,dataset-870,no,,
pubmed,10.1186/s12905-019-0871-6,"Work-family balance and the subjective well-being of rural women in Sichuan, China.",https://www.ncbi.nlm.nih.gov/pubmed/31898500,Agricultural Resource Management Survey,dataset-870,no,,
pubmed,10.1080/1059924X.2016.1179612,Work-Related Musculoskeletal Symptoms and Job Factors Among Large-Herd Dairy Milkers.,https://www.ncbi.nlm.nih.gov/pubmed/27092590,Agricultural Resource Management Survey,dataset-870,no,,
dimensions,10.2139/ssrn.2502872,Working the Land with 10 Acres: Small Acreage Farming in the United States,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Working%20the%20Land%20with%2010%20Acres%3A%20Small%20Acreage%20Farming%20in%20the%20United%20States,Agricultural Resource Management Survey,dataset-870,maybe,,signin wall
pubmed,10.1007/s00127-015-1162-7,Workplace and security stressors and mental health among migrant workers on the Thailand-Myanmar border.,https://www.ncbi.nlm.nih.gov/pubmed/26661796,Agricultural Resource Management Survey,dataset-870,no,,
pubmed,,"World population growth, family planning, and American foreign policy.",https://www.ncbi.nlm.nih.gov/pubmed/12346346,Agricultural Resource Management Survey,dataset-870,no,,
