title,journal,authors,doi,search_term,dataset_id
"{'i': 'Aedes aegypti', '#text': 'Geographic shifts in the bioclimatic suitability for  under climate change scenarios in Colombia.'}",Heliyon,"Portilla Cabrera, Cristiam Victoriano, Selvaraj, John Josephraj",10.1016/j.heliyon.2019.e03101,Shuttle Radar Topography Mission,dataset-646
Envisat MERIS and Sentinel-3 OLCI satellite lake biophysical water quality flag dataset for the contiguous United States.,Data in brief,"Urquhart, Erin A, Schaeffer, Blake A",10.1016/j.dib.2019.104826,Shuttle Radar Topography Mission,dataset-646
Flow accumulation based method for the identification of erosion risk points in unpaved roads.,Environmental monitoring and assessment,"Almeida, Rherison Tyrone Silva, Griebeler, Nori Paulo, de Oliveira, Max Well Rabelo, Botelho, Thiago Henrique Arbués, Moreira, Alisson Neves Harmyans",10.1007/s10661-019-7949-3,Shuttle Radar Topography Mission,dataset-646
Delineation of high resolution climate regions over the Korean Peninsula using machine learning approaches.,PloS one,"Park, Sumin, Park, Haemi, Im, Jungho, Yoo, Cheolhee, Rhee, Jinyoung, Lee, Byungdoo, Kwon, ChunGeun",10.1371/journal.pone.0223362,Shuttle Radar Topography Mission,dataset-646
Malaria around large dams in Africa: effect of environmental and transmission endemicity factors.,Malaria journal,"Kibret, Solomon, Lautze, Jonathan, McCartney, Matthew, Nhamo, Luxon, Yan, Guiyun",10.1186/s12936-019-2933-5,Shuttle Radar Topography Mission,dataset-646
Difference and cause analysis of water storage changes for glacier-fed and non-glacier-fed lakes on the Tibetan Plateau.,The Science of the total environment,"Qiao, Baojin, Zhu, Liping",10.1016/j.scitotenv.2019.07.205,Shuttle Radar Topography Mission,dataset-646
Towards connecting biodiversity and geodiversity across scales with satellite remote sensing.,Global ecology and biogeography : a journal of macroecology,"Zarnetske, Phoebe L, Read, Quentin D, Record, Sydne, Gaddis, Keith D, Pau, Stephanie, Hobi, Martina L, Malone, Sparkle L, Costanza, Jennifer, M Dahlin, Kyla, Latimer, Andrew M, Wilson, Adam M, Grady, John M, Ollinger, Scott V, Finley, Andrew O",10.1111/geb.12887,Shuttle Radar Topography Mission,dataset-646
"GFPLAIN250m, a global high-resolution dataset of Earth's floodplains.",Scientific data,"Nardi, F, Annis, A, Di Baldassarre, G, Vivoni, E R, Grimaldi, S",10.1038/sdata.2018.309,Shuttle Radar Topography Mission,dataset-646
"The development of an overlay model to predict soil salinity risks by using remote sensing and GIS techniques: a case study in soils around Idku Lake, Egypt.",Environmental monitoring and assessment,"Abou Samra, Rasha M, Ali, R R",10.1007/s10661-018-7079-3,Shuttle Radar Topography Mission,dataset-646
"Data on comparative studies of lineaments extraction from ASTER DEM, SRTM, and Cartosat for Jilledubanderu River basin, Anantapur district, A.P, India by using remote sensing and GIS.",Data in brief,"Rajasekhar, M, Raju, G Sudarsana, Raju, R Siddi, Ramachandra, M, Kumar, B Pradeep",10.1016/j.dib.2018.09.023,Shuttle Radar Topography Mission,dataset-646
"A geospatial database of drought occurrence in inland valleys in Mali, Burkina Faso and Nigeria.",Data in brief,"Dossou-Yovo, Elliott R, Kouyaté, Amadou M, Sawadogo, Tasséré, Ouédraogo, Ibrahima, Bakare, Oladele S, Zwart, Sander J",10.1016/j.dib.2018.06.105,Shuttle Radar Topography Mission,dataset-646
Suitability of open-access elevation models for micro-scale watershed planning.,Environmental monitoring and assessment,"Altunel,Arif Oguz",10.1007/s10661-018-6890-1,Shuttle Radar Topography Mission,dataset-646
"Potential tsunami risk assessment to the city of Alexandria, Egypt.",Environmental monitoring and assessment,"El-Hattab, Mamdouh M, Mohamed, Soha A, El Raey, M",10.1007/s10661-018-6876-z,Shuttle Radar Topography Mission,dataset-646
InSAR Baseline Estimation for Gaofen-3 Real-Time DEM Generation.,"Sensors (Basel, Switzerland)","Lu, Huan, Suo, Zhiyong, Li, Zhenfang, Xie, Jinwei, Zhao, Jiwei, Zhang, Qingjun",10.3390/s18072152,Shuttle Radar Topography Mission,dataset-646
"Mapping malaria risk using geographic information systems and remote sensing: The case of Bahir Dar City, Ethiopia.",Geospatial health,"Minale, Amare Sewnet, Alemu, Kalkidan",10.4081/gh.2018.660,Shuttle Radar Topography Mission,dataset-646
Towards the Crowdsourcing of Massive Smartphone Assisted-GPS Sensor Ground Observations for the Production of Digital Terrain Models.,"Sensors (Basel, Switzerland)","Massad, Ido, Dalyot, Sagi",10.3390/s18030898,Shuttle Radar Topography Mission,dataset-646
Physical evolution of the Three Gorges Reservoir using advanced SVM on Landsat images and SRTM DEM data.,Environmental science and pollution research international,"Zhang, Jing, Li, Siyue, Dong, Ruozhu, Jiang, Changsheng",10.1007/s11356-018-1696-9,Shuttle Radar Topography Mission,dataset-646
Shoreline change and potential sea level rise impacts in a climate hazardous location in southeast coast of India.,Environmental monitoring and assessment,"Jayanthi, Marappan, Thirumurthy, Selvasekar, Samynathan, Muthusamy, Duraisamy, Muthusamy, Muralidhar, Moturi, Ashokkumar, Jangam, Vijayan, Koyadan Kizhakkedath",10.1007/s10661-017-6426-0,Shuttle Radar Topography Mission,dataset-646
A New Method to Estimate Changes in Glacier Surface Elevation Based on Polynomial Fitting of Sparse ICESat-GLAS Footprints.,"Sensors (Basel, Switzerland)","Huang, Tianjin, Jia, Li, Menenti, Massimo, Lu, Jing, Zhou, Jie, Hu, Guangcheng",10.3390/s17081803,Shuttle Radar Topography Mission,dataset-646
Uncertainties in the Shuttle Radar Topography Mission (SRTM) Heights: Insights from the Indian Himalaya and Peninsula.,Scientific reports,"Mukul, Manas, Srivastava, Vinee, Jade, Sridevi, Mukul, Malay",10.1038/srep41672,Shuttle Radar Topography Mission,dataset-646
"Flood prevention dams for arid regions at a micro-scale sub-catchment, case study: Tabuk, Saudi Arabia.",Water science and technology : a journal of the International Association on Water Pollution Research,"Abushandi,Eyad",,Shuttle Radar Topography Mission,dataset-646
"Evaluation of different digital elevation models for analyzing drainage morphometric parameters in a mountainous terrain: a case study of the Supin-Upper Tons Basin, Indian Himalayas.",SpringerPlus,"Das, Sayantan, Patel, Priyank Pravin, Sengupta, Somasis",10.1186/s40064-016-3207-0,Shuttle Radar Topography Mission,dataset-646
"A Comparison of Mangrove Canopy Height Using Multiple Independent Measurements from Land, Air, and Space.",Remote sensing,"Lagomasino, David, Fatoyinbo, Temilola, Lee, SeungKuk, Feliciano, Emanuelle, Trettin, Carl, Simard, Marc",10.3390/rs8040327,Shuttle Radar Topography Mission,dataset-646
High-resolution forest canopy height estimation in an African blue carbon ecosystem.,Remote sensing in ecology and conservation,"Lagomasino, David, Fatoyinbo, Temilola, Lee, Seung-Kuk, Simard, Marc",,Shuttle Radar Topography Mission,dataset-646
Detecting and Quantifying Forest Change: The Potential of Existing C- and X-Band Radar Datasets.,PloS one,"Tanase, Mihai A, Ismail, Ismail, Lowell, Kim, Karyanto, Oka, Santoro, Maurizio",10.1371/journal.pone.0131079,Shuttle Radar Topography Mission,dataset-646
Monitoring forest carbon in a Tanzanian woodland using interferometric SAR: a novel methodology for REDD.,Carbon balance and management,"Solberg, Svein, Gizachew, Belachew, Næsset, Erik, Gobakken, Terje, Bollandsås, Ole Martin, Mauya, Ernest William, Olsson, Håkan, Malimbwi, Rogers, Zahabu, Eliakimu",,Shuttle Radar Topography Mission,dataset-646
Environmental risk factors and hotspot analysis of dengue distribution in Pakistan.,International journal of biometeorology,"Khalid, Bushra, Ghaffar, Abdul",10.1007/s00484-015-0982-1,Shuttle Radar Topography Mission,dataset-646
