title,journal,url,authors,open,search_term,dataset_id
Effective inundation of continental United States communities with 21st century sea level rise,Elementa: Science of the Anthropocene,http://dx.doi.org/10.1371/journal.pone.0170949,"Kristina A. Dahl, Erika Spanger-Siegfried, Astrid Caldas, Shana Udvardy",True,Sea Level Rise Inundation,dataset-610
Sea-Level Rise and Land Subsidence: Impacts on Flood Projections for the Mekong Delta’s Largest City,Sustainability,http://www.mdpi.com/2071-1050/8/9/959,"Hiroshi Takagi, Nguyen Danh Thao, Le Tuan Anh",True,Sea Level Rise Inundation,dataset-610
Model of the Effect of Advanced Sea Water in Lamong Bay Due to Global Warming on the Drainage System in Surabaya City,,https://zenodo.org/record/3365594,"Rezky Karuru, Umboro Lasminto",True,Sea Level Rise Inundation,dataset-610
Pengukuran Daerah Genangan di Pesisir Bangkalan Akibat Naiknya Muka Air Laut [Pridiction Of Inundation Area At Bangkalan Coastal Region Resulted In Sea Level Rise],Jurnal Ilmiah Perikanan dan Kelautan,http://e-journal.unair.ac.id/JIPK/article/view/11427,"Syah, Achmad Fachruddin",True,Sea Level Rise Inundation,dataset-610
Impact of Sea Level Rise for the Conterminous United States. An analysis on Inhabitant Displacement and GDP Production Impediment due to Land Inundation,,https://www.rug.nl/research/portal/en/publications/impact-of-sea-level-rise-for-the-conterminous-united-states-an-analysis-on-inhabitant-displacement-and-gdp-production-impediment-due-to-land-inundation(4b587780-5d09-4cbe-99fd-cca46e505c94).html,"Haer, Toon",True,Sea Level Rise Inundation,dataset-610
INSIGHT ANALYSIS ON DYKE PROTECTION AGAINST LAND SUBSIDENCE AND THE SEA LEVEL RISE AROUND NORTHERN COAST OF JAVA (PANTURA) INDONESIA,Geoplanning: Journal of Geomatics and Planning,https://ejournal.undip.ac.id/index.php/geoplanning/article/view/15511,"Heri Andreas, Hasanuddin Zainal Abidin, Dina Anggreni Sarsito, Dhota Pradipta",True,Sea Level Rise Inundation,dataset-610
A Regional Scale Approach to Assessing Current and Potential Future Exposure to Tidal Inundation in Different Types of Estuaries,Scientific Reports,http://europepmc.org/articles/PMC5935728,"Hanslow, David J., Morris, Bradley D., Foulsham, Edwina, Kinsela, Michael A.",True,Sea Level Rise Inundation,dataset-610
Pengukuran Daerah Genangan di Pesisir Bangkalan Akibat Naiknya Muka Air Laut <br><i>[Pridiction Of Inundation Area At Bangkalan Coastal Region Resulted In Sea Level Rise]<i>,Jurnal Ilmiah Perikanan dan Kelautan,https://e-journal.unair.ac.id/JIPK/article/view/11427,Achmad Fachruddin Syah,True,Sea Level Rise Inundation,dataset-610
Nest inundation from sea-level rise threatens sea turtle population viability,Royal Society Open Science,http://dx.doi.org/10.1371/journal.pone.0085853,"Pike, David A., Roznik, Elizabeth A., Bell, Ian",True,Sea Level Rise Inundation,dataset-610
Potential Inundation Due to Rising Sea Levels in the San Francisco Bay Region,San Francisco Estuary and Watershed Science,http://www.escholarship.org/uc/item/8ck5h3qn,"Knowles, Noah",True,Sea Level Rise Inundation,dataset-610
