title,journal,authors,doi,search_term,dataset_id
Impacts of climate change on oil palm production in Malaysia.,Environmental science and pollution research international,"Sarkar, Md Sujahangir Kabir, Begum, Rawshan Ara, Pereira, Joy Jacqueline",10.1007/s11356-020-07601-1,Sea Level Rise Data,dataset-610
A method for regional estimation of climate change exposure of coastal infrastructure: Case of USVI and the influence of digital elevation models on assessments.,The Science of the total environment,"Bove, Gerald, Becker, Austin, Sweeney, Benjamin, Vousdoukas, Michalis, Kulp, Scott",10.1016/j.scitotenv.2019.136162,Sea Level Rise Data,dataset-610
Groundwater salinization and associated co-contamination risk increase severe drinking water vulnerabilities in the southwestern coast of Bangladesh.,Chemosphere,"Rakib, M A, Sasaki, Jun, Matsuda, Hirotaka, Quraishi, Shamshad B, Mahmud, Md Juel, Bodrud-Doza, Md, Ullah, A K M Atique, Fatema, Konica J, Newaz, Md Asif, Bhuiyan, Mohammad A H",10.1016/j.chemosphere.2019.125646,Sea Level Rise Data,dataset-610
An extreme sea level indicator for the contiguous United States coastline.,Scientific data,"Rashid, Md Mamunur, Wahl, Thomas, Chambers, Don P, Calafat, Francisco M, Sweet, William V",10.1038/s41597-019-0333-x,Sea Level Rise Data,dataset-610
The polar regions in a 2°C warmer world.,Science advances,"Post, Eric, Alley, Richard B, Christensen, Torben R, Macias-Fauria, Marc, Forbes, Bruce C, Gooseff, Michael N, Iler, Amy, Kerby, Jeffrey T, Laidre, Kristin L, Mann, Michael E, Olofsson, Johan, Stroeve, Julienne C, Ulmer, Fran, Virginia, Ross A, Wang, Muyin",10.1126/sciadv.aaw9883,Sea Level Rise Data,dataset-610
Author Correction: New elevation data triple estimates of global vulnerability to sea-level rise and coastal flooding.,Nature communications,"Kulp, Scott A, Strauss, Benjamin H",10.1038/s41467-019-13552-0,Sea Level Rise Data,dataset-610
"Global ocean freshening, ocean mass increase and global mean sea level rise over 2005-2015.",Scientific reports,"Llovel, William, Purkey, S, Meyssignac, B, Blazquez, A, Kolodziejczyk, N, Bamber, J",10.1038/s41598-019-54239-2,Sea Level Rise Data,dataset-610
Cold-related Florida manatee mortality in relation to air and water temperatures.,PloS one,"Hardy, Stacie K, Deutsch, Charles J, Cross, Tiffanie A, de Wit, Martine, Hostetler, Jeffrey A",10.1371/journal.pone.0225048,Sea Level Rise Data,dataset-610
Asynchronous Antarctic and Greenland ice-volume contributions to the last interglacial sea-level highstand.,Nature communications,"Rohling, Eelco J, Hibbert, Fiona D, Grant, Katharine M, Galaasen, Eirik V, Irvalı, Nil, Kleiven, Helga F, Marino, Gianluca, Ninnemann, Ulysses, Roberts, Andrew P, Rosenthal, Yair, Schulz, Hartmut, Williams, Felicity H, Yu, Jimin",10.1038/s41467-019-12874-3,Sea Level Rise Data,dataset-610
Prediction of Sea Level Nonlinear Trends around Shandong Peninsula from Satellite Altimetry.,"Sensors (Basel, Switzerland)","Zhao, Jian, Cai, Ruiyang, Fan, Yanguo",10.3390/s19214770,Sea Level Rise Data,dataset-610
Lake sediments with Azorean tephra reveal ice-free conditions on coastal northwest Spitsbergen during the Last Glacial Maximum.,Science advances,"van der Bilt, Willem G M, Lane, Christine S",10.1126/sciadv.aaw5980,Sea Level Rise Data,dataset-610
The adaptation towards climate change impacts among islanders in Malaysia.,The Science of the total environment,"Ahmad, Nobaya, Shaffril, Hayrol Azril Mohamed, Abu Samah, Asnarulkhadi, Idris, Khairuddin, Abu Samah, Bahaman, Hamdan, Mas Ernawati",10.1016/j.scitotenv.2019.134404,Sea Level Rise Data,dataset-610
Managed retreat for climate change adaptation in coastal megacities: A comparison of policy and practice in Manila and Vancouver.,Journal of environmental management,"Doberstein, Brent, Tadgell, Anne, Rutledge, Alexandra",10.1016/j.jenvman.2019.109753,Sea Level Rise Data,dataset-610
Relative sea-level data from the SEAMIS database compared to ICE-5G model predictions of glacial isostatic adjustment.,Data in brief,"Mann, Thomas, Bender, Maren, Lorscheid, Thomas, Stocchi, Paolo, Vacchi, Matteo, Switzer, Adam, Rovere, Alessio",10.1016/j.dib.2019.104600,Sea Level Rise Data,dataset-610
Dataset of global extreme climatic indices due to an acceleration of ice sheet melting during the 21st century.,Data in brief,"Defrance,Dimitri",10.1016/j.dib.2019.104585,Sea Level Rise Data,dataset-610
New elevation data triple estimates of global vulnerability to sea-level rise and coastal flooding.,Nature communications,"Kulp, Scott A, Strauss, Benjamin H",10.1038/s41467-019-12808-z,Sea Level Rise Data,dataset-610
Does a rise in plasma erythropoietin after high-altitude exposure affect FGF23 in healthy volunteers on a normal or low-phosphorus diet?,"Nutrition, metabolism, and cardiovascular diseases : NMCD","Emrich, Insa E, Dederer, Juliane, Kircher, Angelika, Klemis, Verena, Lennartz, Claudia S, Untersteller, Kathrin, Wagenpfeil, Stefan, Fliser, Danilo, Wolf, Myles, Heine, Gunnar H",10.1016/j.numecd.2019.09.002,Sea Level Rise Data,dataset-610
Improved Estimates of Population Exposure in Low-Elevation Coastal Zones of China.,International journal of environmental research and public health,"Yang, Xuchao, Yao, Chenming, Chen, Qian, Ye, Tingting, Jin, Cheng",10.3390/ijerph16204012,Sea Level Rise Data,dataset-610
Troughs developed in ice-stream shear margins precondition ice shelves for ocean-driven breakup.,Science advances,"Alley, Karen E, Scambos, Ted A, Alley, Richard B, Holschuh, Nicholas",10.1126/sciadv.aax2215,Sea Level Rise Data,dataset-610
Extreme spatial heterogeneity in carbonate accretion potential on a Caribbean fringing reef linked to local human disturbance gradients.,Global change biology,"de Bakker, Didier M, van Duyl, Fleur C, Perry, Chris T, Meesters, Erik H",10.1111/gcb.14800,Sea Level Rise Data,dataset-610
Differential Effects of Increasing Salinity on Germination and Seedling Growth of Native and Exotic Invasive Cordgrasses.,"Plants (Basel, Switzerland)","Infante-Izquierdo, María Dolores, Castillo, Jesús M, Grewell, Brenda J, Nieva, F Javier J, Muñoz-Rodríguez, Adolfo F",10.3390/plants8100372,Sea Level Rise Data,dataset-610
Rapid expansion of Greenland's low-permeability ice slabs.,Nature,"MacFerrin, M, Machguth, H, As, D van, Charalampidis, C, Stevens, C M, Heilig, A, Vandecrux, B, Langen, P L, Mottram, R, Fettweis, X, Broeke, M R van den, Pfeffer, W T, Moussavi, M S, Abdalati, W",10.1038/s41586-019-1550-3,Sea Level Rise Data,dataset-610
Mekong delta much lower than previously assumed in sea-level rise impact assessments.,Nature communications,"Minderhoud, P S J, Coumou, L, Erkens, G, Middelkoop, H, Stouthamer, E",10.1038/s41467-019-11602-1,Sea Level Rise Data,dataset-610
Do the Adaptations of Venice and Miami to Sea Level Rise Offer Lessons for Other Vulnerable Coastal Cities?,Environmental management,"Molinaroli, Emanuela, Guerzoni, Stefano, Suman, Daniel",10.1007/s00267-019-01198-z,Sea Level Rise Data,dataset-610
Insights into estuary habitat loss in the western United States using a new method for mapping maximum extent of tidal wetlands.,PloS one,"Brophy, Laura S, Greene, Correigh M, Hare, Van C, Holycross, Brett, Lanier, Andy, Heady, Walter N, O'Connor, Kevin, Imaki, Hiroo, Haddad, Tanya, Dana, Randy",10.1371/journal.pone.0218558,Sea Level Rise Data,dataset-610
Seeds of change: characterizing the soil seed bank of a migrating salt marsh.,Annals of botany,"Kottler, Emily J, Gedan, Keryn",10.1093/aob/mcz133,Sea Level Rise Data,dataset-610
262 Voyages Beneath the Sea: a global assessment of macro- and megafaunal biodiversity and research effort at deep-sea hydrothermal vents.,PeerJ,"Thaler, Andrew D, Amon, Diva",10.7717/peerj.7397,Sea Level Rise Data,dataset-610
"Response of a vulnerable barrier island to multi-year storm impacts: LiDAR-data-inferred morphodynamic changes on Ship Island, Mississippi, USA.","Geomorphology (Amsterdam, Netherlands)","Eisemann, Eve R, Wallace, Davin J, Buijsman, Maarten C, Pierce, Troy",10.1016/j.geomorph.2018.04.001,Sea Level Rise Data,dataset-610
"Flood risk reduction in the northern coast of Central Java Province, Indonesia: An application of stakeholder's analysis.","Jamba (Potchefstroom, South Africa)","Isa, Muzakar, Fauzi, Akhmad, Susilowati, Indah",10.4102/jamba.v11i1.660,Sea Level Rise Data,dataset-610
Feedback of coastal marshes to climate change: Long-term phenological shifts.,Ecology and evolution,"Mo, Yu, Kearney, Michael S, Turner, R Eugene",10.1002/ece3.5215,Sea Level Rise Data,dataset-610
[Risk perception of tsunamis and the willingness to evacuate of junior high school students living in coastal areas].,[Nihon koshu eisei zasshi] Japanese journal of public health,"Isono, Akiteru, Saeki, Kazuko, Honda, Hikaru",10.11236/jph.66.7_348,Sea Level Rise Data,dataset-610
Redating the earliest evidence of the mid-Holocene relative sea-level highstand in Australia and implications for global sea-level rise.,PloS one,"Dougherty, Amy J, Thomas, Zoë A, Fogwill, Christopher, Hogg, Alan, Palmer, Jonathan, Rainsley, Eleanor, Williams, Alan N, Ulm, Sean, Rogers, Kerrylee, Jones, Brian G, Turney, Chris",10.1371/journal.pone.0218430,Sea Level Rise Data,dataset-610
Pattern and scale: evaluating generalities in crab distributions and marsh dynamics from small plots to a national scale.,Ecology,"Wasson, Kerstin, Raposa, Kenneth, Almeida, Monica, Beheshti, Kathryn, Crooks, Jeffrey A, Deck, Anna, Dix, Nikki, Garvey, Caitlin, Goldstein, Jason, Johnson, David Samuel, Lerberg, Scott, Marcum, Pamela, Peter, Christopher, Puckett, Brandon, Schmitt, Jenni, Smith, Erik, Laurent, Kari St, Swanson, Katie, Tyrrell, Megan, Guy, Rachel",10.1002/ecy.2813,Sea Level Rise Data,dataset-610
Improving Predictions of Salt Marsh Evolution Through Better Integration of Data and Models.,Annual review of marine science,"Wiberg, Patricia L, Fagherazzi, Sergio, Kirwan, Matthew L",10.1146/annurev-marine-010419-010610,Sea Level Rise Data,dataset-610
Dual influence of terrestrial and marine historical processes on the phylogeography of the Brazilian intertidal red alga Gracilaria caudata.,Journal of phycology,"Ayres-Ostrock, Lígia M, Valero, Myriam, Mauger, Stéphane, Oliveira, Mariana C, Plastino, Estela M, Guillemin, Marie-Laure, Destombe, Christophe",10.1111/jpy.12892,Sea Level Rise Data,dataset-610
"Residential flood vulnerability along the developed North Carolina, USA coast: High resolution social and physical data for decision support.",Data in brief,"Pricope, Narcisa G, Halls, Joanne N, Rosul, Lauren M, Hidalgo, Christopher",10.1016/j.dib.2019.103975,Sea Level Rise Data,dataset-610
Habitat selection can reduce effects of extreme climatic events in a long-lived shorebird.,The Journal of animal ecology,"Bailey, Liam D, Ens, Bruno J, Both, Christiaan, Heg, Dik, Oosterbeek, Kees, van de Pol, Martijn",10.1111/1365-2656.13041,Sea Level Rise Data,dataset-610
Characterization of coastal wetland soil organic matter: Implications for wetland submergence.,The Science of the total environment,"Steinmuller, Havalend E, Chambers, Lisa G",10.1016/j.scitotenv.2019.04.405,Sea Level Rise Data,dataset-610
Bird community shifts associated with saltwater exposure in coastal forests at the leading edge of rising sea level.,PloS one,"Taillie, Paul J, Moorman, Christopher E, Smart, Lindsey S, Pacifici, Krishna",10.1371/journal.pone.0216540,Sea Level Rise Data,dataset-610
Health impact of climate change in cities of middle-income countries: the case of China.,British medical bulletin,"Chan, Emily Y Y, Ho, Janice Y, Hung, Heidi H Y, Liu, Sida, Lam, Holly C Y",10.1093/bmb/ldz011,Sea Level Rise Data,dataset-610
"Climate change, food security and health in Kiribati: a narrative review of the literature.",Global health action,"Cauchi, John P, Correa-Velez, Ignacio, Bambrick, Hilary",10.1080/16549716.2019.1603683,Sea Level Rise Data,dataset-610
A general framework for propagule dispersal in mangroves.,Biological reviews of the Cambridge Philosophical Society,"Van der Stocken, Tom, Wee, Alison K S, De Ryck, Dennis J R, Vanschoenwinkel, Bram, Friess, Daniel A, Dahdouh-Guebas, Farid, Simard, Marc, Koedam, Nico, Webb, Edward L",10.1111/brv.12514,Sea Level Rise Data,dataset-610
Light limitation selects for depth generalists in urbanised reef coral communities.,Marine environmental research,"Chow, Gwendolyn S E, Chan, Y K Samuel, Jain, Sudhanshi Sanjeev, Huang, Danwei",10.1016/j.marenvres.2019.04.010,Sea Level Rise Data,dataset-610
Simulating beach and dune evolution at decadal to centennial scale under rising sea levels.,PloS one,"Hallin, Caroline, Larson, Magnus, Hanson, Hans",10.1371/journal.pone.0215651,Sea Level Rise Data,dataset-610
