api,doi,title,url,search_term,dataset,valid,pdf,notes
pubmed,10.1371/journal.pone.0169780,"Projected Impacts of Climate, Urbanization, Water Management, and Wetland Restoration on Waterbird Habitat in California's Central Valley.",https://www.ncbi.nlm.nih.gov/pubmed/28068411,Agricultural Resource Management Survey,dataset-784,no,,
openaire,10.1371/journal.pone.0169780,"Projected Impacts of Climate, Urbanization, Water Management, and Wetland Restoration on Waterbird Habitat in California’s Central Valley",http://dx.doi.org/10.1371/journal.pone.0169780.t002,Agricultural Resource Management Survey,dataset-870,duped,,
pubmed,10.1016/j.scitotenv.2017.11.190,Promoting biodiversity values of small forest patches in agricultural landscapes: Ecological drivers and social demand.,https://www.ncbi.nlm.nih.gov/pubmed/29734609,Agricultural Resource Management Survey,dataset-870,no,,
pubmed,10.1186/1471-2229-14-163,Proteomic analysis of proteins related to rice grain chalkiness using iTRAQ and a novel comparison system based on a notched-belly mutant with white-belly.,https://www.ncbi.nlm.nih.gov/pubmed/24924297,Agricultural Resource Management Survey,dataset-870,no,,
pubmed,10.1007/s00420-009-0430-9,Psychosocial factors at work and perceived health among agricultural meat industry workers in France.,https://www.ncbi.nlm.nih.gov/pubmed/19466444,Agricultural Resource Management Survey,dataset-870,no,,
dimensions,10.1111/soru.12120,"Publicising Food: Big Data, Precision Agriculture, and Co‐Experimental Techniques of Addition",https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Publicising%20Food%3A%20Big%20Data%2C%20Precision%20Agriculture%2C%20and%20Co%E2%80%90Experimental%20Techniques%20of%20Addition,Agricultural Resource Management Survey,dataset-870,no,,quoted but not integral to study
openaire,10.3733/ca.v054n03p21,Publicly funded weather database benefits users statewide,http://calag.ucanr.edu/archive/?article=ca.v054n03p21,Agricultural Resource Management Survey,dataset-870,no,,
pubmed,,Puppets on a string: women's wage work and empowerment among female tea plantation workers of Sri Lanka.,https://www.ncbi.nlm.nih.gov/pubmed/12286574,Agricultural Resource Management Survey,dataset-870,no,,
pubmed,10.1002/eap.1627,"Purpose, processes, partnerships, and products: four Ps to advance participatory socio-environmental modeling.",https://www.ncbi.nlm.nih.gov/pubmed/28922513,Agricultural Resource Management Survey,dataset-870,no,,
pubmed,10.1038/nature25785,Pursuing sustainable productivity with millions of smallholder farmers.,https://www.ncbi.nlm.nih.gov/pubmed/29513654,Agricultural Resource Management Survey,dataset-870,no,,
pubmed,10.1007/s10393-012-0746-x,Quantification of diarrhea risk related to wastewater contact in Thailand.,https://www.ncbi.nlm.nih.gov/pubmed/22311100,Agricultural Resource Management Survey,dataset-870,no,,
dimensions,10.1108/caer-10-2011-0147,Quantifying the benefits associated with the use of alternative marketing arrangements by US farmers,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Quantifying%20the%20benefits%20associated%20with%20the%20use%20of%20alternative%20marketing%20arrangements%20by%20US%20farmers,Agricultural Resource Management Survey,dataset-870,yes,,
pubmed,10.1016/j.scitotenv.2019.02.117,Quantitative assessment of the effects of human activities on phytoplankton communities in lakes and reservoirs.,https://www.ncbi.nlm.nih.gov/pubmed/30772551,Agricultural Resource Management Survey,dataset-870,no,,
pubmed,10.3390/ijerph16071307,Quantity⁻Quality Trade-Off and Early Childhood Development in Rural Family: Evidence from China's Guizhou Province.,https://www.ncbi.nlm.nih.gov/pubmed/30979059,Agricultural Resource Management Survey,dataset-870,no,,
dimensions,10.2139/ssrn.2921471,"R&D, Attrition and Multiple Imputation in BRDIS",https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=R%26D%2C%20Attrition%20and%20Multiple%20Imputation%20in%20BRDIS,Agricultural Resource Management Survey,dataset-870,no,,
pubmed,,Rapid rural appraisal: its role in health planning in developing countries.,https://www.ncbi.nlm.nih.gov/pubmed/8488574,Agricultural Resource Management Survey,dataset-870,no,,
pubmed,,Recall of farm hazards in Australian primary school age children using a 3-d visual cue test.,https://www.ncbi.nlm.nih.gov/pubmed/11736844,Agricultural Resource Management Survey,dataset-870,no,,
pubmed,,Recourse to multiple tratments or the problem of the therapeutic itinerary in Louga.,https://www.ncbi.nlm.nih.gov/pubmed/25265446,Agricultural Resource Management Survey,dataset-870,no,,
pubmed,10.1016/j.jenvman.2017.11.048,Recreation economics to inform migratory species conservation: Case study of the northern pintail.,https://www.ncbi.nlm.nih.gov/pubmed/29223107,Agricultural Resource Management Survey,dataset-870,no,,
pubmed,,Reducing barriers associated with delivering health care services to migratory agricultural workers.,https://www.ncbi.nlm.nih.gov/pubmed/22827833,Agricultural Resource Management Survey,dataset-870,no,,
pubmed,10.3390/ijerph15061253,Reducing Food Poverty and Vulnerability among the Rural Elderly with Chronic Diseases: The Role of the New Rural Pension Scheme in China.,https://www.ncbi.nlm.nih.gov/pubmed/29899238,Agricultural Resource Management Survey,dataset-870,no,,
pubmed,10.3390/ijerph16183442,"Reducing Nitrogen and Phosphorus Losses from Different Crop Types in the Water Source Area of the Danjiang River, China.",https://www.ncbi.nlm.nih.gov/pubmed/31533215,Agricultural Resource Management Survey,dataset-870,no,,
dimensions,10.1111/jawr.12246,Reducing Nitrogen Export from the Corn Belt to the Gulf of Mexico: Agricultural Strategies for Remediating Hypoxia,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Reducing%20Nitrogen%20Export%20from%20the%20Corn%20Belt%20to%20the%20Gulf%20of%20Mexico%3A%20Agricultural%20Strategies%20for%20Remediating%20Hypoxia,Agricultural Resource Management Survey,dataset-870,no,,quoted but not integral to study
pubmed,10.1007/s00267-019-01209-z,Reducing Wet Ammonium Deposition in Rocky Mountain National Park: the Development and Evaluation of A Pilot Early Warning System for Agricultural Operations in Eastern Colorado.,https://www.ncbi.nlm.nih.gov/pubmed/31583444,Agricultural Resource Management Survey,dataset-870,no,,
pubmed,10.1016/j.scitotenv.2017.05.122,Reflections on a boom: Perceptions of energy development impacts in the Bakken oil patch inform environmental science & policy priorities.,https://www.ncbi.nlm.nih.gov/pubmed/28558422,Agricultural Resource Management Survey,dataset-870,no,,
openaire,10.13023/kgs.ri15.12,"Regional Groundwater Quality in Watersheds of the Upper Cumberland, Lower Cumberland, and Lower Tennessee Rivers, and the Jackson Purchase Region (Kentucky Basin Management Unit 3)",http://dx.doi.org/10.13023/kgs.ri15.12,Agricultural Resource Management Survey,dataset-870,no,,
pubmed,10.1016/j.scitotenv.2019.02.150,Reimagining the potential of Earth observations for ecosystem service assessments.,https://www.ncbi.nlm.nih.gov/pubmed/30893737,Agricultural Resource Management Survey,dataset-870,no,,
dimensions,10.1108/00021461211250519,Reporting and usability of ARMS income and balance sheet data,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Reporting%20and%20usability%20of%20ARMS%20income%20and%20balance%20sheet%20data,Agricultural Resource Management Survey,dataset-870,yes,,
pubmed,10.2105/AJPH.2015.302668,Reports of insurance-based discrimination in health care and its association with access to care.,https://www.ncbi.nlm.nih.gov/pubmed/25905821,Agricultural Resource Management Survey,dataset-870,no,,
